Country,Installed Capacity (MW),Contracted Capacity (MW)
Nakhon Ratchasima,90.0,90.0
Nakhon Ratchasima,67.5,60.0
Phetchabun,60.0,60.0
Nakhon Ratchasima,103.5,90.0
Nakhon Ratchasima,90.0,90.0
Nakhon Ratchasima,90.0,90.0
Nakhon Ratchasima,52.5,50.0
Chaiyaphum,80.0,80.0
Nakhon Ratchasima,90.0,90.0
Nakhon Ratchasima,90.0,90.0
Chaiyaphum,45.0,45.0
Chaiyaphum,45.0,45.0
Chaiyaphum,80.0,80.0
Chaiyaphum,40.0,42.0
Chaiyaphum,47.5,48.0
Nakhon Ratchasima,50.0,50.0
Nakhon Ratchasima,103.5,90.0
Chaiyaphum,60.0,60.0
Mukdahan,44.85,45.0
Songkhla,36.0,36.0
Nakhon Si Thammarat,45.0,45.0
Nakhon Si Thammarat,45.0,45.0
Nakhon Si Thammarat,1.5,1.5
Phetchaburi,0.05,0.05
Chaiyaphum,6.9,6.9
Nakhon Ratchasima,0.05,0.05
Mukdahan,8.0,8.0
Mukdahan,8.0,8.0
Nakhon Si Thammarat,9.0,8.965
Nakhon Ratchasima,10.0,8.0
Nakhon Ratchasima,2.5,2.0
Samut Sakhon,0.92,0.9
Nakhon Si Thammarat,10.0,10.0
Nakhon Si Thammarat,0.25,0.25
Nakhon Ratchasima,90.0,90.0
Amnat Charoen,90.0,90.0
Nakhon Ratchasima,89.7,89.7
Chaiyaphum,76.5,76.5
Ubon Ratchathani,90.0,90.0
Ubon Ratchathani,90.0,90.0
Ubon Ratchathani,90.0,90.0
Amnat Charoen,90.0,90.0
Nakhon Ratchasima,90.0,90.0
Lopburi,60.0,60.0
Lopburi,60.0,60.0
Ubon Ratchathani,40.0,40.0
Chaiyaphum,78.0,78.0
Sakon Nakhon,36.0,36.0
Chaiyaphum,90.0,90.0
Maha Sarakham,90.0,90.0
Chaiyaphum,16.0,16.0
Prachuap Khiri Khan,70.0,70.0
Chumphon,48.0,48.0
Mukdahan,90.0,90.0
Pattani,0.25,0.25
Prachuap Khiri Khan,8.0,8.0
Prachuap Khiri Khan,8.0,8.0
Pattani,1.75,1.75
