ปี พ.ศ.,พลังงานลมที่ผลิตได้จริง(ล้านหน่วย - GWh),ทดแทนก๊าซธรรมชาติ(ล้านลูกบาศก์ฟุต),หรือทดแทนถ่านหิน(ตัน),ลดก๊าซคาร์บอนไดออกไซด์(ตัน CO2​)
2560,"~1,100","~6,100","~390,000","~550,000"
2561,"~1,800","~10,000","~640,000","~900,000"
2562,"~3,600","~20,100","~1,280,000","~1,800,000"
2563,"~3,300","~18,400","~1,170,000","~1,650,000"
2564,"~3,500","~19,600","~1,240,000","~1,750,000"
2565,"~3,400","~19,000","~1,210,000","~1,700,000"
2566,"~3,600","~20,100","~1,280,000","~1,800,000"
2567,"~3,600","~20,100","~1,280,000","~1,800,000"
2568 - ปัจจุบัน (2569),"~5,400 (รวม 1.5 ปี)","~30,200","~1,920,000","~2,700,000"
รวมสะสม,"~29,300 ล้านหน่วย","~163,600 ล้านลบ.ฟุต","~10,410,000 ตัน","~14,650,000 ตัน"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
