รหัสหลักสูตร (Course ID),หัวข้อการอบรม (Training Category),ชื่อหลักสูตร (Course Name),วันที่เริ่มต้น (Start Date),วันที่สิ้นสุด (End Date),เวลาเริ่มต้น (Start Time),เวลาสิ้นสุด (End Time),จำนวนรับสมัคร (Capacity),ค่าลงทะเบียน (Price - THB),วันที่ลงข้อมูล (Created Date)
990,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบดิจิทัลมัลติมิเตอร์**ส่ง Cer 24 พ.ย. 68**,11-12-2025,11/14/2025,08.30 น.,09.00 - 16.30 น.,15,10300,4/17/2025 11:59
991,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องมือวัดอัตราการไหลของของเหลวโดยวิธีมาสเตอร์มิเตอร์ **ส่ง Cer 29 ธ.ค. 68**,12/15/2025,12/16/2025,08.30 น.,09.00 - 16.30 น.,10,8910,4/22/2025 16:21
992,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การตรวจติดตามระบบคุณภาพภายในห้องปฏิบัติการ (ตามข้อกำหนด ISO/IEC 17025:2017) **ส่ง Cer 6 พ.ย. 68**,10/30/2025,10/31/2025,08.30 น.,09.00 - 16.30 น.,30,4690,8/14/2025 17:35
993,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,ระบบคุณภาพห้องปฏิบัติการตาม ISO/IEC 17025:2017(E) **ส่ง Cer 24 พ.ย. 68**,11/17/2025,11/18/2025,08.30 น.,09.00 - 16.30 น.,40,3052,8/14/2025 17:40
994,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การประเมินค่าความไม่แน่นอนของการวัด **ส่ง Cer 29 ธ.ค. 68**,12/15/2025,12/16/2025,08.30 น.,09.00 - 16.30 น.,30,4690,8/14/2025 17:43
995,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การจัดทำเอกสารระบบการบริหารงานตามมาตรฐาน ISO/IEC 17025 : 2017 **ส่ง Cer 29 ธ.ค. 68**,12/18/2025,12/19/2025,08.30 น.,09.00 - 16.30 น.,24,4690,8/14/2025 17:45
996,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องชั่งอิเล็กทรอนิกส์ตามมาตรฐาน UKAS LAB 14 **ส่ง Cer 5 พ.ย. 68**,10/28/2025,10/29/2025,08.30 น.,09.00 - 16.30 น.,20,5210,8/15/2025 23:25
997,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบและจัดการเครื่องมือวัดตามระบบคุณภาพ **ส่ง Cer 31 ต.ค.68**,10/27/2025,10/27/2025,08.30 น.,09.00 - 16.30 น.,40,2530,8/28/2025 12:23
998,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องมือวัดอัตราการไหลของของเหลว,7/20/2026,7/21/2026,08.30 น.,09.00 - 16.30 น.,15,7020,09-10-2025 09:48
999,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,ความเข้าใจและการตีความใบรับรองผลการสอบเทียบ **ส่ง Cer 24 พ.ย. 68**,11/19/2025,11/19/2025,08.30 น.,09.00 - 16.30 น.,30,2530,09-10-2025 09:52
