ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
1.0,Iodine Stabilized He-Ne laser,633 nm,5.00E-11,"36,000/piece",Beat measurement mehod with Iodine stabilized He-Ne laser,08011 - 10101
2.0,Stabilized He-Ne laser,633 nm,1.00E-09,"22,530/piece",Beat measurement mehod with Iodine stabilized He-Ne laser,08011 - 10201
3.0,Stabilized He-Ne laser,500 - 1000 nm and 1560 nm,1.00E-12,"45,000/piece",Beat measurement mehod with optical comb,08011 - 10202
4.0,Stabilized He-Ne laser,532 nm,4.00E-08,"22,530/piece",Beat measurement mehod with Iodine stabilized Nd:YAG laser,08011 - 10203
5.0,Dual frequency stabilized He-Ne laser,633 nm,1.00E-09,"25,000",Beat measurement mehod with Iodine stabilized  He-Ne laser,08011 - 10204
6.0,Nonstabilized Laser,633 nm,1.00E-07,"22,530/piece",Beat measurement mehod with Iodine stabilized He-Ne laser,08011 - 10301
6.0,"Distance
",40 m,5 ppm,"35,000/distance 
(for up to 10 points) 
 + 1,000/additional point",Comparison with the readings from the standard 40-m Rail System,08101-10002
7.0,Nonstabilized Laser,350 - 1100 nm,1.70E-07,"21,280/piece",Direct measurment method by wavelength meter,08011 - 10401
7.0,Electronic Distance Meter (EDM),"4 Distances: 
10m., 20m., 30m. and 40m.",-,"40,000/piece",Verification of EDM using 40-m Rail System,08101-10003
8.0,Wavelength meter,532 - 1064 nm,4.00E-08,"25,000/piece",Direct measurment method by stabilized light source,08011 - 10503
9.0,"Rectangular Gauge Block, 
Material : Steel",0.5 mm to 125 mm,"Q[26 nm, 0.35E-6 L]","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101
10.0,"Rectangular Gauge Block,
Material : Ceramic",0.5 mm to 125 mm,"Q[26 nm, 0.29E-6 L]
","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101
11.0,"Rectangular Gauge Block,
Material : Tungsten Carbide",0.5 mm to 125 mm,"Q[26 nm, 0.18E-6 L]
","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101
12.0,"Rectangular Gauge Block,
Material : Chromium Carbide",0.5 mm to 125 mm,"Q[26 nm, 0.27E-6 L]","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101
13.0,"Rectangular Gauge Block,
Material : Steel",< 0.5 mm,"Q[26 nm, 0.35E-6 L]","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102
14.0,"Rectangular Gauge Block,
Material : Ceramic",< 0.5 mm,"Q[26 nm, 0.29E-6 L]
","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102
15.0,"Rectangular Gauge Block,
Material : Tungsten Carbide",< 0.5 mm,"Q[26 nm, 0.18E-6 L]
","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102
16.0,"Rectangular Gauge Block,
Material : Chromium Carbide",< 0.5 mm,"Q[26 nm, 0.27E-6 L]","3,000/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10102
17.0,"Rectangular Gauge Block,          
Material : Steel, Ceramic, Tungsten Carbide, Chromium Carbide
- Variation in length",0.5 mm to 125 mm,0.020 um,"2,200/piece                   ","Optical Interferometry method, 
Variation (fo, fu) in length measurement. Measuring faces inspection without lapping. ",08021 - 10103
18.0,"Rectangular Gauge Block,          
Material : Steel, Ceramic, Tungsten Carbide, Chromium Carbide
- Flatness ",0.5 mm to 125 mm,35 nm ,"2,200/piece                   ","Optical Interferometry method, 
Flatness measurement",08021 - 10104
19.0,"Rectangular Gauge Block, according to  
Euramet cg-2/v.02 (03/2011) ",0.5 mm to 100 mm,26 nm,"2,500/piece         ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping.  Both side wringing",08021 - 10201
20.0,"Rectangular and Square Gauge Block (Metric),               
Material : Steel, Tungsten Carbide, Chromium Carbide   
- Deviation from central length",0.5 mm to 100 mm,"Q[50 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10301
21.0,"Rectangular and Square Gauge Block (Metric),               
Material : Steel, Tungsten Carbide, Chromium Carbide   
- Deviation from central length",>100 mm to 125 mm,"Q[50 nm, 0.50E-06 L]","3,030/piece","Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10302
22.0,"Rectangular and Square Gauge Block (Metric),               
Material : Ceramic   
- Deviation from central length",0.5 mm to 100 mm,"Q[70 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10301
23.0,"Rectangular and Square Gauge Block (Metric),               
Material : Ceramic   
- Deviation from central length",>100 mm to 125 mm,"Q[70 nm, 0.50E-06 L]","3,030/piece","Comparison method, Dlc, Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping ",08021 - 10302
24.0,"Rectangular and Square Gauge Block (Metric),               
Material : Steel, Ceramic, Tungsten Carbide, Chromium Carbide   
- Difference in central length",0.01 - 25 mm,47 nm,"1,905/pair","Direct Measurement by gauge block comparator, Difference in central length, variation in length and measuring face inspection without lapping.",08021 - 10303
25.0,"Rectangular and Square Gauge Block (inch),  
- Deviation from central length        
Material : Steel, Tungsten Carbide, Chromium Carbide                                      ",0.005  inch to 4 inch,"Q[50 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc,  Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping    ",08021 - 10501
26.0,"Rectangular and Square Gauge Block (inch),  
- Deviation from central length 
Material : Ceramic     ",0.005  inch to 4 inch,"Q[70 nm, 0.50E-06 L]",750/piece                   ,"Comparison method, Dlc,  Deviation from central length , Variation (fo, fu) Measuring faces inspection without lapping    ",08021 - 10501
27.0,"Long Gauge Block (Metric Rectangular, Square)
Material : Steel",125 mm to 500 mm,"Q[50 nm, 0.80E-6 L]","3,380/piece","Comparison Method, Dlc, Deviation from central length, Variation (fo, fu) Measuring faces inspection without lapping.",08021 - 10601
28.0,"Long Gauge Block (Metric Rectangular, Square)
Material : Steel",600 mm to 1000 mm,"Q[50 nm, 0.80E-6 L]","6,750/piece","Comparison Method, Dlc, Deviation from central length, Variation (fo, fu) Measuring faces inspection without lapping.",08021 - 10603
29.0,Length Bar,Up to 800 mm,"Q[50 nm, 0.80E-6 L]","3,380/piece","Comparison Method, Dlc, Deviation from central length, Variation (fo, fu) Measuring faces inspection.",08021 - 10701
30.0,Ball Bar / Nest Bar,up to 800 mm,1.2 ?m,"3,780/piece",Direct measurement by ULM and laser interferometer,08021 - 10703
31.0,"Long Gauge Block (Metric Rectangular)
Material : Steel",>150 mm to 500 mm,"Q[20 nm, 0.44E-6 L]","10,000/piece","Optical Interferometry method, Deviation from central length Measuring faces inspection and lapping. Both side wringing",08021 - 10801
32.0,"Long Gauge Block (Metric Rectangular)
Material : Steel",600 mm to 1000 mm,"Q[20 nm, 0.44E-6 L]","15,000/piece","Optical Interferometry method, Deviation from central length Measuring faces inspection and lapping.  Both side wringing",08021 - 10802
33.0,"Square Gauge Block
Material : Steel                  ",0.5 mm to 125 mm,"Q[28 nm, 0.35E-6 L]","1,730/piece","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 11001
34.0,Step Master ; Material : Steel  ,Up to 300 mm,0.028 mm,12500,"Optical Interferometry method, Length difference",08021 - 11101
35.0,Step Master ; Material : Ceramic,Up to 300 mm,0.030 mm,12500,"Optical Interferometry method, Length difference",08021 - 11102
36.0,"Autocollimator (Analog, Digital)","± 1000""","0.2""","25,000/piece",Calibration by standard autocollimator,08031 - 10101
37.0,"Autocollimator (Analog, Digital)","± 1500""","0.15""","25,000/piece",Calibration by Self calibration angle system,08031 - 10103
38.0,Rotary Encoder,0 - 360 degree,"0.06""","25,000/piece",Calibration by self calibration angle system (SCMS-127),08031 - 10201
39.0,Rotary Encoder,0 - 360 degree,"0.11""","25,000/piece",Calibration by self calibration angle system (SCMS-107),08031 - 10202
40.0,Rotary Encoder,0 - 360 degree,"7""","25,000/piece",Calibration by self calibration angle system,08031 - 10203
41.0,Polygon,3 to 72 faces,"0.2""","1,000/face",Calibration by one autocollimator ,08031 - 10301
42.0,Polygon,3 to 72 faces,"0.25""",750/face,Calibration by  two autocollimator ,08031 - 10305
43.0,Polygon,3 to 72 faces,"0.2""","1,000/face",Calibration by self calibration rotray encoder system,08031 - 10309
44.0,Angle Gauge Block,up to 90o,"0.33""","1,500/piece",Calibration by autocalimator,08031 - 10401
45.0,Indexing Table,0o to 360o,"0.2""","1,000/position",Calibration by  one autocollimator ,08031 - 10501
46.0,Electronic Inclinometer,"±1000"" ","0.35""","15,000/range",Calibration by autocollimator,08031 - 10901
47.0,Electronic Level,±60o,0.002o,"5,000",Calibration by rotary encorder,08031 - 10902
48.0,Cylindrical Square,Up to 400 mm,2.3 ?m,"5,000/side",Calibration by Master Square,08031 - 11101
49.0,Standard Square ,Up to 400 mm,2.3 µm,"5,000/side",Calibration by Master Square and Measuring Probe,08031 - 11201
50.0,Squareness Tester,Up to 400 mm,2.0 µm,"5,000",Calibration by Master Square,08031 - 11301
51.0,Precision Square ,Up to 400 mm,2.5 ?m,"5,000",Calibration by Master Square & Gauge Blocks,08031 - 11401
52.0,Square and Squareness Tester,Up to 1000 mm,0.4 µm,"10,000 (For up to 10 points) + 1,000/point",Calibration by using reversal method,08031 - 11501
53.0,Small Angle Generator,"?5,000 ?m/m",2 ?m/m,15000,Calibration by autocollimator,08031 - 11901
54.0,Sine Bar,up to 45o,0.0021o,5000,Calibration by Gauge Blocks and Angle Gauge Blocks,08031 - 12001
55.0,Straightedge,up to 1000 mm,1.0 ?m,"5,000",Calibration straighness measuring machine,08031 - 12201
56.0,Straightness Measuring Machine,"up to 2,500 mm",(1.6E-3 L) ?m,"5,000",Calibration by standard autocollimator,08031 - 12202
57.0,Straightness Measuring Machine and Straightedge,up to 3000 mm,0.7 ?m,"10,000/m",Calibration by using reversal method,08031 - 12203
58.0,Plain Ring Gauge,0.1 to 100 mm,"Q[0.37 µm, 1.3E-06 D]","2,410/piece",Calibration by Small Internal Diameter Measurement (IDM),08041 - 10101
59.0,Plain Ring Gauge,0.5 mm to 300 mm,"Q[0.25 µm, 1.8E-06 D]","4,410/piece",Compare measurement method with setting plain ring gauge,08041 - 10102
60.0,Plain Ring Gauge (Hole),2.5 mm - 160 mm,1.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 10103
61.0,Go - No Go Plain Ring Gauge ,0.1 to 100 mm,"Q[0.37 µm, 1.3E-06 D]","2,410/side",Calibration by Small Internal Diameter Measurement (IDM),08041 - 10201
62.0,Taper Plain Ring Gauge,Pitch 0.45 mm to 8 mm,2.0 µm,"2,410/piece",Cal. by Universal length measuring Machine,08041 - 10301
63.0,Go - No Go Taper Plain Ring Gauge,Pitch 0.45 mm to 8 mm,2.0 µm,"2,410/side",Cal. by Universal length measuring Machine,08041 - 10401
64.0,Plain Plug Gauge ,0.1 to 300 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/piece",Cal. by Universal length measuring Machine ,08041 - 10501
65.0,Plain Plug Gauge (Shaft),1 mm - 150 mm,1.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 10502
66.0,Go-No Go Plain Plug Gauge,0.1 to 300 mm,"Q[0.20 µm, 1.0E-06 D] ","2,410/side",Cal. by Universal length measuring Machine ,08041 - 10601
67.0,Sphere,dia. Up to 300 mm,"Q[0.20 µm, 1.0E-06 D]","2,410/piece",Cal. by Universal length measuring Machine,08041 - 10801
68.0,3-Wire Unit,All sizes,"Q[0.20 µm, 1.0E-06 D] ","2,820/set",Cal. by Universal length measuring Machine,08041 - 10901
69.0,Taper Plain Plug Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11501
70.0,Parallel Thread Ring Gauge,from pitch 0.45 - 8 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11701
71.0,Parallel Thread Ring Gauge,2.5 mm - 160 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 11702
72.0,Go - No Go Parallel Thread Ring Gague,from pitch 0.45 - 8 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11801
73.0,Taper Thread Ring Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 11901
74.0,Parallel Thread Plug Gauge,from pitch 0.2 - 6 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and 3-Wires,08041 - 12101
75.0,Parallel Thread Plug Gauge,1 mm - 150 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 12102
76.0,Go - No Go Parallel Thread Plug Gauge,from pitch 0.2 - 6 mm,1.5 µm,"3,500/piece",Cal. by Universal length measuring Machine and 3-Wires,08041 - 12201
77.0,Taper Thread Plug Gauge,from pitch 0.45 - 8 mm,2.0 µm,"3,500/piece",Cal. by Universal length measuring Machine and T-Ball Sttylus,08041 - 12301
78.0,Taper Thread Plug Gauge,1 mm - 150 mm,2.5 ?m,"5,000/piece",Contact scanning with measuring probe ,08041 - 12302
79.0,Taper Thread Ring Gauge,2.5 mm - 160 mm,2.5 µm,"5,000/piece",Contact scanning with measuring probe ,08041 - 12303
80.0,Pitch,0.1 mm - 20 mm,1 µm,"5,000/piece",Contact scanning with measuring probe ,08041 - 12304
81.0,Thread Angle,7° - 180°,0.12°,"5,000/piece",Contact scanning with measuring probe ,08041 - 12305
82.0,Taper,0 - 0.5,0.0024,"5,000/piece",Contact scanning with measuring probe ,08041 - 12306
83.0,Pitch of thread gauge,0 mm to 120 mm,2.3 µm,"2,030/piece",Cal. By Contour Measuring Machine,08041 - 12501
84.0,X-Axis Contour Measuring Machine,0 mm to 120 mm,1.3 µm,"10,030/piece",Compare with standard glass scale,08041 - 12502
85.0,Included angle of thread gauge,0-90 degree,0.06 degree,"2,030/piece",Cal. By Contour Measuring Machine,08041 - 12601
86.0,"Contour specimen
- x-axis (pitch)",up to 200 mm,2.3 µm,"5,000/5 points + 1,000/point",Direct measurement by using Contour Measuring Machine,08041 - 12701
87.0,"Contour specimen
- z-axis (step, height)",up to 20 mm,1.6 µm,"5,000/5 points + 1,000/point",Direct measurement by using Contour Measuring Machine,08041 - 12702
88.0,Check Master/ Step Gauge,0 to 300 mm,"Q[0.20 µm, 7.7E-06 L]","10,660/piece",Cal. By Laser Interferometer,08051 - 10201
89.0,Check Master/ Step Gauge,0 to 600 mm,"Q[0.20 µm, 7.7E-06 L]","13,160/piece",Cal. By Laser Interferometer,08051 - 10202
90.0,Check Master/ Step Gauge,0 to 1020 mm,"Q[0.20 µm, 7.7E-06 L]","15,660/piece",Cal. By Laser Interferometer,08051 - 10203
91.0,Gear standard  Spur gear  :  Profile slope deviation,25 to 400 mm,1.0 to 3.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10301
92.0,Gear standard  Spur gear  :   Profile slope deviation,up to 45o,1.0 to 2.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10401
93.0,Spur gear : Pitch,up to 400 mm,2.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10501
94.0,Bevel Gear : form deviation,up to 300 mm,2.0 µm,"7,880/piece",Cal. by Coordinate Measuring Machine,08051 - 10601
95.0,Ball Plate,up to 1000 mm,"Q[0.26 µm, 1.9E-06 L]","36,000/piece",Cal. by Coordinate Measuring Machine with Laser Interferometer,08051 - 10701
96.0,2-D Coordinate (Hole Plate),Up to 1000 mm,"Q[0.25 µm, 0.42E-6L]","106,250/piece",Swing-round method and laser interferometer integrated with CMM,08051 - 10702
97.0,Depth Micro-Checker,0 to 150 mm,"Q[0.68 µm, 1.1E-06 L]","9,000/piece",Cal. by Coordinate Measuring Machine,08051 - 10801
98.0,Depth Micro-Checker,0 to 300 mm,"Q[0.68 µm, 1.1E-06 L]","11,250/piece",Cal. by Coordinate Measuring Machine,08051 - 10802
99.0,Depth Micro-Checker,0 to 150 mm,"Q[0.48 µm, 0.67E-06 L]","10,625/piece",Cal. by substitution method using CMM,08051 - 10803
100.0,Inside Micro-Checker,0 to 300 mm,"Q[0.20 µm, 7.7E-07 L]","10,660/piece",Cal. by Laser Interferometer,08051 - 10901
101.0,Inside Micro-Checker,0 to 600 mm,"Q[0.20 µm, 7.7E-07 L]","13,160/piece",Cal. by Laser Interferometer,08051 - 10902
102.0,Inside Micro-Checker,0 to 1020 mm,"Q[0.20 µm, 7.7E-07 L]","15,660/piece",Cal. by Laser Interferometer,08051 - 10903
103.0,Caliper Checker/ Vernier Checker,0 to 300 mm,"Q[0.20 µm, 7.7E-06 L]","10,660/piece",Cal. by Laser Interferometer,08051 - 11001
104.0,Caliper Checker/ Vernier Checker,0 to 600 mm,"Q[0.20 µm, 7.7E-06 L]","13,160/piece",Cal. by Laser Interferometer,08051 - 11002
105.0,Caliper Checker/ Vernier Checker,0 to 1020 mm,"Q[0.20 µm, 7.7E-06 L]","15,660/piece",Cal. by Laser Interferometer,08051 - 11003
106.0,3-D Artifacts,"Up to X×Y×Z
(1200×1000×700) mm","Q[0.70 µm, 2.30E-6 L]","2,500 + 900/parameter or depend on drawing",Direct measurement by CMM,08051 - 11011
107.0,Optical Flat,max. dia. 60 mm,20 nm,"2,500/piece",Cal. by Flatness Interferometer,08061 - 10201
108.0,Optical Flat,max. dia. 300 mm,"Q[37 nm, 2E-09 F]","7,500/piece",Cal. by Non-contact measurement using Flatness Interferometer,08061 - 10202
109.0,Transmission Flat/Reference Flat,max. dia. 300 mm,"Q[25 nm, 2.0E-06 F]","11,500/piece",Absolute Flatness calibration by 3-Flat Test method,08061 - 10203
110.0,"Glass Hemisphere
Roundness specimen (High precision)",dia. Up to 355 mm,"Q[8.0 nm, 8.0E-03 R]","11,500/piece","Error seperation technique by multistep method (Stylus-on-spindle)
where R representing roundness value
Soft file of measurement result charge +2500 baht/file",08061 - 10301
