ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
1.0,DC Voltage Standard,1.018 V  / 10 V,0.9 mV/V /0.4 mV/V,"12,500/piece  + 6,750/next point",,09010-10110
2.0,Standard Cell,1 V / 1.018 V,0.9 mV/V,"12,500/piece",,09010-10111
3.0,DC Voltage Standard,1 V / 1.018 V   / 10 V,0.03 mV/V/ 0.01 mV/V,"36,000/piece",Compared against JJVS maintained by NIMT (Uncertainty depends on noise of Unit Under Calibration),09010-10112
4.0,Picoampmeter,2 pA to 200 mA,0.1 mA/A to 0.01 mA/A,"6,750 to 11,250/piece",Used volt-ampere method.,09010-10320
5.0,Electrometer,2 nC to 200 µC,0.1 mC/C,"6,750 to 11,250/ piece",,09010-10321
6.0,"DC Current Source
","10 µA, 100 µA",5.0 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03111
7.0,"DC Current Source
","1 mA, 10 mA, 100 mA, 1 A, 10 A, 20 A",5.0 µA/A to 14 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03121
8.0,"DC Current Source
","30 A, 100 A, 200 A",14 µA/A to 20 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03131
9.0,DC Current Meter,"10 µA, 100 µA",5.0 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03211
10.0,DC Current Meter,"1 mA, 10 mA, 100 mA, 1 A, 10 A, 20 A",5.0 µA/A to 14 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03221
11.0,DC Current Meter,30 A,14 µA/A,"9,000 THB first point + 2,500 THB next point ",Volt Ampere method,09010-03231
12.0,AC/DC Transfer Standard,"AC-DC Transfer Difference 2 mV to 20 V  Frequency: 10 Hz to 1 MHz
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.22 mV/V,"90,000/item",,09020-10510
13.0,Thermal Transfer Standard,"AC-DC Transfer Difference 0.5 V to 20 V Frequency: 10 Hz to 1 MHz 
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.22 mV/V,"67,500/item",,09020-10511
14.0,Thermal Voltage Converter Standard,"AC-DC Transfer Difference 0.5 V to 20 V 
Frequency: 10 Hz to 1 MHz
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.22 mV/V,"9,000/item",,09020-10512
15.0,AC Measurement Standard,"AC-DC Transfer Difference 10 mV to 20 V
Frequency: 10 Hz to 1 MHz
AC-DC Transfer Difference > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",8 mV/V to 0.12 mV/V,"67,500 to 78,750 /item",Excluded WB option.,09020-10520
16.0,AC Measurement Standard,"AC Voltage 10 mV to 20 V
Frequency: 10 Hz to 1 MHz
AC Voltage > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",11 mV/V to 0.18 mV/V,"78,750 to 85,500 /item",Included WB option.,09020-10521
17.0,Alternating Voltage Measurement Standard,"AC Voltage  100 mV to 20 V 
Frequency: 10 Hz to 1 MHz
AC Voltage  > 20 V to 1000 V
Frequency: 10 Hz to 100 kHz",11 mV/V to 0.18 mV/V,67500/item,,09020-10522
18.0,AC Voltage Current Standard,"AC Voltage 100 mV to 1000V
Frequency 60 Hz and 400 Hz
AC Current 100 mA to 30 A
Frequency 60 Hz and 400 Hz","18 mV/V to 0.58 mV/V
50 mA/A to 0.12 mA/A","18,130 to 21,700/item",,09020-10560
