ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
2519.0,Diaphragm Gas Meter,(0.06 to 10) m3/h,0.01,"5,000 / 3 points (0.06, 2, 10) m3/h / 1 meter +1250/next point",Comparison Method,10081-10103
2520.0,Flaw Detector,"X-axis (25.25 to 170) mm
Y-axis (10 to 100) %dB",0.5% of reading,"10,000/5 points/1 probe+1500/next probe",Direct measurement by ultrasonic system,10080-10603
2521.0,Vickers : HV  According to ISO6507-3,"HV 5, HV 10, HV 20, HV 30, HV 50, HV 100
Range 100 HV to 950 HV",(2.1 + 2600/d2)% of HV,"25,400/piece",,10050-20201
2522.0,Rain Gauge,(10 - 480) mm/h,0.01,"12,500/5 points
+2,500/next point",Calibration Fluid : WaterGravimetric Method,10080-10802
2523.0,Certified Reference Block Rockwell : HR According to ISO6508-3 : 2023,HR15N,0.50 HR15N,"17,500/piece",According to ISO6508-3 : 2023,10050-20101
2524.0,Recalibration of Reference Block Rockwell : HR According to ISO6508-3 : 2023,HR15N,0.50 HR15N,"9,350/piece",According to ISO6508-3 : 2023,10050-10101
2525.0,Testing the nanoindentation hardness of materials,"Test force : 0.1 to 480 mN
Depth (Dz) : 0 to 7.2 ?m
Loading rate : 0.1 mN/min to 10 N/min
Testing cycle : 1 to 70 s","4.0 GPa of Indentation
modulus; EIT","8,500/piece",Based on the ISO 14577-1:2015,10050-10601
,Mass Standard,1 kg,"0.038 mg 
(Class E0)","18,750/piece","
Comparison in air",10011 - 10001
,Mass Standard set,1 mg to 10 mg,,"22,500/set",,10011 - 10101
,Mass Standard,1 mg to 1 kg,Class E1,"4,500/piece",Mass and Conventional mass,10011 - 10101
,Mass Standard set,20 mg to 100 mg,,"18,000/set",,10011 - 10101
,Mass Standard set,200 mg to 1 g,,"18,000/set",,10011 - 10101
,Mass Standard set,200 g to 1 kg,,"18,000/set",,10011 - 10101
,Mass Standard set,2 g to 10 g,,"18,000/set",,10011 - 10101
,Mass Standard set,20 g to 100 g,,"18,000/set",,10011 - 10101
,Mass Standard,2 kg,Class E1,"5,070/piece",Mass and Conventional mass,10011 - 10102
,Mass Standard,5 kg,Class E1,"5,630/piece",Mass and Conventional mass,10011 - 10103
,Mass Standard set,2 kg to 10 kg,,"21,710/set",,10011 - 10104
,Mass Standard,10 kg,Class E1,"5,940/piece",Mass and Conventional mass,10011 - 10104
,Mass Standard,20 kg,Class E1,"6,250/piece",Mass and Conventional mass,10011 - 10105
,Mass Standard or Mass Standard set,1 mg to 1 kg,Class E2 ,"2,050/piece",Conventional mass,10011 - 10201
,Mass Standard or Mass Standard set,2 kg,Class E2 ,"2,750/piece",Conventional mass,10011 - 10202
,Mass Standard or Mass Standard set,5 kg,Class E2 ,"2,750/piece",Conventional mass,10011 - 10203
,Mass Standard or Mass Standard set,10 kg,Class E2 ,"3,130/piece",Conventional mass,10011 - 10204
,Mass Standard or Mass Standard set,20 kg,Class E2 ,"3,940/piece",Conventional mass,10011 - 10205
,Mass Standard or Mass Standard set,50 kg,Class E2 ,"8,000/piece",Conventional mass,10011 - 10206
,Mass Standard or Mass Standard set,1 mg to 1 kg,Class F1 and lower,"1,690/piece",Conventional mass,10011 - 10301
,Mass Standard or Mass Standard set,2 kg,Class F1 and lower,"2,250/piece",Conventional mass,10011 - 10302
,Mass Standard or Mass Standard set,5 kg,Class F1 and lower,"2,750/piece",Conventional mass,10011 - 10303
,Mass Standard or Mass Standard set,10 kg,Class F1 and lower,"2,750/piece",Conventional mass,10011 - 10304
,Mass Standard or Mass Standard set,20 kg,Class F1 and lower,"3,130/piece",Conventional mass,10011 - 10305
,Mass Standard or Mass Standard set,50 kg,Class F1 and lower,"6,250/piece",Conventional mass,10011 - 10306
,Mass Standard or Mass Standard set,100 kg,Class F1 and lower,"10,170/piece",Conventional mass,10011 - 10307
,Mass Standard or Mass Standard set,200 kg,Class F1 and lower,"15,000/piece",Conventional mass,10011 - 10308
,Mass Standard or Mass Standard set,500 kg,Class F1 and lower,"15,000/piece",Conventional mass,10011 - 10401
,Mass Standard or Mass Standard set,1000 kg,Class F2 and lower,"16,250/piece",Conventional mass,10011 - 10402
,Mass Standard or Mass Standard set,2000 kg,Class M1 and lower,"20,000/piece",Conventional mass,10011 - 10501
,Volume magnetic susceptibility of weight,1 g to 20 kg,In the range of 10% to 20% of magnetic polarization,"2,820/piece",By the susceptometer method,10012 - 10101
,"Permanent magnetization of weight 
(including magnetic susceptibility)",0.005 µT - 2.5 µT  /2.5 µT - 120 µT,0.5 µT  / In the range of 10% to 20% of magnetic polarization,"5,000/piece","By the susceptometer method
(Nominal weight range 1 g to 20 kg)",10012 - 10102
,Permanent magnetization of weight ,0  µT - 250 µT,"10  µT + 0.03 µ0M
µ0M = Permanent magnetization µT","1,250/piece","By gaussmeter
(Nominal weight range 1 g to 20 kg)",10012 - 10103
,"Surface roughness (Ra,Rz) of weight",Up to 50  mm,where Zm (unit nm) being measured value of weight,"7,500/piece",Nominal weight range 1 g to 1 kg,10013 - 10101
,"Inter-laboratory comparison on mass measurement;
'- Non Automatic Weighing Instruments (NAWI), Electonic balance""","Single range, Resolution 0.001 mg,
Maximum capacity 21 g,
Number of scale interval 21,000,000",NIMT.M.M-09,"5,000",,10014-10101
,Inter-laboratory comparison on mass measurement;,1000 kg,NIMT.M.M-12,"20,250",Conventional mass,10014-10102
,#NAME?,"200 g , 1 kg  and  20 kg ",NIMT.M.M-13,"9,830","Conventional mass
(200 g ,1 kg- F2 Class
and 20 kg-M1 Class)",10014-10103
,#NAME?,"100 mg, 100 g, and 1 kg ",NIMT.M.M-F1.01/2020,"5,000"," Conventional mass
(100 mg, 100 g, and 1 kg- F1 Class)",10014-10104
,"Non Automatic Weighing Instruments (NAWI), Electonic balance",> 10 kg to 20 kg,0.64 mg + (1.59 X 10-7) X W,5200,Based on the EURAMET calibration guide No.18 version 4.0 (11/2015),10015-30101
,"Non Automatic Weighing Instruments (NAWI), Electonic balance",>  5g to 100 g,0.04 mg + (4.62 X 10-7) X W,5200,Based on the EURAMET calibration guide No.18 version 4.0 (11/2015),10015-30101
,"Non Automatic Weighing Instruments (NAWI), Electonic balance",> 100 g to 500 g,0.04 mg + (4.87 X 10-7) X W,5200,Based on the EURAMET calibration guide No.18 version 4.0 (11/2015),10015-30101
,"Non Automatic Weighing Instruments (NAWI), Electonic balance",>  500 g to 10 kg,0.45 mg + (2.49 X 10-7) X W,5200,Based on the EURAMET calibration guide No.18 version 4.0 (11/2015),10015-30101
,"Non Automatic Weighing Instruments (NAWI), Electonic balance",> 20 kg to 65 kg,0.86 mg + (1.32 X 10-7) X W,5200,Based on the EURAMET calibration guide No.18 version 4.0 (11/2015),10015-30101
,"Non Automatic Weighing Instruments (NAWI), Electonic balance",Up to 5 g,0.03 mg + (7.22 X 10-10) X W,5200,Based on the EURAMET calibration guide No.18 version 4.0 (11/2015),10015-30101
,Automatic Catchweighing Instruments (ACI),> 100.0 g   to 1000.0   g ,1.05  g,"5,200/3 test loads
 + 1,250 next test load","1. Test loads shall be provided by client 
2. In-house method based on the EURAMET - Publishable Summary for 14RPT02 AWICal",10015-30102
,Automatic Catchweighing Instruments (ACI),(0.2  to 100.0)   g  ,0.78  g,"5,200/3 test loads
 + 1,250 next test load","1. Test loads shall be provided by client 
2. In-house method based on the EURAMET - Publishable Summary for 14RPT02 AWICal",10015-30102
,Automatic Catchweighing Instruments (ACI),> 1000.0 g to 1500.0   g ,1.12  g,"5,200/3 test loads
 + 1,250 next test load","1. Test loads shall be provided by client 
2. In-house method based on the EURAMET - Publishable Summary for 14RPT02 AWICal",10015-30102
