ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
1.0,Piston pipette ,20 mL to 10 mL,0.04 mL ,"4,000 three point + 500 next point",,12032-10201
2.0,Volumetric apparatus,1 mL to 2000 mL,Class A,"2,500 two point + 500 next point","volumetric flask, pipette, burette, pycnometer",12032-10203
3.0,recalibrate of referene material for calibration UV/VIS spectrophotometer (Photometric accuracy),20 to 100 mg/kg,0.003 A,"7,500/set",potassium dichromate solution,12032-10301
4.0,recalibrate of referene material for calibration UV/VIS spectrophotometer (stray light),190 - 280 nm,0.12 nm ,"6,500/set",,12032-10306
5.0,pH meter with associated electrode,1 - 12 pH,0.01 pH ,"4,000/set (3 point + 500 next point)",,12031-10101
6.0,Oxygen  Analyzer,0.001 -30 cmol/mol,? 1.0%,"11,500/item",3-point calibration,12053-10101
7.0,Oxygen Detector,18 - 23 cmol/mol,? 1.0%,"3,000/item ",1-point calibration,12052-10102
8.0,Carbon Dioxide Analyzer,0.005-20 cmol/mol,? 1.0%,"11,500/item",3-point calibration,12053-10201
9.0,Carbon Dioxide Detector,0.005-20 cmol/mol,? 1.0%,"3,000/item ",1-point calibration,12052-10202
10.0,Methane  Analyzer,0.005-20 cmol/mol,? 1.0%,"11,500/item",3-point calibration,12053-10301
11.0,Methane Detector,"2.2 -2.5 cmol/mol 
",? 1.0%,"3,000/item ",1-point calibration,12052-10302
12.0,Carbon Monoxide  Analyzer,50 - 65000 µmol/mol,? 1.0%,"11,750/item",3-point calibration,12053-10401
13.0,Carbon Monoxide Detector,50 - 65000 µmol/mol,? 1.0%,"3,000/item ",1-point calibration,12052-10402
14.0,Sulfur Dioxide Analyzer,"30 - 5,000 umol/mol",? 1.0%,"14,500/Item",3-point calibration,12051-10501
15.0,Propane Detector,0.85 cmol/mol,? 1.0%,"3,000/item ",1-point calibration,12051-10601
16.0,Nitrogen Monoxide Analyzer,"30 - 5,000 umol/mol",? 1.0%,"14,500/Item",3-point calibration,12051-10701
17.0,Nitrogen Dioxide Analyzer,"30 - 3,000 umol/mol",? 1.5%,"14,500/Item",3-point calibration,12050-11701
18.0,Iso-butane Detector,"0.75 cmol/mol 
",? 1.0%,"3,000/item ",1-point calibration,12051-11201
19.0,"Multi Gas Detectors for Carbon Monoxide, Methane, Oxygen and Hydrogen Sulfide","CO:     100 µmol/mol 
CH4:   2.2 cmol/mol
O2 :   18 cmol/mol
H2S:   25 µmol/mol",? 1.0%,"6,000/item ",1-point calibration,12051-11301
20.0,Ammonia Detector,50 µmol/mol,? 1.0%,"3,000/item ",1-point calibration,12051-11401
21.0,Ozone Analyzer,0 - 1000 nmol/mol,As specification,"10,500/item ",4-point calibration including zero point,12050-15201
22.0,Ozone Transfer Standard,"0 - 1,000  nmol/mol",2.3% relative,"55,000/Item",EPA: multipoint calibration (min 7-point),12050-15202
23.0,Pork DNA solution,1.2 x 105 copies/µL,1.3 x 104 copies/µL,5000,,12042-20104
24.0,MON810 plasmid DNA,1.04 copy number ratio,0.061 copy number ratio,12500,,12042-20101
25.0,TRM-enzyme a-amylase ,382.8-457.2 U/L,37.2 U/L,12500,,12042-20105
26.0,Beef DNA solution,1.0 x 105 copies/µL,1.3 x 104 copies/µL,5000,,12042-20107
27.0,Blank papaya DNA solution,1.8 x 104 copies/µL,2.3 x 103 copies/µL,5000,,12042-20110
28.0,Roundup ready plasmid DNA,1.09 copy number ratio,0.18 copy number ratio,"12,500",,12042-20114
29.0,Bt63-Rice plasmid DNA,2.3 x 104 copies/µL,4.7 x 103 copies/µL,"12,500",,12042-20115
30.0,Papaya line 55-1 plasmid DNA,8.8 x 10^5 copies/µL,1.8 x10^5 copies/µL,12500,,12042-20116
31.0,Beef DNA Solution (Processed food),1.3 x 105 copies/µL,1.4 x 104 copies/µL,5000,,12042-20119
32.0,%Pork in beef DNA solution (Processed food),1.37%  cp/cp,0.19% cp/cp,"5,000",,12042-20120
33.0,LLrice62 Rice-Plasmid DNA,1.2x 105 copies/µL,2.8 x 104 copies/µL,12500,,12042-20124
34.0,Pork DNA solution (processed food),1x105 copies/µL,1x104 copies/µL,5000,,12042-20125
35.0,ASFV in tissue homogenate,358 copies/µL,128 copies/µL,12500,,12042-20126
36.0,Set of ASFV in tissue homogenate,5-1500 copies/µL,,"12,500/set",,12042-20127
37.0,MON89788 plasmid DNA,2.5 x 105 copies/µL,4.7 x 104 copies/µL,12500,,12042-20128
38.0,Goat DNA Solution,8.8 ×104 copies/µL,1.4 ×104 copies/µL,"5,000",,12042-20129
39.0,LLrice601 Rice-Plasmid DNA,1.2x 105 copies/µL,2.6 x 104 copies/µL,12500,,12042-20130
40.0,Chicken DNA Solution,2.5 × 105 copies/µL,3.1 × 104 copies/µL,"5,000",,12042-20134
41.0,Papaya Huanong1 Plasmid DNA,1.9 × 105 copies/µL,2.0 ×104 copies/µL,"12,500",,12042-20135
42.0,CaMV35S Plasmid DNA,1.2 × 104  copies/µL,1.8 × 103  copies/µL,"12,500",,12042-20136
43.0,Sheep DNA solution,1.1 × 105  copies/µL,1.7 × 104  copies/µL,"5,000",,12042-20141
44.0,Secondary pH standard (tetroxalate) ,1.66-1.70 pH,0.006 pH,"8,000/set  (5 x 100 mL)",Differential cell method,12032-20109
45.0,Secondary pH standard (tetroxalate) ,1.66-1.70 pH,0.006 pH,"1,700/100 mL",Differential cell method,12032-20110
46.0,Secondary pH standard (Phthalate) ,3.990 - 4.020 pH,0.006 pH,"8,000/set  (5 x 100 mL)",Differential cell method,12032-20101
47.0,Secondary pH standard (Phthalate) ,3.990 - 4.020 pH,0.006 pH,"1,700/100 mL",Differential cell method,12032-20105
48.0,Secondary pH standard  (Equipmolal phosphate),6.850 - 6.880 pH,0.006 pH,"8,000/set  (5 x 100 mL)",Differential cell method,12032-20102
49.0,Secondary pH standard  (Equipmolal phosphate),6.850 - 6.880 pH,0.006 pH,"1,700/100 mL",Differential cell method,12032-20106
