ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
1.0,Luminous intensity of a tungsten lamp,"10 cd ? I? ? 3 000 cd
2 000 K ? CCT ? 3 400 K",0.98%,15000,Detector-based method against a set of reference photometer ,13011-11011
2.0,Luminous intensity of an incandescent lamp,"10 cd ? I? ? 3 000 cd
2 000 K ? CCT ? 3 400 K",0.66%,"18,750 for the first lamp + 
8,500 for any additional lamp of the same type ",Substitution method against two national reference standard lamps,13015-11011
3.0,Luminous intensity of an incandescent lamp,"10 cd ? I? ? 3 000 cd
2 000 K ? CCT ? 3 400 K",0.83%,"12,500 for the first lamp + 
6,250 for any additional lamp of the same type",Substitution method against two working standard lamps,13016-11011
4.0,Illuminance responsivity of a photo-detector head,"12 lx ? E? ? 300 lx
2 000 K ? CCT ? 3 400 K",0.70%,6250,Source-based measurements using national reference standard lamps applying the inverse-square law.,13015-11021
5.0,Illuminance responsivity of a photo-detector head,"12 lx ? E? ? 300 lx
2 000 K ? CCT ? 3 400 K",0.80%,3130,Source-based measurements using working standard lamps applying the inverse-square law.,13016-11021
6.0,Illuminance responsivity of an illuminance meter or a lux meter,"2  lx ? E? ? 70 lx  (range 1)
70  lx ? E? ? 1 400 lx  (range 2)
1 200  lx ? E? ? 10 000 lx  (range 3)
10 000  lx < E? ? 30 000 lx  (range 4)

2 000 K ? CCT ? 3 400 K","0.91% (range 1, 2, 3)
1.2% (range 4, 5)
 varied with illuminance level","5,000 for the first range + 2,500 for any additional range 2, 3, 4
(5 calibration points per range)",Detector-based comparison against reference photometers,13011-11021
7.0,Luminous flux of a tungsten lamp,5 lm to 9 000 lm,0.0089,18000,"Gonio-photometer
(CCT: 2 000 K to 3 400 K)",13010-11031
8.0,Luminous flux of an LED,5 lm to 9 000 lm,0.012,18000,"Gonio-photometer
(Geometric measurement conditions: full, peak wavelength: white)",13010-11032
9.0,Luminous flux of a tungsten lamp,5 lm to 9 000 lm,1.10%,"13,000 for the first lamp +
7,000 for any additional lamp of the same type","Integrating sphere
(CCT: 2 000 K to 3 400 K)",13015-11031
10.0,Luminous flux of an LED,5 lm to 9 000 lm,1.30%,"13,000 for the first lamp +
7,000 for any additional lamp of the same type","Integrating sphere
(Geometric measurement conditions: full, peak wavelength: white)",13015-11032
11.0,Luminous flux of a single-packaged LED,0.1 lm to 100 lm,"2.1% to 2.6% 
varied with LED color","12,500 for the first LED + 6,250 for any additional LED of the same type","Integrating sphere
(Geometric measurement conditions: full)",13045-11032
12.0,Luminous flux of a linear fluorescent lamp,800 lm to 4 000 lm,1.20%,"13,000 for the first lamp +
7,000 for any additional lamp of the same type","Integrating sphere
(CCT: 2 600 K to 6 200 K)",13015-11033
13.0,Luminance of a luminance source,"0.100 0 cd/m2 ? L? ? 199 900 cd/m2
2 000 K ? CCT ? 6 500 K",0.011,"10,000 for the first calibration point + 8,000 for any additional point","Direct measurement by NIMT’s reference
luminance meter",13012-11051
14.0,Luminance responsivity of a luminance meter,"0.100 0 cd/m2 ? L? ? 43 000 cd/m2
2 000 K ? CCT ? 3 400 K",0.0091,"30,000 for a set of 30 calibration points covering 5 decades",Detector-based comparison against a set of two reference photometers with precision aperture,13011-11060
15.0,Luminance responsivity of a luminance meter,"1 cd/m2 ? L? ? 49 000 cd/m2
3 000 K ? CCT ? 6 000 K",0.017,"4,000 for the first calibration point + 1,500 for any additional point within the same range and approximately same CCT (± 50 K)",Comparison method against the reference luminance meter under the solar spectrum uniform source system,13012-11060
16.0,Averaged luminous intensity of a single-packaged LED,0.1 cd to 50 cd,"2.4% to 3.3%
varied with LED color  ","15,000 for the first LED (CIE condition A and B) + 7,500 for any additional LED of the same type","Photometric bench, spectroradiometer and reference lamps",13045-11012
17.0,Correlated color temperature of a general source,"2 600 K to 3 200 K (tungsten lamp)
2 600 K to 7 500 K (discharge lamp, LED)","19 K (tungsten lamp)
23 K to 79 K (discharge lamp, LED)",6500,Spectroradiometer and integrating sphere,13015-15021
18.0,"Regular spectral transmittance of a transmitting filter or film.  
Measured transmittance values will be reported at 10 nm interval from 200 nm to 900 nm and 50 nm interval from 900 nm to 2 500 nm.","31.6% < %T ? 97.7% 
(0.01 ? OD < 0.5)",200 nm to 2000 nm: Greater than or equal to 0.48% ,"6,250/sample for full range 
(UV-VIS-NIR)
3,750/sample for half range
(UV-VIS or VIS-NIR)
3,750/sample","By comparison against a reference  ND filters using the reference spectrophotometer.
Measurement uncertainties shown are percent relative of transmittance values and they are varied by wavelengths and dependent of UCC.",13025-14011
