ลำดับ (Item No.),รายละเอียดเครื่องมือ (Description),ช่วงการวัด (Range),ความสามารถการวัด (CMC / Uncertainty),ราคาค่าบริการ (Price),หมายเหตุ (Remark),รหัสบริการ (Code),ฝ่ายงานจริง (Actual Department),ราคาตัวเลข (Price Numeric),ฝ่ายงานที่ทำนาย (Predicted Department),รหัสกลุ่มคลัสเตอร์ (Cluster ID),คำสำคัญของกลุ่มคลัสเตอร์ (Cluster Keywords)
1.0,Iodine Stabilized He-Ne laser,633 nm,5.00E-11,"36,000/piece",Beat measurement mehod with Iodine stabilized He-Ne laser,08011 - 10101,Dimensional Metrology Department,36000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
2.0,Stabilized He-Ne laser,633 nm,1.00E-09,"22,530/piece",Beat measurement mehod with Iodine stabilized He-Ne laser,08011 - 10201,Dimensional Metrology Department,22530.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
3.0,Stabilized He-Ne laser,500 - 1000 nm and 1560 nm,1.00E-12,"45,000/piece",Beat measurement mehod with optical comb,08011 - 10202,Dimensional Metrology Department,45000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
4.0,Stabilized He-Ne laser,532 nm,4.00E-08,"22,530/piece",Beat measurement mehod with Iodine stabilized Nd:YAG laser,08011 - 10203,Dimensional Metrology Department,22530.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
5.0,Dual frequency stabilized He-Ne laser,633 nm,1.00E-09,"25,000",Beat measurement mehod with Iodine stabilized  He-Ne laser,08011 - 10204,Dimensional Metrology Department,25000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
6.0,Nonstabilized Laser,633 nm,1.00E-07,"22,530/piece",Beat measurement mehod with Iodine stabilized He-Ne laser,08011 - 10301,Dimensional Metrology Department,22530.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
7.0,Nonstabilized Laser,350 - 1100 nm,1.70E-07,"21,280/piece",Direct measurment method by wavelength meter,08011 - 10401,Dimensional Metrology Department,21280.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
8.0,Wavelength meter,532 - 1064 nm,4.00E-08,"25,000/piece",Direct measurment method by stabilized light source,08011 - 10503,Dimensional Metrology Department,25000.0,Electrical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
12.0,"Rectangular Gauge Block,
Material : Chromium Carbide",0.5 mm to 125 mm,"Q[26 nm, 0.27E-6 L]","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101,Dimensional Metrology Department,2000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
11.0,"Rectangular Gauge Block,
Material : Tungsten Carbide",0.5 mm to 125 mm,"Q[26 nm, 0.18E-6 L]
","2,000/piece            ","Optical Interferometry method, 
Deviation from central length Measuring faces inspection without lapping. Both side wringing",08021 - 10101,Dimensional Metrology Department,2000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
