รหัส,กลุ่มประเภทกิจการ,มิ.ย65(ล้านบาท),มิ.ย66(ล้านบาท),ผลต่าง(ล้านบาท)
0,กิจกรรมที่ไม่สามารถจำแนกได้,24.198,25.422,1.225
1,การเพาะปลูกและการเลี้ยงสัตว์ การล่าสัตว์ และกิจกรรมบริการที่เกี่ยวข้อง,0.044,0.107,0.063
2,การป่าไม้และการทำไม้,0,0,0
3,การประมงและการเพาะเลี้ยงสัตว์นํ้า,0.03,6.022,5.992
6,การขุดเจาะปิโตรเลียมดิบและก๊าซธรรมชาติ,0.04,0.001,-0.039
7,การทำเหมืองสินแร่โลหะ,0,0,0
8,การทำเหมืองแร่และเหมืองหินอื่นๆ,0.152,0.199,0.047
9,กิจกรรมบริการที่สนับสนุนการทำเหมืองแร่,15.44,22.785,7.346
10,การผลิตผลิตภัณฑ์อาหาร,2.38,5.483,3.103
11,การผลิตเครื่องดื่ม,0.092,0.381,0.289
13,การผลิตสิ่งทอ,0.144,0.079,-0.066
14,การผลิตเสื้อผ้าเครื่องแต่งกาย,0.197,0.43,0.233
15,การผลิตเครื่องหนังและผลิตภัณฑ์ที่เกี่ยวข้อง,0.158,0.207,0.048
16,การผลิตไม้และผลิตภัณฑ์จากไม้และไม้ก๊อก (ยกเว้นเฟอร์นิเจอร์) การผลิตสิ่งของจากฟางและวัสดุถักสานอื่นๆ,2.055,1.375,-0.68
17,การผลิตกระดาษและผลิตภัณฑ์กระดาษ,1.898,3,1.102
18,การพิมพ์และการผลิตซํ้าสื่อบันทึกข้อมูล,0.283,0.53,0.247
19,การผลิตถ่านโค้กและผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,0.001,0.001,-0.001
20,การผลิตเคมีภัณฑ์และผลิตภัณฑ์เคมี,0.523,0.36,-0.163
21,การผลิตเภสัชภัณฑ์ เคมีภัณฑ์ที่ใช้รักษาโรค และผลิตภัณฑ์จากพืชและสัตว์ที่ใช้รักษาโรค,0.104,0.021,-0.084
22,การผลิตผลิตภัณฑ์ยางและพลาสติก,3.262,4.942,1.68
23,การผลิตผลิตภัณฑ์อื่นๆ ที่ทำจากแร่อโลหะ,2.384,6.664,4.28
24,การผลิตโลหะขั้นมูลฐาน,0.517,0.567,0.05
25,การผลิตผลิตภัณฑ์โลหะประดิษฐ์ (ยกเว้นเครื่องจักรและอุปกรณ์),4.189,4.076,-0.114
26,การผลิตผลิตภัณฑ์คอมพิวเตอร์ อิเล็กทรอนิกส์ และอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,13.97,7.165,-6.805
27,การผลิตอุปกรณ์ไฟฟ้า,0.241,0.471,0.23
28,การผลิตเครื่องจักรและเครื่องมือ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3.295,2.661,-0.634
29,การผลิตยานยนต์ รถพ่วง และรถกึ่งพ่วง,3.358,1.39,-1.968
30,การผลิตอุปกรณ์ขนส่งอื่นๆ,0.956,3.847,2.891
31,การผลิตเฟอร์นิเจอร์,0.446,0.478,0.032
32,การผลิตผลิตภัณฑ์อื่นๆ,2.199,6.578,4.379
33,การซ่อมและการติดตั้งเครื่องจักรและอุปกรณ์,1.337,1.406,0.069
35,ไฟฟ้า ก๊าซ ไอนํ้า และระบบปรับอากาศ,0.002,0.01,0.008
36,การเก็บกักนํ้า การจัดหานํ้า และการจ่ายนํ้า,0.003,0,-0.003
37,การจัดการนํ้าเสีย,0.534,1.028,0.494
38,การเก็บรวบรวมของเสีย การบำบัด และการกําจัดของเสีย รวมถึงการนำของเสียกลับมาใช้ใหม่,0.066,0.67,0.605
39,กิจกรรมการบำบัดและบริการจัดการของเสียอื่นๆ,0,0,0
41,การก่อสร้างอาคาร,15.912,22.588,6.676
42,งานวิศวกรรมโยธา,0.616,0.835,0.22
43,งานก่อสร้างเฉพาะทาง,14.425,13.416,-1.009
45,การขายส่งและการขายปลีก การซ่อมยานยนต์และจักรยานยนต์,18.086,17.305,-0.782
46,การขายส่ง (ยกเว้นยานยนต์และจักรยานยนต์),31.898,46.312,14.414
47,การขายปลีก (ยกเว้นยานยนต์และจักรยานยนต์),41.401,55.584,14.183
49,การขนส่งทางบกและการขนส่งทางท่อลำเลียง,4.146,3.805,-0.341
50,การขนส่งทางนํ้า,4.138,2.814,-1.324
51,การขนส่งทางอากาศ,0.004,0.004,0
52,กิจกรรมคลังสินค้าและกิจกรรมที่สนับสนุนการขนส่ง,3.305,5.974,2.669
53,กิจกรรมไปรษณีย์และการรับส่งพัสดุภัณฑ์,0.005,0.01,0.005
55,ที่พักแรม,29.672,60.528,30.856
56,การบริการอาหารและเครื่องดื่ม,9.487,19.525,10.038
58,การจัดพิมพ์จำหน่ายหรือเผยแพร่,0.131,0.124,-0.007
59,การผลิตภาพยนตร์ วีดิทัศน์ และรายการโทรทัศน์ การบันทึกเสียงลงบนสื่อ และการจัดพิมพ์จำหน่าย หรือเผยแพร่ดนตรี,0.014,0.33,0.315
60,การจัดผังรายการและการแพร่ภาพกระจายเสียง,0.173,0.177,0.004
61,การโทรคมนาคม,0,0.015,0.014
62,การจัดทำโปรแกรมคอมพิวเตอร์ การให้คำปรึกษาเกี่ยวกับคอมพิวเตอร์ และกิจกรรมที่เกี่ยวข้อง,4.827,2.995,-1.832
63,การบริการสารสนเทศ,0.014,0.083,0.069
64,กิจกรรมบริการทางการเงิน (ยกเว้นการประกันภัยและกองทุนบำเหน็จบำนาญ),1.573,2.082,0.509
65,การประกันภัย การประกันภัยต่อ และกองทุนบำเหน็จบำนาญ (ยกเว้นการประกันสังคมภาคบังคับ),0.631,0.547,-0.084
66,กิจกรรมสนับสนุนการบริการทางการเงินและการประกันภัย,2.505,3.445,0.94
68,กิจกรรมอสังหาริมทรัพย์,50.146,85.356,35.21
69,กิจกรรมทางกฎหมายและการบัญชี,2.081,17.989,15.909
70,กิจกรรมของสำนักงานใหญ่และการบริการให้คำปรึกษาด้านการบริหารจัดการ,5.072,7.331,2.259
71,กิจกรรมด้านสถาปัตยกรรมและวิศวกรรม รวมถึงการทดสอบและการวิเคราะห์ทางเทคนิค,1.112,1.285,0.173
72,การวิจัยและพัฒนาเชิงวิทยาศาสตร์,0.003,0,-0.003
73,การโฆษณาและการวิจัยตลาด,1.251,1.365,0.114
74,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิคอื่นๆ,0.689,0.851,0.162
75,การบริการรักษาสัตว์,0.063,0.221,0.158
77,กิจกรรมการให้เช่า,6.117,9.612,3.494
78,กิจกรรมการจ้างงาน,4.142,3.546,-0.596
79,กิจกรรมของตัวแทนธุรกิจท่องเที่ยว การจัดนำเที่ยว การบริการสำรอง และกิจกรรมที่เกี่ยวข้อง,1.104,3.845,2.74
80,การบริการรักษาความปลอดภัยและการสืบสวน,2.31,2.858,0.548
81,กิจกรรมการบริการสำหรับอาคารและภูมิทัศน์,2.209,3.228,1.02
82,การบริการด้านการบริหารและสนับสนุนการดำเนินงานของสำนักงาน และกิจกรรมอื่นๆ ที่สนับสนุนทางธุรกิจ,40.517,16.232,-24.285
84,การบริหารราชการ การป้องกันประเทศ และการประกันสังคมภาคบังคับ,0.008,0.014,0.006
85,การศึกษา,1.377,1.529,0.152
86,กิจกรรมด้านสุขภาพมนุษย์,3.454,3.851,0.397
87,กิจกรรมการให้การดูแลที่ให้ที่พัก,0.065,0.123,0.058
88,กิจกรรมสังคมสงเคราะห์ที่ไม่ให้ที่พัก,0.024,0.016,-0.009
90,กิจกรรมการสร้างสรรค์ศิลปะและความบันเทิง,1.144,7.086,5.942
91,กิจกรรมห้องสมุด หอจดหมายเหตุ พิพิธภัณฑสถาน และกิจกรรมทางวัฒนธรรมอื่นๆ,1.447,1.294,-0.154
92,กิจกรรมการพนันและการเสี่ยงโชค,0.023,0.009,-0.014
93,กิจกรรมด้านการกีฬา ความบันเทิง และการนันทนาการ,4.178,6.502,2.325
94,กิจกรรมองค์การสมาชิก,1.269,1.646,0.376
95,การซ่อมคอมพิวเตอร์และของใช้ส่วนบุคคลและของใช้ในครัวเรือน,4.072,3.752,-0.32
96,กิจกรรมบริการส่วนบุคคลอื่นๆ,3.613,5.015,1.402
97,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล,0,0,0
98,กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ซึ่งไม่สามารถจำแนกกิจกรรมได้อย่างชัดเจน,0.003,0.004,0.001
99,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,0.768,0.281,-0.487
