รหัส,กลุ่มประเภทกิจการ,ก.ค.65(ล้านบาท),ก.ค.66(ล้านบาท),ผลต่าง(ล้านบาท)
0,กิจกรรมที่ไม่สามารถจำแนกได้,12.462,14.234,1.771
1,การเพาะปลูกและการเลี้ยงสัตว์ การล่าสัตว์ และกิจกรรมบริการที่เกี่ยวข้อง,0.061,0.254,0.193
2,การป่าไม้และการทำไม้,0,0,0
3,การประมงและการเพาะเลี้ยงสัตว์นํ้า,0.21,0.453,0.243
6,การขุดเจาะปิโตรเลียมดิบและก๊าซธรรมชาติ,0.001,0.176,0.175
7,การทำเหมืองสินแร่โลหะ,0,0,0
8,การทำเหมืองแร่และเหมืองหินอื่นๆ,0.164,0.338,0.174
9,กิจกรรมบริการที่สนับสนุนการทำเหมืองแร่,8.11,26.949,18.839
10,การผลิตผลิตภัณฑ์อาหาร,2.065,3.664,1.599
11,การผลิตเครื่องดื่ม,0.08,0.187,0.107
13,การผลิตสิ่งทอ,0.051,0.075,0.024
14,การผลิตเสื้อผ้าเครื่องแต่งกาย,0.161,0.735,0.575
15,การผลิตเครื่องหนังและผลิตภัณฑ์ที่เกี่ยวข้อง,0.105,0.089,-0.015
16,การผลิตไม้และผลิตภัณฑ์จากไม้และไม้ก๊อก (ยกเว้นเฟอร์นิเจอร์) การผลิตสิ่งของจากฟางและวัสดุถักสานอื่นๆ,0.896,0.722,-0.174
17,การผลิตกระดาษและผลิตภัณฑ์กระดาษ,0.306,1.06,0.755
18,การพิมพ์และการผลิตซํ้าสื่อบันทึกข้อมูล,0.109,0.133,0.023
19,การผลิตถ่านโค้กและผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,0.001,0,-0.001
20,การผลิตเคมีภัณฑ์และผลิตภัณฑ์เคมี,0.489,0.681,0.193
21,การผลิตเภสัชภัณฑ์ เคมีภัณฑ์ที่ใช้รักษาโรค และผลิตภัณฑ์จากพืชและสัตว์ที่ใช้รักษาโรค,0.048,0.015,-0.033
22,การผลิตผลิตภัณฑ์ยางและพลาสติก,1.484,2.344,0.86
23,การผลิตผลิตภัณฑ์อื่นๆ ที่ทำจากแร่อโลหะ,1.772,4.742,2.97
24,การผลิตโลหะขั้นมูลฐาน,0.648,0.445,-0.204
25,การผลิตผลิตภัณฑ์โลหะประดิษฐ์ (ยกเว้นเครื่องจักรและอุปกรณ์),2.479,3.351,0.872
26,การผลิตผลิตภัณฑ์คอมพิวเตอร์ อิเล็กทรอนิกส์ และอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,0.537,1.581,1.044
27,การผลิตอุปกรณ์ไฟฟ้า,0.277,0.524,0.248
28,การผลิตเครื่องจักรและเครื่องมือ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3.006,1.266,-1.74
29,การผลิตยานยนต์ รถพ่วง และรถกึ่งพ่วง,0.506,0.351,-0.156
30,การผลิตอุปกรณ์ขนส่งอื่นๆ,0.944,1.384,0.44
31,การผลิตเฟอร์นิเจอร์,0.476,0.417,-0.059
32,การผลิตผลิตภัณฑ์อื่นๆ,2.015,1.975,-0.04
33,การซ่อมและการติดตั้งเครื่องจักรและอุปกรณ์,0.744,1.149,0.405
35,ไฟฟ้า ก๊าซ ไอนํ้า และระบบปรับอากาศ,0.002,0.018,0.016
36,การเก็บกักนํ้า การจัดหานํ้า และการจ่ายนํ้า,0,0,0
37,การจัดการนํ้าเสีย,0.476,0.911,0.436
38,การเก็บรวบรวมของเสีย การบำบัด และการกําจัดของเสีย รวมถึงการนำของเสียกลับมาใช้ใหม่,0.081,0.469,0.388
39,กิจกรรมการบำบัดและบริการจัดการของเสียอื่นๆ,0,0.001,0.001
41,การก่อสร้างอาคาร,12.684,15.128,2.444
42,งานวิศวกรรมโยธา,0.525,0.88,0.355
43,งานก่อสร้างเฉพาะทาง,10.675,14.077,3.402
45,การขายส่งและการขายปลีก การซ่อมยานยนต์และจักรยานยนต์,7.826,7.836,0.01
46,การขายส่ง (ยกเว้นยานยนต์และจักรยานยนต์),15.61,25.689,10.079
47,การขายปลีก (ยกเว้นยานยนต์และจักรยานยนต์),33.976,40.008,6.033
49,การขนส่งทางบกและการขนส่งทางท่อลำเลียง,2.7,3.048,0.348
50,การขนส่งทางนํ้า,3.494,2.863,-0.631
51,การขนส่งทางอากาศ,0.005,0.004,-0.001
52,กิจกรรมคลังสินค้าและกิจกรรมที่สนับสนุนการขนส่ง,4.013,7.057,3.045
53,กิจกรรมไปรษณีย์และการรับส่งพัสดุภัณฑ์,0.008,0.012,0.003
55,ที่พักแรม,30.029,55.516,25.487
56,การบริการอาหารและเครื่องดื่ม,8.136,15.993,7.857
58,การจัดพิมพ์จำหน่ายหรือเผยแพร่,0.099,0.119,0.02
59,การผลิตภาพยนตร์ วีดิทัศน์ และรายการโทรทัศน์ การบันทึกเสียงลงบนสื่อ และการจัดพิมพ์จำหน่าย หรือเผยแพร่ดนตรี,0.014,0.102,0.088
60,การจัดผังรายการและการแพร่ภาพกระจายเสียง,0.175,0.201,0.026
61,การโทรคมนาคม,0,0.015,0.015
62,การจัดทำโปรแกรมคอมพิวเตอร์ การให้คำปรึกษาเกี่ยวกับคอมพิวเตอร์ และกิจกรรมที่เกี่ยวข้อง,1.22,1.462,0.242
63,การบริการสารสนเทศ,0.006,0.036,0.029
64,กิจกรรมบริการทางการเงิน (ยกเว้นการประกันภัยและกองทุนบำเหน็จบำนาญ),0.746,2.022,1.277
65,การประกันภัย การประกันภัยต่อ และกองทุนบำเหน็จบำนาญ (ยกเว้นการประกันสังคมภาคบังคับ),0.382,0.466,0.084
66,กิจกรรมสนับสนุนการบริการทางการเงินและการประกันภัย,1.365,2.011,0.646
68,กิจกรรมอสังหาริมทรัพย์,35.057,41.546,6.489
69,กิจกรรมทางกฎหมายและการบัญชี,1.546,1.686,0.14
70,กิจกรรมของสำนักงานใหญ่และการบริการให้คำปรึกษาด้านการบริหารจัดการ,4.734,3.303,-1.431
71,กิจกรรมด้านสถาปัตยกรรมและวิศวกรรม รวมถึงการทดสอบและการวิเคราะห์ทางเทคนิค,1.248,1.572,0.323
72,การวิจัยและพัฒนาเชิงวิทยาศาสตร์,0,0,0
73,การโฆษณาและการวิจัยตลาด,0.68,0.807,0.127
74,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิคอื่นๆ,0.517,0.739,0.223
75,การบริการรักษาสัตว์,0.061,0.092,0.031
77,กิจกรรมการให้เช่า,3.947,4.247,0.299
78,กิจกรรมการจ้างงาน,3.789,5.553,1.764
79,กิจกรรมของตัวแทนธุรกิจท่องเที่ยว การจัดนำเที่ยว การบริการสำรอง และกิจกรรมที่เกี่ยวข้อง,1.026,2.302,1.276
80,การบริการรักษาความปลอดภัยและการสืบสวน,2.103,2.651,0.548
81,กิจกรรมการบริการสำหรับอาคารและภูมิทัศน์,2.568,3.018,0.449
82,การบริการด้านการบริหารและสนับสนุนการดำเนินงานของสำนักงาน และกิจกรรมอื่นๆ ที่สนับสนุนทางธุรกิจ,10.179,12.039,1.859
84,การบริหารราชการ การป้องกันประเทศ และการประกันสังคมภาคบังคับ,0.01,0.011,0.001
85,การศึกษา,1.226,2.65,1.424
86,กิจกรรมด้านสุขภาพมนุษย์,2.344,1.661,-0.683
87,กิจกรรมการให้การดูแลที่ให้ที่พัก,0.062,0.105,0.043
88,กิจกรรมสังคมสงเคราะห์ที่ไม่ให้ที่พัก,0.007,0.011,0.004
90,กิจกรรมการสร้างสรรค์ศิลปะและความบันเทิง,3.118,6.127,3.009
91,กิจกรรมห้องสมุด หอจดหมายเหตุ พิพิธภัณฑสถาน และกิจกรรมทางวัฒนธรรมอื่นๆ,0.869,1.414,0.545
92,กิจกรรมการพนันและการเสี่ยงโชค,0.013,0.001,-0.012
93,กิจกรรมด้านการกีฬา ความบันเทิง และการนันทนาการ,3.539,12.866,9.327
94,กิจกรรมองค์การสมาชิก,1.324,1.604,0.28
95,การซ่อมคอมพิวเตอร์และของใช้ส่วนบุคคลและของใช้ในครัวเรือน,2.39,2.274,-0.116
96,กิจกรรมบริการส่วนบุคคลอื่นๆ,3.667,6.687,3.02
97,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล,0,0,0
98,กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ซึ่งไม่สามารถจำแนกกิจกรรมได้อย่างชัดเจน,0.003,0.003,0
99,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,0.004,0.03,0.025
