ปี,จังหวัด,รายการ,ประเภท,อำเภอ,จำนวน,หน่วย,ที่มา
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, เมืองนราธิวาส,59.5,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, เมืองนราธิวาส,35.13,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, เมืองนราธิวาส,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, เมืองนราธิวาส,144.64,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, เมืองนราธิวาส,3.06,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, เมืองนราธิวาส,6.24,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, เมืองนราธิวาส,0.49,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ตากใบ,8.02,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ตากใบ,10.17,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ตากใบ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ตากใบ,16.8,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ตากใบ,0.69,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ตากใบ,0.5,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ตากใบ,0.05,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, บาเจาะ,4.62,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, บาเจาะ,3.9,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, บาเจาะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, บาเจาะ,31.81,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, บาเจาะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, บาเจาะ,1.1,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, บาเจาะ,0.05,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ยี่งอ,2.85,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ยี่งอ,2.19,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ยี่งอ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ยี่งอ,8.81,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ยี่งอ,0.01,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ยี่งอ,0.15,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ยี่งอ,0.02,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ระแงะ,9.4,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ระแงะ,5.38,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ระแงะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ระแงะ,32.27,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ระแงะ,0.37,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ระแงะ,0.6,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ระแงะ,0.09,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, รือเสาะ,5,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, รือเสาะ,4.14,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, รือเสาะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, รือเสาะ,29.29,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, รือเสาะ,0.28,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, รือเสาะ,51,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, รือเสาะ,0.07,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ศรีสาคร,1.42,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ศรีสาคร,1.66,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ศรีสาคร,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ศรีสาคร,4.25,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2564,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ศรีสาคร,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
