รายการสถิติทางการ,ปี ,อำเภอ,ประเภท,ค่าข้อมูล,หน่วย
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอเมืองเชียงใหม่,บุคคลธรรมดา,"1,304.90",ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอจอมทอง,บุคคลธรรมดา,17.45,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่แจ่ม,บุคคลธรรมดา,6.23,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอเชียงดาว,บุคคลธรรมดา,10.48,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอดอยสะเก็ด,บุคคลธรรมดา,46.67,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่แตง,บุคคลธรรมดา,14.06,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่ริม,บุคคลธรรมดา,129.7,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสะเมิง,บุคคลธรรมดา,2.53,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอฝาง,บุคคลธรรมดา,24.65,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่อาย,บุคคลธรรมดา,6.79,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอพร้าว,บุคคลธรรมดา,7.34,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสันป่าตอง,บุคคลธรรมดา,59.66,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสันกำแพง,บุคคลธรรมดา,98.76,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสันทราย,บุคคลธรรมดา,227.74,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอหางดง,บุคคลธรรมดา,129.23,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอฮอด,บุคคลธรรมดา,9.73,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอดอยเต่า,บุคคลธรรมดา,8.25,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภออมก๋อย,บุคคลธรรมดา,3.69,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสารภี,บุคคลธรรมดา,144.82,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอเวียงแหง,บุคคลธรรมดา,3.12,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอไชยปราการ,บุคคลธรรมดา,7.06,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่วาง,บุคคลธรรมดา,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่ออน,บุคคลธรรมดา,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอดอยหล่อ,บุคคลธรรมดา,5.96,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอกัลยาณิวัฒนา,บุคคลธรรมดา,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอเมืองเชียงใหม่,นิติบุคคล,"1,305.72",ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอจอมทอง,นิติบุคคล,24.54,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่แจ่ม,นิติบุคคล,2.6,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอเชียงดาว,นิติบุคคล,4.43,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอดอยสะเก็ด,นิติบุคคล,76.53,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่แตง,นิติบุคคล,14.72,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่ริม,นิติบุคคล,63.35,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสะเมิง,นิติบุคคล,1,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอฝาง,นิติบุคคล,17.95,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอแม่อาย,นิติบุคคล,3.77,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอพร้าว,นิติบุคคล,4.42,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสันป่าตอง,นิติบุคคล,54.68,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสันกำแพง,นิติบุคคล,96.59,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอสันทราย,นิติบุคคล,189.77,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอหางดง,นิติบุคคล,97.91,ล้านบาท
