รหัส,กลุ่มประเภทกิจการ,ต.ค.64-ก.ย.65(ล้านบาท),ต.ค.65-ก.ย.66(ล้านบาท),ผลต่าง(ล้านบาท)
00,กิจกรรมที่ไม่สามารถจำแนกได้,274.255,282.685,8.429
01,การเพาะปลูกและการเลี้ยงสัตว์ การล่าสัตว์ และกิจกรรมบริการที่เกี่ยวข้อง,0.615,1.400,0.784
02,การป่าไม้และการทำไม้,0.000,0.000,0.000
03,การประมงและการเพาะเลี้ยงสัตว์นํ้า,1.054,18.607,17.553
06,การขุดเจาะปิโตรเลียมดิบและก๊าซธรรมชาติ,1.720,1.441,-0.279
07,การทำเหมืองสินแร่โลหะ,0.102,0.000,-0.102
08,การทำเหมืองแร่และเหมืองหินอื่นๆ,1.482,2.720,1.238
09,กิจกรรมบริการที่สนับสนุนการทำเหมืองแร่,154.564,146.203,-8.361
10,การผลิตผลิตภัณฑ์อาหาร,38.763,43.581,4.819
11,การผลิตเครื่องดื่ม,1.410,2.425,1.015
13,การผลิตสิ่งทอ,0.840,1.029,0.189
14,การผลิตเสื้อผ้าเครื่องแต่งกาย,2.945,4.172,1.227
15,การผลิตเครื่องหนังและผลิตภัณฑ์ที่เกี่ยวข้อง,1.161,1.869,0.708
16,การผลิตไม้และผลิตภัณฑ์จากไม้และไม้ก๊อก (ยกเว้นเฟอร์นิเจอร์) การผลิตสิ่งของจากฟางและวัสดุถักสานอื่นๆ,11.543,12.903,1.360
17,การผลิตกระดาษและผลิตภัณฑ์กระดาษ,11.405,13.650,2.245
18,การพิมพ์และการผลิตซํ้าสื่อบันทึกข้อมูล,2.285,2.668,0.383
19,การผลิตถ่านโค้กและผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,0.003,0.001,-0.002
20,การผลิตเคมีภัณฑ์และผลิตภัณฑ์เคมี,5.788,5.879,0.091
21,การผลิตเภสัชภัณฑ์ เคมีภัณฑ์ที่ใช้รักษาโรค และผลิตภัณฑ์จากพืชและสัตว์ที่ใช้รักษาโรค,1.218,0.696,-0.522
22,การผลิตผลิตภัณฑ์ยางและพลาสติก,22.386,32.142,9.756
23,การผลิตผลิตภัณฑ์อื่นๆ ที่ทำจากแร่อโลหะ,23.819,41.541,17.721
24,การผลิตโลหะขั้นมูลฐาน,5.949,6.341,0.392
25,การผลิตผลิตภัณฑ์โลหะประดิษฐ์ (ยกเว้นเครื่องจักรและอุปกรณ์),39.198,31.844,-7.355
26,การผลิตผลิตภัณฑ์คอมพิวเตอร์ อิเล็กทรอนิกส์ และอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,28.775,19.930,-8.845
27,การผลิตอุปกรณ์ไฟฟ้า,3.480,5.533,2.053
