Year,Province,District,Dataset_Group,Dataset_name,Item,Vlue,Unit,Source,หน่วยงานเจ้าของข้อมูล
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,951.47,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,1730.93,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,2479.19,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,8.132,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,26.04,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,2.23,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,2295.43,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,3760.28,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,3260.81,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,11.46,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,29.54,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,4.82,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,666.78,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,645.64,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,1311.48,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,75.53,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,2.6,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,41.74,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
