YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2567,กระบี่,001,ทป3,33550912.53
2567,กระบี่,001,ป2,1110700.00
2567,กระบี่,001,ภงด1,127168400.61
2567,กระบี่,001,ภงด2,64111690.40
2567,กระบี่,001,ภงด3,96424411.07
2567,กระบี่,001,ภงด90,47486887.37
2567,กระบี่,001,ภงด91,19477972.71
2567,กระบี่,001,ภงด93,20546060.44
2567,กระบี่,001,ภงด94,10881140.79
2567,กระบี่,002,ทป3,6324126.21
2567,กระบี่,002,ป2,637500.00
2567,กระบี่,002,ภงด50,124726305.80
2567,กระบี่,002,ภงด51,281358732.12
2567,กระบี่,002,ภงด53,162701542.15
2567,กระบี่,002,ภงด54,14350798.12
2567,กระบี่,002,ภงด55,172081.45
2567,กระบี่,005,ทป3,12091883.42
2567,กระบี่,005,ป2,492500.00
2567,กระบี่,005,ภพ30,1168187139.48
2567,กระบี่,005,ภพ30.2,40136.77
2567,กระบี่,005,ภพ36,34009621.96
2567,กระบี่,006,ทป3,106418.05
2567,กระบี่,006,ป2,20400.00
2567,กระบี่,006,ภธ40,31832069.98
2567,กระบี่,007,อส10,3803814.19
2567,กระบี่,007,อส10.1,13623.00
2567,กระบี่,007,อส4,5368054.50
2567,กระบี่,007,อส4ก,153012.00
2567,กระบี่,007,อส4ข,1381758.00
2567,กระบี่,007,อส9,1646710.00
2567,กระบี่,009,รบ1,550.00
2567,กระบี่,010,รบ1,2.00
2567,กระบี่,011,ป2,531500.00
2567,กระบี่,015,รบ1,2478.00
2567,กรุงเทพฯ,001,ทป3,5268922926.58
2567,กรุงเทพฯ,001,ป2,26464400.00
2567,กรุงเทพฯ,001,ภงด1,176978843375.42
2567,กรุงเทพฯ,001,ภงด2,55065106777.82
2567,กรุงเทพฯ,001,ภงด3,12948366102.37
2567,กรุงเทพฯ,001,ภงด90,7313695728.68
2567,กรุงเทพฯ,001,ภงด91,5281492995.42
2567,กรุงเทพฯ,001,ภงด93,370930228.99
2567,กรุงเทพฯ,001,ภงด94,1307546395.30
2567,กรุงเทพฯ,002,ทป3,1492985110.19
2567,กรุงเทพฯ,002,ป2,69031900.00
2567,กรุงเทพฯ,002,ภงด50,143880459956.08
2567,กรุงเทพฯ,002,ภงด51,141470922330.08
2567,กรุงเทพฯ,002,ภงด52,2786340927.69
2567,กรุงเทพฯ,002,ภงด53,131768986087.44
2567,กรุงเทพฯ,002,ภงด54,72770911980.57
2567,กรุงเทพฯ,002,ภงด55,354943576.57
2567,กรุงเทพฯ,003,ภงป70,24953205084.95
2567,กรุงเทพฯ,003,ภงป71,8879930618.20
2567,กรุงเทพฯ,004,ทป3,503077.34
2567,กรุงเทพฯ,005,ทป3,1884990883.63
2567,กรุงเทพฯ,005,ป2,36957800.00
2567,กรุงเทพฯ,005,ภพ30,313498457514.57
2567,กรุงเทพฯ,005,ภพ30.2,91997003.10
2567,กรุงเทพฯ,005,ภพ309,8313658927.29
2567,กรุงเทพฯ,005,ภพ36,44269225608.44
2567,กรุงเทพฯ,006,ทป3,32163334.48
2567,กรุงเทพฯ,006,ป2,1399900.00
2567,กรุงเทพฯ,006,ภธ40,37966405642.04
2567,กรุงเทพฯ,007,ทป3,23009353.30
2567,กรุงเทพฯ,007,อส10,328694841.57
2567,กรุงเทพฯ,007,อส10.1,36027350.00
2567,กรุงเทพฯ,007,อส4,2116188763.13
2567,กรุงเทพฯ,007,อส4ก,110846826.30
2567,กรุงเทพฯ,007,อส4ข,2860975872.34
2567,กรุงเทพฯ,007,อส9,742609327.00
2567,กรุงเทพฯ,009,รบ1,45773.06
2567,กรุงเทพฯ,010,รบ1,38.00
2567,กรุงเทพฯ,011,ป2,53737800.00
