YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2565,"เชียงใหม่","001","ภงด90",288355147.92
2565,"เชียงใหม่","001","ภงด91",123118717.26
2565,"เชียงใหม่","001","ภงด93",1784939.41
2565,"เชียงใหม่","001","ภงด94",70242102.04
2565,"เชียงใหม่","002","ทป3",75155904.20
2565,"เชียงใหม่","002","ป2",169200.00
2565,"เชียงใหม่","002","ภงด50",871168213.21
2565,"เชียงใหม่","002","ภงด51",783551456.62
2565,"เชียงใหม่","002","ภงด53",886767445.49
2565,"เชียงใหม่","002","ภงด54",17307175.10
2565,"เชียงใหม่","002","ภงด55",4425633.87
2565,"เชียงใหม่","005","ทป3",122640009.93
2565,"เชียงใหม่","005","ป2",9400.00
2565,"เชียงใหม่","005","ภพ30",4474996264.51
2565,"เชียงใหม่","005","ภพ30.2",316255.39
2565,"เชียงใหม่","005","ภพ36",69173681.68
2565,"เชียงใหม่","006","ทป3",7003391.37
2565,"เชียงใหม่","006","ป2",500.00
2565,"เชียงใหม่","006","ภธ40",142825988.01
2565,"เชียงใหม่","007","อส10",21159176.14
2565,"เชียงใหม่","007","อส10.1",403127.00
2565,"เชียงใหม่","007","อส4",32026371.33
2565,"เชียงใหม่","007","อส4ก",784543.90
2565,"เชียงใหม่","007","อส4ข",16557476.97
2565,"เชียงใหม่","007","อส9",10872752.00
2565,"เชียงใหม่","010","รบ1",14.50
2565,"เชียงใหม่","011","ป2",12023839.00
2565,"เชียงใหม่","015","รบ1",46932.39
2565,"เชียงใหม่","999","รบ1",1770.00
2565,"ตรัง","001","ทป3",36607386.90
2565,"ตรัง","001","ป2",900.00
2565,"ตรัง","001","ภงด1",68634664.46
2565,"ตรัง","001","ภงด2",29513058.31
2565,"ตรัง","001","ภงด3",59702019.09
2565,"ตรัง","001","ภงด90",46163996.76
2565,"ตรัง","001","ภงด91",26819234.14
2565,"ตรัง","001","ภงด93",20000694.82
2565,"ตรัง","001","ภงด94",12666054.84
2565,"ตรัง","002","ทป3",3789946.33
2565,"ตรัง","002","ป2",402000.00
2565,"ตรัง","002","ภงด50",159747669.62
2565,"ตรัง","002","ภงด51",138043767.54
2565,"ตรัง","002","ภงด52",1141846.71
2565,"ตรัง","002","ภงด53",129697229.77
2565,"ตรัง","002","ภงด54",524625.03
2565,"ตรัง","002","ภงด55",172506.43
2565,"ตรัง","005","ทป3",17069791.79
2565,"ตรัง","005","ป2",1400.00
2565,"ตรัง","005","ภพ30",655989111.26
2565,"ตรัง","005","ภพ36",1105490.57
2565,"ตรัง","006","ทป3",248339.85
2565,"ตรัง","006","ป2",600.00
2565,"ตรัง","006","ภธ40",26710419.32
2565,"ตรัง","007","อส10",4730108.00
2565,"ตรัง","007","อส10.1",15300.00
2565,"ตรัง","007","อส4",7068744.50
2565,"ตรัง","007","อส4ก",203739.35
2565,"ตรัง","007","อส4ข",1087674.03
2565,"ตรัง","007","อส9",601020.00
2565,"ตรัง","009","รบ1",0.50
2565,"ตรัง","010","รบ1",2.00
2565,"ตรัง","011","ป2",1892461.00
2565,"ตราด","001","ทป3",16416662.28
2565,"ตราด","001","ป2",1000.00
2565,"ตราด","001","ภงด1",21651838.92
2565,"ตราด","001","ภงด2",9220725.41
2565,"ตราด","001","ภงด3",18514213.02
2565,"ตราด","001","ภงด90",27829393.05
2565,"ตราด","001","ภงด91",10805362.62
2565,"ตราด","001","ภงด93",1260799.00
2565,"ตราด","001","ภงด94",11658169.86
2565,"ตราด","002","ทป3",1745500.43
2565,"ตราด","002","ป2",200.00
2565,"ตราด","002","ภงด50",24449019.93
2565,"ตราด","002","ภงด51",26294685.80
2565,"ตราด","002","ภงด53",37994600.23
2565,"กระบี่","001","ทป3",24338504.94
2565,"กระบี่","001","ป2",3400.00
2565,"กระบี่","001","ภงด1",93716741.71
2565,"กระบี่","001","ภงด2",71694874.18
2565,"กระบี่","001","ภงด3",65352110.05
2565,"กระบี่","001","ภงด90",33118466.67
2565,"กระบี่","001","ภงด91",14067762.36
2565,"กระบี่","001","ภงด93",25745326.93
2565,"กระบี่","001","ภงด94",10950205.85
2565,"กระบี่","002","ทป3",1352585.96
2565,"กระบี่","002","ป2",2600.00
2565,"กระบี่","002","ภงด50",139330399.09
2565,"กระบี่","002","ภงด51",217274538.59
2565,"กระบี่","002","ภงด53",144902647.05
2565,"กระบี่","002","ภงด54",9658360.60
2565,"กระบี่","002","ภงด55",88534.79
2565,"กระบี่","005","ทป3",13459286.39
2565,"กระบี่","005","ป2",500.00
2565,"กระบี่","005","ภพ30",589327044.16
2565,"กระบี่","005","ภพ36",8791521.02
2565,"กระบี่","006","ทป3",4643.00
2565,"กระบี่","006","ภธ40",24356351.08
2565,"กระบี่","007","อส10",3358140.00
2565,"กระบี่","007","อส10.1",10600.00
2565,"กระบี่","007","อส4",6562500.33
2565,"กระบี่","007","อส4ก",223371.60
2565,"กระบี่","007","อส4ข",1812335.50
2565,"กระบี่","007","อส9",139815.00
2565,"กระบี่","010","รบ1",3.50
2565,"กระบี่","011","ป2",2529967.00
2565,"กระบี่","015","รบ1",250.00
2565,"กรุงเทพฯ","001","ทป3",4234954688.75
2565,"กรุงเทพฯ","001","ป2",53700.00
2565,"กรุงเทพฯ","001","ภงด1",158221583489.74
2565,"กรุงเทพฯ","001","ภงด2",43775783462.67
2565,"กรุงเทพฯ","001","ภงด3",11451044641.39
2565,"กรุงเทพฯ","001","ภงด90",5745748202.65
2565,"กรุงเทพฯ","001","ภงด91",5895933101.41
2565,"กรุงเทพฯ","001","ภงด93",314190050.08
2565,"กรุงเทพฯ","001","ภงด94",1216162470.70
2565,"กรุงเทพฯ","002","ทป3",2890954067.39
2565,"กรุงเทพฯ","002","ป2",12317700.00
2565,"กรุงเทพฯ","002","ภงด50",133340053665.64
2565,"กรุงเทพฯ","002","ภงด51",131670923172.54
2565,"กรุงเทพฯ","002","ภงด52",4568812641.45
2565,"กรุงเทพฯ","002","ภงด53",117883927853.88
2565,"กรุงเทพฯ","002","ภงด54",61081808010.26
2565,"กรุงเทพฯ","002","ภงด55",586958401.72
2565,"กรุงเทพฯ","003","ทป3",4823.00
2565,"กรุงเทพฯ","003","ภงป70",54697703271.95
2565,"กรุงเทพฯ","003","ภงป71",8159724301.34
2565,"กรุงเทพฯ","003","ภงป73",205858.47
2565,"กรุงเทพฯ","004","ทป3",1494991.60
2565,"กรุงเทพฯ","005","ทป3",1708737810.40
2565,"กรุงเทพฯ","005","ป2",107700.00
2565,"กรุงเทพฯ","005","ภพ30",288112616699.05
2565,"กรุงเทพฯ","005","ภพ30.2",12437179.09
2565,"กรุงเทพฯ","005","ภพ309",7132771912.08
2565,"กรุงเทพฯ","005","ภพ36",36570041108.10
2565,"กรุงเทพฯ","006","ทป3",41990825.61
2565,"กรุงเทพฯ","006","ป2",2800.00
2565,"กรุงเทพฯ","006","ภธ40",27589572467.46
2565,"กรุงเทพฯ","007","ทป3",34690446.96
2565,"กรุงเทพฯ","007","อส10",391765160.42
2565,"กรุงเทพฯ","007","อส10.1",15564587.00
2565,"กรุงเทพฯ","007","อส4",2390141268.90
2565,"กรุงเทพฯ","007","อส4ก",128824522.25
2565,"กรุงเทพฯ","007","อส4ข",2982918188.10
2565,"กรุงเทพฯ","007","อส9",327156406.00
2565,"กรุงเทพฯ","009","รบ1",46051.10
2565,"กรุงเทพฯ","010","รบ1",117.00
2565,"กรุงเทพฯ","011","ป2",138328937.00
2565,"กรุงเทพฯ","015","รบ1",2934720.82
2565,"กรุงเทพฯ","070","ทป3",3535836.07
2565,"กรุงเทพฯ","070","ภม60",341886469.23
2565,"กรุงเทพฯ","999","ทป3",0.98
2565,"กาญจนบุรี","001","ทป3",126905831.80
2565,"กาญจนบุรี","001","ป2",1400.00
2565,"กาญจนบุรี","001","ภงด1",160721619.57
2565,"กาญจนบุรี","001","ภงด2",42700836.50
2565,"กาญจนบุรี","001","ภงด3",73776096.04
2565,"กาญจนบุรี","001","ภงด90",120293158.24
2565,"กาญจนบุรี","001","ภงด91",36770859.63
2565,"กาญจนบุรี","001","ภงด93",70599696.42
2565,"กาญจนบุรี","001","ภงด94",54019908.98
2565,"กาญจนบุรี","002","ทป3",8900457.46
2565,"กาญจนบุรี","002","ป2",102600.00
2565,"กาญจนบุรี","002","ภงด50",259501918.95
2565,"กาญจนบุรี","002","ภงด51",188228079.73
2565,"กาญจนบุรี","002","ภงด53",175258668.57
2565,"กาญจนบุรี","002","ภงด54",3872513.68
2565,"กาญจนบุรี","002","ภงด55",709005.57
2565,"กาญจนบุรี","005","ทป3",28915830.78
2565,"กาญจนบุรี","005","ป2",3900.00
2565,"กาญจนบุรี","005","ภพ30",1144614659.21
2565,"กาญจนบุรี","005","ภพ30.2",271600.66
2565,"กาญจนบุรี","005","ภพ36",3400218.53
2565,"กาญจนบุรี","006","ทป3",1381813.08
2565,"กาญจนบุรี","006","ภธ40",44474060.54
2565,"กาญจนบุรี","007","อส10",7319843.10
2565,"กาญจนบุรี","007","อส10.1",76696.00
2565,"กาญจนบุรี","007","อส4",7213572.75
2565,"กาญจนบุรี","007","อส4ก",193815.00
