YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
2567,01,001,ทป3,147824716.90000000
2567,01,002,ทป3,260845445.59000000
2567,01,004,ทป3,50000.00000000
2567,01,005,ทป3,428464909.77000000
2567,01,006,ทป3,4112338.84000000
2567,01,007,ทป3,2905053.50000000
2567,01,070,ทป3,1124400.00000000
2567,01,001,ป2,14077800.00000000
2567,01,002,ป2,44010000.00000000
2567,01,005,ป2,9504900.00000000
2567,01,006,ป2,266600.00000000
2567,01,011,ป2,12127000.00000000
2567,01,001,ภงด1,34365088099.53000000
2567,01,001,ภงด2,7547599486.85000000
2567,01,001,ภงด3,2622320871.99000000
2567,01,002,ภงด50,2102636956.93000000
2567,01,002,ภงด51,648712571.02000000
2567,01,002,ภงด52,44702070.28000000
2567,01,002,ภงด53,16729954058.24000000
2567,01,002,ภงด54,9858470187.02000000
2567,01,002,ภงด55,12836388.03000000
2567,01,001,ภงด90,397569347.24000000
2567,01,001,ภงด91,245396799.73000000
2567,01,001,ภงด93,252403386.86000000
2567,01,001,ภงด94,37658960.66000000
2567,01,006,ภธ40,4355594514.95000000
2567,01,005,ภพ30,46309415428.98000000
2567,01,005,ภพ30.2,1198919.29000000
2567,01,005,ภพ309,892039999.81000000
2567,01,005,ภพ36,5235140456.67000000
2567,01,070,ภม60,391901649.29000000
2567,01,009,รบ1,10020.50000000
2567,01,010,รบ1,12.50000000
2567,01,015,รบ1,3157.07000000
2567,01,007,อส10,77024454.90000000
2567,01,007,อส10.1,7104917.00000000
2567,01,007,อส4,371096394.82000000
2567,01,007,อส4ก,12345141.90000000
2567,01,007,อส4ข,289557641.28000000
2567,01,007,อส9,135270389.00000000
2567,02,001,ทป3,104473386.36000000
2567,02,002,ทป3,193178985.14000000
2567,02,004,ทป3,52577.34000000
2567,02,005,ทป3,326318728.35000000
2567,02,006,ทป3,4668218.54000000
2567,02,007,ทป3,3324193.00000000
2567,02,070,ทป3,6913588.75000000
2567,02,001,ป2,13583300.00000000
2567,02,002,ป2,7670300.00000000
2567,02,005,ป2,8178100.00000000
2567,02,006,ป2,315600.00000000
2567,02,011,ป2,10076802.91000000
2567,02,001,ภงด1,21919631431.15000000
2567,02,001,ภงด2,3448289042.71000000
2567,02,001,ภงด3,2042086982.80000000
2567,02,002,ภงด50,2076445285.09000000
2567,02,002,ภงด51,1587128838.29000000
2567,02,002,ภงด52,6088885.38000000
2567,02,002,ภงด53,15328034764.96000000
2567,02,002,ภงด54,6260025767.19000000
2567,02,002,ภงด55,13326552.98000000
2567,02,001,ภงด90,1047421774.64000000
2567,02,001,ภงด91,909366930.36000000
2567,02,001,ภงด93,375183858.42000000
2567,02,001,ภงด94,47116604.46000000
2567,02,003,ภงป70,244522242.75000000
2567,02,006,ภธ40,3472944472.25000000
2567,02,005,ภพ30,45553350510.50000000
2567,02,005,ภพ30.2,98629468.24000000
2567,02,005,ภพ309,667392940.68000000
2567,02,005,ภพ36,5026731688.52000000
2567,02,070,ภม60,70900577.00000000
2567,02,009,รบ1,1780.00000000
2567,02,010,รบ1,39.00000000
2567,02,015,รบ1,9513.45000000
2567,02,007,อส10,73223952.53000000
2567,02,007,อส10.1,6481758.00000000
2567,02,007,อส4,228315618.08000000
2567,02,007,อส4ก,13967536.30000000
2567,02,007,อส4ข,281592736.30000000
2567,02,007,อส9,111366865.00000000
2567,03,001,ทป3,212259710.79000000
2567,03,002,ทป3,211179809.11000000
2567,03,004,ทป3,50000.00000000
2567,03,005,ทป3,368370143.77000000
2567,03,006,ทป3,7894351.75000000
2567,03,007,ทป3,2588496.75000000
2567,03,070,ทป3,29625721.99000000
2567,03,001,ป2,19962400.00000000
2567,03,002,ป2,12161300.00000000
2567,03,005,ป2,9249200.00000000
2567,03,006,ป2,431400.00000000
2567,03,011,ป2,15436200.00000000
2567,03,001,ภงด1,24259249569.94000000
2567,03,001,ภงด2,3530787530.09000000
2567,03,001,ภงด3,2052212044.13000000
2567,03,002,ภงด50,4937932682.62000000
2567,03,002,ภงด51,1669506828.27000000
2567,03,002,ภงด52,55024205.10000000
2567,03,002,ภงด53,14925253259.78000000
2567,03,002,ภงด54,9205601241.94000000
2567,03,002,ภงด55,39617083.78000000
2567,03,001,ภงด90,6478564845.03000000
2567,03,001,ภงด91,5377376702.43000000
2567,03,001,ภงด93,587554073.17000000
2567,03,001,ภงด94,77468209.55000000
2567,03,006,ภธ40,3143767994.68000000
2567,03,005,ภพ30,43008329260.80000000
2567,03,005,ภพ30.2,199446.26000000
2567,03,005,ภพ309,673416341.42000000
2567,03,005,ภพ36,6023987884.76000000
2567,03,070,ภม60,66540877.43000000
2567,03,009,รบ1,2477.36000000
2567,03,010,รบ1,16.00000000
2567,03,015,รบ1,4816.32000000
2567,03,999,รบ1,0.01000000
2567,03,007,อส10,75429612.54000000
2567,03,007,อส10.1,6744920.35000000
2567,03,007,อส4,342965789.85000000
2567,03,007,อส4ก,13383904.66000000
2567,03,007,อส4ข,251327812.71000000
2567,03,007,อส9,113709264.00000000
2567,04,001,ทป3,1158176102.17000000
2567,04,002,ทป3,226005628.67000000
2567,04,005,ทป3,437002969.01000000
2567,04,006,ทป3,4900741.75000000
2567,04,007,ทป3,3302251.67000000
2567,04,070,ทป3,39974.60000000
2567,04,001,ป2,25808800.00000000
2567,04,002,ป2,8972200.00000000
2567,04,005,ป2,9808300.00000000
2567,04,006,ป2,384100.00000000
2567,04,011,ป2,13869700.00000000
2567,04,001,ภงด1,23795319326.61000000
2567,04,001,ภงด2,3758627879.47000000
2567,04,001,ภงด3,2090833057.88000000
2567,04,002,ภงด50,2301220678.86000000
2567,04,002,ภงด51,1157854908.83000000
2567,04,002,ภงด52,297345775.40000000
2567,04,002,ภงด53,15523630958.92000000
2567,04,002,ภงด54,9904149591.71000000
2567,04,002,ภงด55,34665213.24000000
2567,04,001,ภงด90,6057817604.45000000
2567,04,001,ภงด91,3912142908.68000000
2567,04,001,ภงด93,213394269.54000000
2567,04,001,ภงด94,64998638.48000000
2567,04,006,ภธ40,3458732327.63000000
2567,04,005,ภพ30,46880439557.29000000
2567,04,005,ภพ30.2,32256.69000000
2567,04,005,ภพ309,765405101.06000000
2567,04,005,ภพ36,5043179059.61000000
2567,04,070,ภม60,80863881.02000000
2567,04,009,รบ1,13577.00000000
2567,04,010,รบ1,43.50000000
2567,04,015,รบ1,144918.08000000
2567,04,007,อส10,62263430.04000000
2567,04,007,อส10.1,4934095.00000000
2567,04,007,อส4,279614330.41000000
2567,04,007,อส4ก,10959197.50000000
2567,04,007,อส4ข,252744864.78000000
2567,04,007,อส9,115046179.00000000
2567,05,001,ทป3,5059942610.16000000
2567,05,002,ทป3,262209584.29000000
2567,05,004,ทป3,50000.00000000
2567,05,005,ทป3,329764964.74000000
