YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
"2565","01","001","ทป3",362545440.35999992
"2565","01","001","ป2",1900.00000000
"2565","01","001","ภงด1",30806935609.30999950
"2565","01","001","ภงด2",5832098281.86999998
"2565","01","001","ภงด3",2331033751.52999838
"2565","01","001","ภงด90",361074707.82000000
"2565","01","001","ภงด91",134843038.21000000
"2565","01","001","ภงด93",181005756.11000000
"2565","01","001","ภงด94",70790578.45999999
"2565","01","002","ทป3",283233073.34999997
"2565","01","002","ป2",700600.00000000
"2565","01","002","ภงด50",1262576249.58999996
"2565","01","002","ภงด51",656264826.45999999
"2565","01","002","ภงด52",113167976.54000000
"2565","01","002","ภงด53",16072044171.28999756
"2565","01","002","ภงด54",7634100748.80999999
"2565","01","002","ภงด55",53023690.12000000
"2565","01","003","ภงป73",68525.91000000
"2565","01","005","ทป3",319940815.12999997
"2565","01","005","ภพ30",44105985853.13999954
"2565","01","005","ภพ30.2",5220793.80000000
"2565","01","005","ภพ309",613768877.13000000
"2565","01","005","ภพ36",4404178105.70999990
"2565","01","006","ทป3",19009640.06000000
"2565","01","006","ภธ40",3262892330.43999997
"2565","01","007","ทป3",18037603.90000000
"2565","01","007","อส10",72727480.08999998
"2565","01","007","อส10.1",4867932.00000000
"2565","01","007","อส4",475123497.08000000
"2565","01","007","อส4ก",16619152.49000000
"2565","01","007","อส4ข",295625474.04000000
"2565","01","007","อส9",58465491.00000000
"2565","01","009","รบ1",1.00000000
"2565","01","010","รบ1",40.50000000
"2565","01","011","ป2",39737418.00000000
"2565","01","015","รบ1",2665684.73000000
"2565","01","070","ภม60",2652843.57000000
"2565","02","001","ทป3",389293065.82999996
"2565","02","001","ภงด1",21140899949.41999963
"2565","02","001","ภงด2",2425940112.89999998
"2565","02","001","ภงด3",1673094468.73999871
"2565","02","001","ภงด90",726675871.82000000
"2565","02","001","ภงด91",736263417.76000000
"2565","02","001","ภงด93",291082160.64000000
"2565","02","001","ภงด94",58268785.25000000
"2565","02","002","ทป3",242388095.83999999
"2565","02","002","ป2",150000.00000000
"2565","02","002","ภงด50",1470032359.64999999
