จังหวัด,อำเภอ,ปี,รายการข้อมูล,ประเภทภาษี,รายได้,หน่วยนับ,หน่วยงานเจ้าของข้อมูล
สกลนคร,เมืองสกลนคร,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,86.927,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,4.452,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,8.010,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,14.086,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,9.735,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,นิคมน้ำอูน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,13.093,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,4.461,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,6.656,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,9.125,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,24.058,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,4.077,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,2.402,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,4.451,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,5.618,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,4.256,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,5.937,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,83.794,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,1.281,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,5.784,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,12.383,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,5.757,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,นิคมน้ำอูน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,10.849,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,3.740,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,3.349,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,4.817,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,35.179,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,2.386,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,1.601,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,1.732,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,2.499,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,2.599,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,2.563,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,157.961,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,1.208,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,12.413,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,29.346,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,12.609,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,นิคมน้ำอูน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,34.093,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,7.008,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,5.860,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,7.192,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,70.201,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,7.729,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,2.419,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,2.663,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,3.849,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,17.726,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,มูลค่าเพิ่ม,4.586,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,2.446,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.071,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.044,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.161,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.430,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,นิคมน้ำอูน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.044,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.021,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.076,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,2.928,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.020,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.001,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.023,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.045,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.004,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,ธุรกิจเฉพาะ,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,7.110,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.132,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.387,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.780,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.745,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,นิคมน้ำอูน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.423,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.285,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.397,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.537,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,3.563,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.408,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.081,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.108,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.126,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.081,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อากรแสตมป์,0.263,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,1.388,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
