อำเภอ,รวม,บุคคลธรรมดา,นิติบุคคล,การค้า,มูลค่าเพิ่ม,ธุรกิจเฉพาะ,อากรแสตมป์,อื่น ๆ 
รวมยอด,"10,277.99","1,715.52","3,959.38",,"4,518.31",36.292,42.107,6.38
เมืองสระบุรี,"1,266.69",220.066,366.541,,652.053,13.067,13.845,1.12
แก่งคอย,"2,387.15",257.28,655.825,,"1,461.56",5.508,6.021,0.958
หนองแค,"4,196.53",745.09,"2,107.16",,"1,330.95",6.129,5.904,1.294
วิหารแดง,96.927,29.722,26.582,,38.301,0.341,1.747,0.235
หนองแซง,17.039,5.794,2.66,,8.135,0.122,0.225,0.101
บ้านหมอ,550.594,192.412,174.736,,177.448,1.144,4.605,0.249
ดอนพุด,6.728,3.933,1.59,,1.062,0.014,0.103,0.028
หนองโดน,19.544,3.913,8.6,,6.684,0.01,0.124,0.212
พระพุทธบาท,932.034,86.752,366.1,,473.293,2.695,2.456,0.737
เสาไห้,158.879,27.14,31.828,,92.607,3.032,3.931,0.342
มวกเหล็ก,167.527,55.524,52.215,,56.732,1.422,1.149,0.486
วังม่วง,65.688,41.982,7.463,,15.622,0.079,0.438,0.103
เฉลิมพระเกียรติ,412.651,45.914,158.078,,203.855,2.73,1.557,0.517
