อำเภอ,บุคคลธรรมดา,นิติบุคคล,การค้า,มูลค่าเพิ่ม,ธุรกิจเฉพาะ,อากรแสตมป์,อื่น ๆ
อำเภอเมืองสระบุรี,223.717,445.835,,636.791,12.374,17.243,1.357
อำเภอแก่งคอย,238.478,667.645,,1494.791,4.552,4.865,0.746
อำเภอหนองแค,696.749,1913.006,,1217.488,11.123,4.096,1.139
อำเภอวิหารแดง,28.275,25.261,,32.478,0.356,1.677,0.228
อำเภอหนองแซง,4.823,2.561,,10.88,0.55,0.178,0.11
อำเภอบ้านหมอ,200.557,229.496,,183.188,1.656,3.611,0.234
อำเภอดอนพุด,3.918,1.692,,0.985,0.001,0.15,0.031
อำเภอหนองโดน,4.776,22.086,,22.762,0.051,0.15,0.039
อำเภอพระพุทธบาท,76.996,165.28,,416.114,1.973,1.937,0.496
อำเภอเสาไห้,27.082,42.906,,89.602,2.382,3.289,0.371
อำเภอมวกเหล็ก,58.001,50.835,,89.748,1.263,1.417,0.409
อำเภอวังม่วง,31.78,8.686,,25.071,0.033,0.377,0.142
อำเภอเฉลิมพระเกียรติ,41.278,160.84,,204.977,1.833,0.923,0.557
