อำเภอ,รวม,บุคคลธรรมดา,นิติบุคคล,การค้า,มูลค่าเพิ่ม,ธุรกิจเฉพาะ,อากรแสตมป์,อื่น ๆ
รวมยอด,"10,615.35","1,751.10","3,998.03",,"4,757.22",44.46,58.611,5.928
เมืองสระบุรี,"1,252.74",242.302,381.217,,601.668,13.135,13.063,1.354
แก่งคอย,"2,646.96",284.884,820.445,,"1,528.97",6.244,5.492,0.931
หนองแค,"4,247.51",739.732,"2,022.98",,"1,459.73",12.586,11.31,1.169
วิหารแดง,97.767,25.783,27.031,,43.281,0.494,0.891,0.287
หนองแซง,17.079,4.095,2.025,,10.553,0.127,0.208,0.071
บ้านหมอ,560.77,182.66,165.93,,205.88,0.979,5.055,0.266
ดอนพุด,7.004,4.479,1.439,,0.943,0.005,0.109,0.029
หนองโดน,12.638,3.68,3.05,,5.672,0.012,0.146,0.078
พระพุทธบาท,831.982,90.386,256.532,,468.481,2.698,13.388,0.497
เสาไห้,168.468,30.132,40.462,,91.023,3.237,3.323,0.291
มวกเหล็ก,171.545,58.991,42.098,,67.057,1.515,1.497,0.387
วังม่วง,62.68,36.88,7.337,,17.813,0.04,0.416,0.194
เฉลิมพระเกียรติ,538.208,47.095,227.491,,256.147,3.388,3.713,0.374
