อำเภอ,รวม,บุคคลธรรมดา,นิติบุคคล,การค้า,มูลค่าเพิ่ม,ธุรกิจเฉพาะ,อากรแสตมป์,อื่น ๆ 
รวมยอด,"930,050,070.38","101,080,426.95","354,065,967.79",,"467,490,473.95","2,831,652.19","4,212,048.00","369,501.50"
เมืองสระบุรี,"77,075,420.10","13,560,046.32","10,432,869.06",,"50,756,787.14","825,028.58","1,412,889.00","87,800.00"
แก่งคอย,"207,180,947.21","20,189,228.75","14,041,377.87",,"171,760,299.20","415,087.39","721,454.00","53,500.00"
หนองแค,"399,268,346.93","41,596,709.74","227,602,404.81",,"128,756,099.41","808,741.47","429,190.00","75,201.50"
วิหารแดง,"6,127,232.76","1,787,612.68","556,738.63",,"3,673,228.20","20,704.25","72,749.00","16,200.00"
หนองแซง,"1,229,990.24","128,615.88","154,207.95",,"899,834.05","20,578.36","20,954.00","5,800.00"
บ้านหมอ,"101,382,332.45","8,705,039.25","74,474,587.18",,"17,545,825.47","12,014.55","619,466.00","25,400.00"
ดอนพุด,"441,078.27","183,396.20","172,006.21",,"82,592.86",0,483,"2,600.00"
หนองโดน,"2,647,089.38","194,253.60","37,743.51",,"2,401,407.27",0,"6,985.00","6,700.00"
พระพุทธบาท,"61,180,764.84","4,558,178.55","4,969,553.09",,"51,184,934.18","176,103.02","268,796.00","23,200.00"
เสาไห้,"24,477,137.59","2,112,189.65","13,784,642.57",,"8,099,813.26","194,767.11","271,325.00","14,400.00"
มวกเหล็ก,"10,746,420.54","3,661,791.80","2,136,198.04",,"4,761,881.24","98,314.46","62,635.00","25,600.00"
วังม่วง,"2,621,345.61","1,031,350.06","238,690.35",,"1,321,689.20","3,460.00","19,956.00","6,200.00"
เฉลิมพระเกียรติ,"35,671,964.46","3,372,014.47","5,464,948.52",,"26,246,082.47","256,853.00","305,166.00","26,900.00"
