ผลการจัดเก็บภาษีอากรของสำนักงานสรรพากรพื้นที่ชลบุรี 1 ปีงบประมาณ พ.ศ. 2569,,,,,,,,,,
(ตามหน่วยรับแบบฯ และรวมหน่วยงานอื่นจัดเก็บ),,,,,,,,,,
ทุกประเภทภาษีอากร ประจำเดือน ธันวาคม พ.ศ. 2568,,,,,,,,,,
 ,หน่วย : ล้านบาท,,,,,,,,,
ลักษณะจัดเก็บ,เดือน ธันวาคม พ.ศ. 2568,,,,,,,,,
ภาษีเงินได้บุคคลธรรมดา,272.867 ,,,,,,,,,
ภาษีเงินได้นิติบุคคล,904.286 ,,,,,,,,,
ภาษีเงินได้ปิโตรเลียม,0.000 ,,,,,,,,,
ภาษีมูลค่าเพิ่ม,712.660 ,,,,,,,,,
ภาษีธุรกิจเฉพาะ,2.814 ,,,,,,,,,
ภาษีการรับมรดก,0.000 ,,,,,,,,,
อากรแสตมป์,12.019 ,,,,,,,,,
รายได้อื่น ๆ,0.317 ,,,,,,,,,
รวมทุกประเภทภาษี,"1,904.963 ",,,,,,,,,
 ,,,,,,,,,,
ผลจัดเก็บปีก่อน (เดือน ธันวาคม พ.ศ. 2567),"1,751.226 ",,,,,,,,,
จัดเก็บได้สูงกว่าปีก่อน ในระยะเดียวกัน,153.737 ,,,,,,,,,
คิดเป็นร้อยละ,8.78 ,,,,,,,,,
,,,,,,,,,,
ประมาณการ เดือน พฤศจิกายน พ.ศ. 2567,-,,,,,,,,,
จัดเก็บได้สูงกว่าประมาณการ ในระยะเดียวกัน,-,,,,,,,,,
คิดเป็นร้อยละ,-,,,,,,,,,
,,,,,,,,,,
ประมาณการ (เดือน พฤศจิกายน พ.ศ. 2568),-,,,,,,,,,
จัดเก็บได้สูงกว่าประมาณการ ในระยะเดียวกัน,-,,,,,,,,,
คิดเป็นร้อยละ,-,,,,,,,,,
,,,,,,,,,,
เงินส่งมอบ อบจ.,0.928 ,,,,,,,,,
,,,,,,,,,,
หมายเหตุ:  ผลการจัดเก็บภาษีข้างต้น เป็นยอดจัดเก็บภาษีของผู้เสียภาษีที่อยู่ในการกำกับดูแลของสำนักงานสรรพากรพื้นที่ชลบุรี 1,,,,,,,,,,
                 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
