ประเทศ,จำนวนผู้เข้าใช้บริการรายใหม่,จำนวนการเข้าใช้บริการ,จำนวนครั้งที่เข้าชม
Thailand,423417,604395,1779210
Singapore,1599,4607,38749
United States,1950,1953,8692
India,416,1030,7080
Malaysia,584,711,2223
Japan,432,643,3991
China,347,583,2386
United Kingdom,366,463,2643
Taiwan,296,374,1297
Laos,303,363,825
South Korea,339,336,2115
Cambodia,300,327,651
Indonesia,186,272,2820
Australia,190,254,946
Vietnam,207,239,1757
Hong Kong,177,233,1400
Netherlands,130,205,755
Germany,222,188,1528
Sweden,156,154,615
Ireland,152,123,481
France,139,119,1493
Philippines,96,116,1445
Seychelles,112,112,112
Canada,90,78,1002
Myanmar (Burma),69,74,726
Russia,85,61,1358
Israel,62,61,264
Czechia,25,51,243
Finland,50,45,175
Switzerland,36,43,250
United Arab Emirates,39,42,191
Denmark,28,41,121
New Zealand,29,33,188
Norway,28,30,120
Türkiye,49,25,1080
Belgium,34,25,475
Austria,29,25,262
Italy,43,23,612
Saudi Arabia,37,23,779
Nepal,13,23,243
Bhutan,8,19,36
Spain,59,17,1379
Nigeria,58,17,1497
Malta,1,17,59
Iran,40,16,1043
Zimbabwe,2,16,57
Bangladesh,63,11,1670
Egypt,30,11,743
Poland,23,11,405
Hungary,22,11,422
Bahrain,11,11,15
Qatar,11,11,55
Macao,6,9,18
Brunei,8,8,28
Sri Lanka,6,8,10
Brazil,69,6,1843
Argentina,15,6,400
Tunisia,11,6,273
Portugal,7,6,38
Colombia,21,5,485
South Africa,16,5,406
Kazakhstan,12,5,274
Georgia,8,5,66
Romania,7,5,111
Maldives,5,5,6
Ethiopia,15,4,424
Uganda,15,4,395
Slovakia,7,4,124
Turkey,2,4,14
Ukraine,32,3,699
Pakistan,21,3,428
Uzbekistan,18,3,483
Serbia,6,3,123
Iraq,4,3,114
Iceland,2,3,4
Peru,13,2,308
Bulgaria,8,2,182
Latvia,6,2,123
Mozambique,4,2,62
Bahamas,3,2,3
Guatemala,3,2,32
Gibraltar,2,2,2
Guam,2,2,6
Lebanon,2,2,2
Paraguay,2,2,35
Mexico,47,1,1346
Algeria,16,1,452
Chile,14,1,396
Albania,13,1,335
Morocco,10,1,271
Ecuador,9,1,241
Croatia,5,1,121
Kuwait,5,1,121
Angola,4,1,91
Cameroon,4,1,91
Kyrgyzstan,4,1,92
Fiji,3,1,61
Jamaica,3,1,3
Jordan,3,1,95
Kenya,3,1,61
Yemen,3,1,61
Afghanistan,2,1,31
Costa Rica,2,1,31
Lithuania,2,1,11
Senegal,2,1,31
Slovenia,2,1,32
Andorra,1,1,1
Benin,1,1,1
Faroe Islands,1,1,1
Guyana,1,1,3
Mali,1,1,1
Martinique,1,1,1
Réunion,1,1,1
South Sudan,1,1,1
Tajikistan,1,1,1
Estonia,0,1,1
Turkmenistan,0,1,1
Oman,14,0,247
Venezuela,14,0,420
Dominican Republic,9,0,270
Tanzania,9,0,270
Côte d’Ivoire,7,0,210
Congo - Kinshasa,6,0,180
Madagascar,6,0,180
Ghana,5,0,150
Niger,5,0,150
Sierra Leone,5,0,150
Azerbaijan,4,0,124
Cuba,4,0,120
Greece,4,0,116
Honduras,4,0,119
Malawi,4,0,120
Moldova,4,0,120
Rwanda,4,0,120
Cyprus,3,0,90
Syria,3,0,90
Haiti,2,0,60
Palestine,2,0,60
Sudan,2,0,60
Antigua & Barbuda,1,0,30
Belarus,1,0,30
Bolivia,1,0,30
Bosnia & Herzegovina,1,0,30
Burkina Faso,1,0,30
Cape Verde,1,0,1
Chad,1,0,30
Kosovo,1,0,30
New Caledonia,1,0,30
Uruguay,1,0,1
Zambia,1,0,30
