Date,count
1/17/2020,5
1/20/2020,4
1/22/2020,69
1/23/2020,175
1/24/2020,149
1/25/2020,76
1/26/2020,117
1/27/2020,173
1/28/2020,156
1/29/2020,154
1/30/2020,134
1/31/2020,136
2/1/2020,97
2/2/2020,72
2/3/2020,104
2/4/2020,136
2/5/2020,159
2/6/2020,135
2/7/2020,126
2/8/2020,59
2/9/2020,73
2/10/2020,85
2/11/2020,180
2/12/2020,157
2/13/2020,139
2/14/2020,113
2/15/2020,63
2/16/2020,71
2/17/2020,118
2/18/2020,168
2/19/2020,147
2/20/2020,108
2/21/2020,89
2/22/2020,68
2/23/2020,59
2/24/2020,138
2/25/2020,131
2/26/2020,141
2/27/2020,134
2/28/2020,125
2/29/2020,62
3/1/2020,57
3/2/2020,165
3/3/2020,141
3/4/2020,181
3/5/2020,108
3/6/2020,172
3/7/2020,83
3/8/2020,82
3/9/2020,160
3/10/2020,156
3/11/2020,144
3/12/2020,132
3/13/2020,97
3/14/2020,88
3/15/2020,110
3/16/2020,140
3/17/2020,162
3/18/2020,113
3/19/2020,125
3/20/2020,111
3/21/2020,75
3/22/2020,111
3/23/2020,170
3/24/2020,123
3/25/2020,229
3/26/2020,164
3/27/2020,163
3/28/2020,126
3/29/2020,131
3/30/2020,161
3/31/2020,265
4/1/2020,159
4/2/2020,156
4/3/2020,117
4/4/2020,51
4/5/2020,82
4/6/2020,93
4/7/2020,128
4/8/2020,113
4/9/2020,163
4/10/2020,114
4/11/2020,97
4/12/2020,96
4/13/2020,142
4/14/2020,127
4/15/2020,155
4/16/2020,161
4/17/2020,160
4/18/2020,95
4/19/2020,102
4/20/2020,154
4/21/2020,150
4/22/2020,132
4/23/2020,120
4/24/2020,145
4/25/2020,98
4/26/2020,85
4/27/2020,138
4/28/2020,97
4/29/2020,158
4/30/2020,106
5/1/2020,88
5/2/2020,52
5/3/2020,89
5/4/2020,101
5/5/2020,139
5/6/2020,86
5/7/2020,113
5/8/2020,129
5/9/2020,92
5/10/2020,68
5/11/2020,52
5/12/2020,18
5/13/2020,92
5/14/2020,193
5/15/2020,128
5/16/2020,71
5/17/2020,100
5/18/2020,143
5/19/2020,168
5/20/2020,140
5/21/2020,175
5/22/2020,170
5/23/2020,81
5/24/2020,84
5/25/2020,132
5/26/2020,173
5/27/2020,169
5/28/2020,144
5/29/2020,121
5/30/2020,76
5/31/2020,71
6/1/2020,145
6/2/2020,167
6/3/2020,86
6/4/2020,121
6/5/2020,133
6/6/2020,66
6/7/2020,82
6/8/2020,165
6/9/2020,206
6/10/2020,195
6/11/2020,189
6/12/2020,135
6/13/2020,88
6/14/2020,91
6/15/2020,217
6/16/2020,248
6/17/2020,291
6/18/2020,286
6/19/2020,181
6/20/2020,105
6/21/2020,108
6/22/2020,187
6/23/2020,210
6/24/2020,254
6/25/2020,172
6/26/2020,155
6/27/2020,82
6/28/2020,78
6/29/2020,174
6/30/2020,162
7/1/2020,220
7/2/2020,117
7/3/2020,160
7/4/2020,55
7/5/2020,76
7/6/2020,182
7/7/2020,106
7/8/2020,124
7/9/2020,138
7/10/2020,152
7/11/2020,58
7/12/2020,59
7/13/2020,149
7/14/2020,170
7/15/2020,168
7/16/2020,159
7/17/2020,131
7/18/2020,81
7/19/2020,75
7/20/2020,182
7/21/2020,148
7/22/2020,141
7/23/2020,131
7/24/2020,141
7/25/2020,68
7/26/2020,73
7/27/2020,94
7/28/2020,307
7/29/2020,253
7/30/2020,176
7/31/2020,188
8/1/2020,99
8/2/2020,83
8/3/2020,135
8/4/2020,139
8/5/2020,197
8/6/2020,151
8/7/2020,146
8/8/2020,108
8/9/2020,79
8/10/2020,187
8/11/2020,162
8/12/2020,134
8/13/2020,164
8/14/2020,187
8/15/2020,104
8/16/2020,93
8/17/2020,165
8/18/2020,177
8/19/2020,260
8/20/2020,360
8/21/2020,238
8/22/2020,169
8/23/2020,138
8/24/2020,181
8/25/2020,257
8/26/2020,204
8/27/2020,190
8/28/2020,193
8/29/2020,118
8/30/2020,97
8/31/2020,202
9/1/2020,177
9/2/2020,218
9/3/2020,178
9/4/2020,155
9/5/2020,90
9/6/2020,153
9/7/2020,159
9/8/2020,230
9/9/2020,205
9/10/2020,183
9/11/2020,191
9/12/2020,93
9/13/2020,133
9/14/2020,157
9/15/2020,212
9/16/2020,207
9/17/2020,168
9/18/2020,224
9/19/2020,126
9/20/2020,71
9/21/2020,234
9/22/2020,182
9/23/2020,182
9/24/2020,154
9/25/2020,162
9/26/2020,86
9/27/2020,94
9/28/2020,214
9/29/2020,197
9/30/2020,176
10/1/2020,172
10/2/2020,157
10/3/2020,143
10/4/2020,108
10/5/2020,155
10/6/2020,200
10/7/2020,303
10/8/2020,151
10/9/2020,174
10/10/2020,70
10/11/2020,100
10/12/2020,147
10/13/2020,98
10/14/2020,227
10/15/2020,278
10/16/2020,328
10/17/2020,240
10/18/2020,227
10/19/2020,356
10/20/2020,476
10/21/2020,380
10/22/2020,303
10/23/2020,226
10/24/2020,188
10/25/2020,163
10/26/2020,234
10/27/2020,253
10/28/2020,309
10/29/2020,295
10/30/2020,387
10/31/2020,146
11/1/2020,183
11/2/2020,214
11/3/2020,231
11/4/2020,192
11/5/2020,237
11/6/2020,218
11/7/2020,125
11/8/2020,105
11/9/2020,233
11/10/2020,218
11/11/2020,168
11/12/2020,173
11/13/2020,188
11/14/2020,456
11/15/2020,230
11/16/2020,276
11/17/2020,199
11/18/2020,196
11/19/2020,359
11/20/2020,311
11/21/2020,151
11/22/2020,154
11/23/2020,321
11/24/2020,254
11/25/2020,200
11/26/2020,188
11/27/2020,164
11/28/2020,107
11/29/2020,101
11/30/2020,172
12/1/2020,157
12/2/2020,172
12/3/2020,126
12/4/2020,200
12/5/2020,217
12/6/2020,102
12/7/2020,173
12/8/2020,203
12/9/2020,200
12/10/2020,120
12/11/2020,167
12/12/2020,135
12/13/2020,227
12/14/2020,380
12/15/2020,562
12/16/2020,597
12/17/2020,605
12/18/2020,473
12/19/2020,246
12/20/2020,226
12/21/2020,333
12/22/2020,301
12/23/2020,229
12/24/2020,231
12/25/2020,229
12/26/2020,136
12/27/2020,213
12/28/2020,303
12/29/2020,168
12/30/2020,131
12/31/2020,91
1/1/2021,79
1/2/2021,118
1/3/2021,119
1/4/2021,230
1/5/2021,237
1/6/2021,181
1/7/2021,203
1/8/2021,158
1/9/2021,154
1/10/2021,113
1/11/2021,195
1/12/2021,244
1/13/2021,205
1/14/2021,228
1/15/2021,183
1/16/2021,121
1/17/2021,130
1/18/2021,185
1/19/2021,209
1/20/2021,234
1/21/2021,174
1/22/2021,195
1/23/2021,110
1/24/2021,130
1/25/2021,187
1/26/2021,230
1/27/2021,186
1/28/2021,200
1/29/2021,168
1/30/2021,104
1/31/2021,118
2/1/2021,196
2/2/2021,235
2/3/2021,155
2/4/2021,19
2/5/2021,14
2/6/2021,18
2/7/2021,14
2/8/2021,51
2/9/2021,153
2/10/2021,194
2/11/2021,173
2/12/2021,127
2/13/2021,92
2/14/2021,109
2/15/2021,214
2/16/2021,205
2/17/2021,332
2/18/2021,280
2/19/2021,252
2/20/2021,131
2/21/2021,118
2/22/2021,187
2/23/2021,228
2/24/2021,217
2/25/2021,204
2/26/2021,102
2/27/2021,84
2/28/2021,85
3/1/2021,220
3/2/2021,193
3/3/2021,178
3/4/2021,208
3/5/2021,184
3/6/2021,219
3/7/2021,132
3/8/2021,193
3/9/2021,227
3/10/2021,216
3/11/2021,230
3/12/2021,286
3/13/2021,111
3/14/2021,104
3/15/2021,196
3/16/2021,328
3/17/2021,296
3/18/2021,441
3/19/2021,201
3/20/2021,129
3/21/2021,108
3/22/2021,187
3/23/2021,244
3/24/2021,221
3/25/2021,221
3/26/2021,241
3/27/2021,96
3/28/2021,127
3/29/2021,256
3/30/2021,222
3/31/2021,229
4/1/2021,226
4/2/2021,243
4/3/2021,128
4/4/2021,134
4/5/2021,177
4/6/2021,132
4/7/2021,177
4/8/2021,195
4/9/2021,154
4/10/2021,92
4/11/2021,93
4/12/2021,106
4/13/2021,95
4/14/2021,80
4/15/2021,87
4/16/2021,131
4/17/2021,113
4/18/2021,139
4/19/2021,188
4/20/2021,187
4/21/2021,162
4/22/2021,164
4/23/2021,158
4/24/2021,155
4/25/2021,129
4/26/2021,205
4/27/2021,204
4/28/2021,229
4/29/2021,176
4/30/2021,201
5/1/2021,127
5/2/2021,114
5/3/2021,152
5/4/2021,132
5/5/2021,193
5/6/2021,252
5/7/2021,214
5/8/2021,194
5/9/2021,101
5/10/2021,129
5/11/2021,161
5/12/2021,228
5/13/2021,142
5/14/2021,178
5/15/2021,116
5/16/2021,101
5/17/2021,164
5/18/2021,171
5/19/2021,225
5/20/2021,231
5/21/2021,286
5/22/2021,220
5/23/2021,169
5/24/2021,225
5/25/2021,197
5/26/2021,152
5/27/2021,218
5/28/2021,184
5/29/2021,137
5/30/2021,140
5/31/2021,240
6/1/2021,175
6/2/2021,285
6/3/2021,205
6/4/2021,181
6/5/2021,120
6/6/2021,107
6/7/2021,199
6/8/2021,211
6/9/2021,229
6/10/2021,249
6/11/2021,288
6/12/2021,163
6/13/2021,138
6/14/2021,218
6/15/2021,246
6/16/2021,216
6/17/2021,251
6/18/2021,247
6/19/2021,153
6/20/2021,108
6/21/2021,243
6/22/2021,288
6/23/2021,263
6/24/2021,219
6/25/2021,197
6/26/2021,143
6/27/2021,163
6/28/2021,187
6/29/2021,283
6/30/2021,285
7/1/2021,204
7/2/2021,181
7/3/2021,132
7/4/2021,130
7/5/2021,235
7/6/2021,234
7/7/2021,261
7/8/2021,295
7/9/2021,254
7/10/2021,143
7/11/2021,28
7/12/2021,31
7/13/2021,27
7/14/2021,21
7/15/2021,18
7/16/2021,24
7/17/2021,25
7/18/2021,21
7/19/2021,20
7/20/2021,27
7/21/2021,23
7/22/2021,14
7/23/2021,16
7/24/2021,19
7/25/2021,14
7/26/2021,18
7/27/2021,28
7/28/2021,19
7/29/2021,22
7/30/2021,21
7/31/2021,11
8/1/2021,14
8/2/2021,18
8/3/2021,22
8/4/2021,17
8/5/2021,16
8/6/2021,14
8/7/2021,19
8/8/2021,11
8/9/2021,14
8/10/2021,14
8/11/2021,20
8/12/2021,16
8/13/2021,22
8/14/2021,16
8/15/2021,22
8/16/2021,20
8/17/2021,25
8/18/2021,19
8/19/2021,14
8/20/2021,16
8/21/2021,23
8/22/2021,14
8/23/2021,19
8/24/2021,16
8/25/2021,16
8/26/2021,14
8/27/2021,22
8/28/2021,14
8/29/2021,12
8/30/2021,25
8/31/2021,16
9/1/2021,17
9/2/2021,17
9/3/2021,14
9/4/2021,21
9/5/2021,20
9/6/2021,19
9/7/2021,19
9/8/2021,24
9/9/2021,17
9/10/2021,24
9/11/2021,19
9/12/2021,17
9/13/2021,19
9/14/2021,19
9/15/2021,58
9/16/2021,314
9/17/2021,296
9/18/2021,213
9/19/2021,231
9/20/2021,258
9/21/2021,272
9/22/2021,301
9/23/2021,282
9/24/2021,205
9/25/2021,175
9/26/2021,173
9/27/2021,220
9/28/2021,194
9/29/2021,205
9/30/2021,195
10/1/2021,208
10/2/2021,155
10/3/2021,200
10/4/2021,263
10/5/2021,189
10/6/2021,247
10/7/2021,221
10/8/2021,315
10/9/2021,197
10/10/2021,186
10/11/2021,226
10/12/2021,211
10/13/2021,195
10/14/2021,269
10/15/2021,265
10/16/2021,152
10/17/2021,182
10/18/2021,303
10/19/2021,207
10/20/2021,195
10/21/2021,191
10/22/2021,156
10/23/2021,146
10/24/2021,129
10/25/2021,191
10/26/2021,194
10/27/2021,190
10/28/2021,189
10/29/2021,223
10/30/2021,136
10/31/2021,136
11/1/2021,243
11/2/2021,204
11/3/2021,233
11/4/2021,205
11/5/2021,204
11/6/2021,147
11/7/2021,152
11/8/2021,240
11/9/2021,234
11/10/2021,345
11/11/2021,350
11/12/2021,333
11/13/2021,178
11/14/2021,190
11/15/2021,364
11/16/2021,308
11/17/2021,238
11/18/2021,281
11/19/2021,227
11/20/2021,226
11/21/2021,397
11/22/2021,512
11/23/2021,492
11/24/2021,487
11/25/2021,455
11/26/2021,247
11/27/2021,191
11/28/2021,181
11/29/2021,306
11/30/2021,280
12/1/2021,260
12/2/2021,283
12/3/2021,190
12/4/2021,181
12/5/2021,145
12/6/2021,170
12/7/2021,275
12/8/2021,296
12/9/2021,216
12/10/2021,150
12/11/2021,135
12/12/2021,134
12/13/2021,206
12/14/2021,265
12/15/2021,195
12/16/2021,279
12/17/2021,206
12/18/2021,231
12/19/2021,192
12/20/2021,220
12/21/2021,217
12/22/2021,219
12/23/2021,214
12/24/2021,221
12/25/2021,124
12/26/2021,123
12/27/2021,177
12/28/2021,182
12/29/2021,171
12/30/2021,880
12/31/2021,447
1/1/2022,143
1/2/2022,134
1/3/2022,167
1/4/2022,200
1/5/2022,245
1/6/2022,249
1/7/2022,212
1/8/2022,163
1/9/2022,162
1/10/2022,230
1/11/2022,382
1/12/2022,243
1/13/2022,430
1/14/2022,277
1/15/2022,167
1/16/2022,141
1/17/2022,310
1/18/2022,325
1/19/2022,329
1/20/2022,257
1/21/2022,226
1/22/2022,135
1/23/2022,215
1/24/2022,317
1/25/2022,285
1/26/2022,245
1/27/2022,206
1/28/2022,212
1/29/2022,175
1/30/2022,171
1/31/2022,233
2/1/2022,232
2/2/2022,261
2/3/2022,267
2/4/2022,275
2/5/2022,202
2/6/2022,194
2/7/2022,264
2/8/2022,297
2/9/2022,332
2/10/2022,245
2/11/2022,244
2/12/2022,148
2/13/2022,175
2/14/2022,241
2/15/2022,259
2/16/2022,185
2/17/2022,218
2/18/2022,258
2/19/2022,167
2/20/2022,168
2/21/2022,270
2/22/2022,378
2/23/2022,289
2/24/2022,295
2/25/2022,228
2/26/2022,169
