No.,Field Name,คำอธิบาย,Data Type,Format / Allowed Values,Required,Example,หมายเหตุ
1,payment_id,รหัสรายการจ่ายเงินอุดหนุน,String,NCGPAY#####,Yes,NCGPAY00001,Primary Key; 1 Record = 1 รายการจ่ายเงิน
2,grant_case_id,รหัสสิทธิ์/คำขอเงินอุดหนุนของเด็ก,String,NCG#####,Yes,NCG00001,เด็ก 1 คนสามารถมีหลาย payment_id ได้
3,child_citizen_id,เลขประจำตัวประชาชนของเด็ก (ข้อมูลจำลอง),String,13 digits,Yes,1234567890123,ใช้ระบุเด็กในชุดข้อมูล
4,child_first_name,ชื่อเด็ก,String,ข้อความภาษาไทย,Yes,ณัฐภัทร,ชื่อ-นามสกุลของเด็กแต่ละสิทธิ์ไม่ซ้ำกันใน Dataset นี้
5,child_last_name,นามสกุลเด็ก,String,ข้อความภาษาไทย,Yes,ศรีสุข,ข้อมูลจำลอง
6,child_gender,เพศของเด็ก,String / Enum,ชาย; หญิง,Yes,ชาย,
7,child_birth_date,วันเดือนปีเกิดของเด็ก,Date,YYYY-MM-DD,Yes,2024-03-12,ใช้คำนวณอายุ ณ วันที่วิเคราะห์; ไม่เก็บ age ซ้ำ
8,father_citizen_id,เลขประจำตัวประชาชนของบิดาผู้ให้กำเนิด (ข้อมูลจำลอง),String,13 digits,Yes,2345678901234,แยกจากข้อมูลผู้ปกครองปัจจุบัน
9,father_first_name,ชื่อบิดาผู้ให้กำเนิด,String,ข้อความภาษาไทย,Yes,เอกชัย,ข้อมูลจำลอง
10,father_last_name,นามสกุลบิดาผู้ให้กำเนิด,String,ข้อความภาษาไทย,Yes,แสงทอง,ข้อมูลจำลอง
11,father_status,สถานะของบิดาต่อการเลี้ยงดูเด็ก,String / Enum,มีชีวิตและเลี้ยงดูเด็ก; มีชีวิตแต่ไม่ได้เลี้ยงดู; ไม่สามารถเลี้ยงดูได้; ไม่สามารถติดต่อได้; เสียชีวิต,Yes,มีชีวิตและเลี้ยงดูเด็ก,ใช้ประกอบการอธิบายเหตุผลเมื่อมีผู้ปกครองตามกฎหมาย
12,mother_citizen_id,เลขประจำตัวประชาชนของมารดาผู้ให้กำเนิด (ข้อมูลจำลอง),String,13 digits,Yes,3456789012345,แยกจากข้อมูลผู้ปกครองปัจจุบัน
13,mother_first_name,ชื่อมารดาผู้ให้กำเนิด,String,ข้อความภาษาไทย,Yes,สุภาวดี,ข้อมูลจำลอง
14,mother_last_name,นามสกุลมารดาผู้ให้กำเนิด,String,ข้อความภาษาไทย,Yes,แสงทอง,ข้อมูลจำลอง
15,mother_status,สถานะของมารดาต่อการเลี้ยงดูเด็ก,String / Enum,มีชีวิตและเลี้ยงดูเด็ก; มีชีวิตแต่ไม่ได้เลี้ยงดู; ไม่สามารถเลี้ยงดูได้; ไม่สามารถติดต่อได้; เสียชีวิต,Yes,มีชีวิตและเลี้ยงดูเด็ก,ใช้ประกอบการอธิบายเหตุผลเมื่อมีผู้ปกครองตามกฎหมาย
16,guardian_citizen_id,เลขประจำตัวประชาชนของผู้ปกครองปัจจุบัน (ข้อมูลจำลอง),String,13 digits,Yes,4567890123456,หากเป็นมารดา/บิดา ต้องตรงกับ citizen_id ของบุคคลนั้น
17,guardian_first_name,ชื่อผู้ปกครองปัจจุบัน,String,ข้อความภาษาไทย,Yes,สุพัตรา,หาก guardian_relationship = มารดา/บิดา ชื่อต้องตรงกับข้อมูลมารดา/บิดา
18,guardian_last_name,นามสกุลผู้ปกครองปัจจุบัน,String,ข้อความภาษาไทย,Yes,ทองดี,ข้อมูลจำลอง
19,guardian_relationship,ความสัมพันธ์ของผู้ปกครองปัจจุบันกับเด็ก,String / Enum,มารดา; บิดา; ผู้ปกครองโดยชอบด้วยกฎหมาย,Yes,มารดา,กำหนดบทบาทผู้ดูแลเด็กในปัจจุบัน
20,legal_guardian_relation,ความสัมพันธ์จริงของผู้ปกครองตามกฎหมายกับเด็ก,String / Enum,ยาย; ย่า; ตา; ป้า; น้า; ลุง; อา; พี่; ญาติอื่น; บุคคลอื่น,Conditional,ยาย,กรอกเมื่อ guardian_relationship = ผู้ปกครองโดยชอบด้วยกฎหมาย; กรณีอื่นให้เว้นว่าง
21,legal_guardian_reason,เหตุผลที่มีผู้ปกครองโดยชอบด้วยกฎหมาย,String / Enum,บิดามารดาเสียชีวิต; บิดา/มารดาไม่สามารถเลี้ยงดู; ไม่ได้เลี้ยงดู; ไม่สามารถติดต่อได้; คำสั่งศาล; อื่น ๆ,Conditional,บิดาและมารดาเสียชีวิต,กรอกเมื่อ guardian_relationship = ผู้ปกครองโดยชอบด้วยกฎหมาย; ต้องสอดคล้องกับ father_status และ mother_status
22,application_date,วันที่ยื่นคำขอรับเงินอุดหนุน,Date,YYYY-MM-DD,Yes,2024-04-05,ต้องไม่น้อยกว่า child_birth_date
23,approval_date,วันที่อนุมัติคำขอ,Date,YYYY-MM-DD,Yes,2024-04-18,ต้องไม่น้อยกว่า application_date
24,entitlement_start_date,วันที่เริ่มมีสิทธิ์รับเงินอุดหนุน,Date,YYYY-MM-DD,Yes,2024-04-18,ใช้เป็นจุดเริ่มต้นของสิทธิ์ในข้อมูลจำลอง
25,payment_date,วันที่จ่ายเงิน,Date,YYYY-MM-DD,Yes,2024-05-01,ใช้ทำ Trend ตามช่วงเวลา
26,payment_round,ลำดับงวดการจ่ายเงินของสิทธิ์นั้น,Integer,1-3 ในชุดข้อมูลจำลอง,Yes,1,grant_case_id เดียวกันสามารถมีหลายงวด
27,payment_amount,จำนวนเงินที่จ่ายใน Transaction,Integer / Currency,บาท,Yes,600,ข้อมูลจำลอง; บาง Transaction อาจรวมยอดย้อนหลังหลายงวด
28,payment_status,ลักษณะการจ่ายเงิน,String / Enum,จ่ายสำเร็จ; จ่ายย้อนหลังรวมหลายงวด,Yes,จ่ายสำเร็จ,
29,payment_method,ช่องทางการรับเงิน,String / Enum,โอนเข้าบัญชีธนาคาร; พร้อมเพย์,Yes,โอนเข้าบัญชีธนาคาร,
30,household_member_count,จำนวนสมาชิกในครัวเรือน ณ ตอนยื่นคำขอ,Integer,2-7 คนในชุดข้อมูลจำลอง,Yes,4,ใช้วิเคราะห์ลักษณะครัวเรือน
31,household_annual_income,รายได้เฉลี่ยของครัวเรือนต่อปี ณ ตอนยื่นคำขอ,Integer / Currency,"0-100,000 บาท/ครัวเรือน/ปี",Yes,72000,"กำหนดไม่เกิน 100,000 บาท/ปีตามเงื่อนไขที่ใช้ใน Dataset สำหรับทำโจทย์"
32,registration_channel,ช่องทางการลงทะเบียน,String / Enum,ลงทะเบียน ณ หน่วยรับลงทะเบียน; ระบบออนไลน์; หน่วยบริการเคลื่อนที่; เจ้าหน้าที่ช่วยลงทะเบียน,Yes,ระบบออนไลน์,
33,province,จังหวัดที่ลงทะเบียน/รับบริการ,String,ชื่อจังหวัด,Yes,ขอนแก่น,ต้องเป็นชื่อจังหวัดที่มีอยู่จริง
34,district,อำเภอ/เขตที่ลงทะเบียน/รับบริการ,String,ชื่ออำเภอ/เขต,Yes,เมืองขอนแก่น,ต้องเป็นอำเภอ/เขตที่มีอยู่จริงและสังกัด province ใน Record เดียวกัน
35,subdistrict,ตำบล/แขวงที่ลงทะเบียน/รับบริการ,String,ชื่อตำบล/แขวง,Yes,บ้านเป็ด,ต้องเป็นตำบล/แขวงที่มีอยู่จริงและสังกัด district และ province ใน Record เดียวกัน; คงที่สำหรับ grant_case_id เดียวกัน
36,agency,หน่วยงาน/จุดบริการที่เกี่ยวข้อง,String / Enum,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด{ชื่อจังหวัด},Yes,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดขอนแก่น,ค่าของ agency ต้องสอดคล้องกับ province ของ Record เดียวกัน
