province_id,province_th,province_en,region,centroid_lat,centroid_lng,total_social_cases,emergency_cases,avg_days_to_close_case,welfare_payment_count,total_welfare_approved_amount,total_welfare_paid_amount,avg_payment_days,newborn_grant_count,total_newborn_grant_paid,avg_household_income_per_capita,avg_household_members,total_combined_social_aid,total_culture_events,total_event_days,has_cultural_events
1,กรุงเทพมหานคร,Bangkok,ภาคกลาง,13.7563,100.5018,7,1,20.4,10,55500,28500,10.1,0,0,,,28500,0,0.0,0
2,สมุทรปราการ,Samut Prakan,ภาคกลาง,13.5991,100.5998,12,3,25.6,9,39500,34500,9.8,5,3000,6550.0,4.0,37500,0,0.0,0
3,นนทบุรี,Nonthaburi,ภาคกลาง,13.8621,100.5144,9,4,22.7,15,84000,44500,11.1,19,14400,8078.9,4.2,58900,11,66.1,1
4,ปทุมธานี,Pathum Thani,ภาคกลาง,14.0208,100.525,10,5,19.6,12,105500,62000,13.0,11,6600,8363.6,5.5,68600,0,0.0,0
5,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ภาคกลาง,14.3532,100.5684,6,2,22.7,8,56000,25500,9.6,12,10800,7020.8,4.2,36300,6,5.0,1
6,อ่างทอง,Ang Thong,ภาคกลาง,14.5896,100.455,0,0,,0,0,0,,0,0,,,0,0,0.0,0
7,ลพบุรี,Lop Buri,ภาคกลาง,14.7995,100.6534,17,5,23.5,23,149500,86000,12.0,4,2400,11750.0,4.0,88400,2,0.5,1
8,สิงห์บุรี,Sing Buri,ภาคกลาง,14.8936,100.4018,0,0,,0,0,0,,0,0,,,0,11,20.6,1
9,ชัยนาท,Chai Nat,ภาคกลาง,15.1852,100.1252,0,0,,0,0,0,,0,0,,,0,8,17.7,1
10,สระบุรี,Saraburi,ภาคกลาง,14.5289,100.9108,9,3,27.0,16,151500,60000,9.8,9,6600,7333.3,5.0,66600,0,0.0,0
11,ชลบุรี,Chon Buri,ภาคตะวันออก,13.3611,100.9847,20,8,19.4,23,234500,125000,10.7,18,12000,9736.1,4.9,137000,0,0.0,0
12,ระยอง,Rayong,ภาคตะวันออก,12.6814,101.2816,11,4,22.7,9,46500,27500,11.1,18,15600,6888.9,5.0,43100,0,0.0,0
13,จันทบุรี,Chanthaburi,ภาคตะวันออก,12.6114,102.1039,20,6,22.0,22,166000,87500,11.4,8,6000,7625.0,5.0,93500,4,10.2,1
14,ตราด,Trat,ภาคตะวันออก,12.2428,102.5175,9,1,26.8,3,13500,9500,9.0,9,7800,9333.3,5.1,17300,0,0.0,0
15,ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,13.6904,101.078,6,3,24.2,6,38500,23500,12.7,7,4200,9500.0,4.7,27700,2,15.9,1
16,ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,14.0509,101.3716,12,3,26.8,12,96500,48000,10.3,12,9000,9187.5,3.9,57000,5,22.8,1
17,นครนายก,Nakhon Nayok,ภาคกลาง,14.2069,101.2131,0,0,,0,0,0,,0,0,,,0,0,0.0,0
18,สระแก้ว,Sa Kaeo,ภาคตะวันออก,13.814,102.0718,8,0,25.1,11,82000,48500,11.4,11,8400,8636.4,3.4,56900,0,0.0,0
19,นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,14.9707,102.0978,9,3,28.7,0,0,0,,8,4800,3906.2,3.5,4800,6,46.7,1
20,บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,14.993,103.1029,8,2,23.9,10,66500,33500,12.8,13,12000,10250.0,4.6,45500,0,0.0,0
21,สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,14.8818,103.4936,9,2,20.4,7,47000,27500,13.3,16,9600,7687.5,4.9,37100,0,0.0,0
22,ศรีสะเกษ,Si Sa Ket,ภาคตะวันออกเฉียงเหนือ,15.1186,104.322,0,0,,0,0,0,,0,0,,,0,4,25.2,1
23,อุบลราชธานี,Ubon Ratchathani,ภาคตะวันออกเฉียงเหนือ,15.2448,104.8473,11,1,19.6,16,68500,36500,12.6,13,9000,8153.8,4.4,45500,5,49.6,1
24,ยโสธร,Yasothon,ภาคตะวันออกเฉียงเหนือ,15.7926,104.1453,0,0,,0,0,0,,0,0,,,0,0,0.0,0
25,ชัยภูมิ,Chaiyaphum,ภาคตะวันออกเฉียงเหนือ,15.8063,102.0315,0,0,,0,0,0,,0,0,,,0,1,1.3,1
26,อำนาจเจริญ,Amnat Charoen,ภาคตะวันออกเฉียงเหนือ,15.8657,104.6258,0,0,,0,0,0,,0,0,,,0,0,0.0,0
27,บึงกาฬ,Bueng Kan,ภาคตะวันออกเฉียงเหนือ,18.3609,103.6465,0,0,,0,0,0,,0,0,,,0,3,2.0,1
28,หนองบัวลำภู,Nong Bua Lam Phu,ภาคตะวันออกเฉียงเหนือ,17.2044,102.4407,0,0,,0,0,0,,0,0,,,0,5,198.0,1
