row_order,category_level,level_type,tsic_division_code,tsic_division_name,tsic_group_code,tsic_group_name,tsic_class_code,tsic_class_name,product_code,item_name,weight,index_2021_01,index_2021_02,index_2021_03,index_2021_04,index_2021_05,index_2021_06,index_2021_07,index_2021_08,index_2021_09,index_2021_10,index_2021_11,index_2021_12,index_2022_01,index_2022_02,index_2022_03,index_2022_04,index_2022_05,index_2022_06,index_2022_07,index_2022_08,index_2022_09,index_2022_10,index_2022_11,index_2022_12,index_2023_01,index_2023_02,index_2023_03,index_2023_04,index_2023_05,index_2023_06,index_2023_07,index_2023_08,index_2023_09,index_2023_10,index_2023_11,index_2023_12,index_2024_01,index_2024_02,index_2024_03,index_2024_04,index_2024_05,index_2024_06,index_2024_07,index_2024_08,index_2024_09,index_2024_10,index_2024_11,index_2024_12,index_2025_01,index_2025_02,index_2025_03,index_2025_04,index_2025_05,index_2025_06,index_2025_07,index_2025_08,index_2025_09,index_2025_10,index_2025_11,index_2025_12,index_2026_01,index_2026_02,index_2026_03,index_2026_04,index_2026_05,index_2026_06,mom_change_pct,yoy_change_pct,base_year,source_agency,source_file
1,0,TOTAL,,ดัชนีรวมยังไม่ได้ปรับฤดูกาล,,,,,,ดัชนีรวมยังไม่ได้ปรับฤดูกาล,100.0,95.126511,96.66893,114.880191,94.67315,102.071922,102.726442,93.465683,91.562025,100.022845,98.165441,102.833525,107.803334,101.969197,102.782868,114.409466,96.431438,103.743825,104.91807,100.798045,104.237525,103.576923,99.81092,99.93735,102.610755,99.721578,100.93047,112.574689,92.37132,105.11336,101.275699,98.822698,99.081786,97.679703,96.70845,98.416989,98.345082,95.859473,98.653667,107.879914,94.071293,102.767092,99.774574,99.760059,99.363921,97.371929,95.890236,98.718133,99.514635,96.049718,98.036601,108.315688,93.316421,103.570114,99.855242,95.760196,94.616482,97.594189,96.620236,95.358741,99.574473,96.925174,97.278496,110.992297,93.866963,98.727958,94.695729,-4.084182,-5.166993,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
2,1,DIVISION_2DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,,,,,,การผลิตผลิตภัณฑ์อาหาร,15.780701,89.498174,90.938104,110.642877,98.553872,103.829148,104.215417,98.066453,96.203194,101.450048,101.276919,101.679571,103.646222,102.321361,104.798425,115.977314,101.718893,111.050352,111.944242,109.021177,112.02421,104.398797,106.97284,103.422876,102.834271,102.128838,105.432689,119.618663,95.221927,108.330524,100.571029,101.717418,103.173172,103.29251,105.386283,101.276473,98.077761,102.475541,103.643734,111.275866,103.172791,114.307044,107.146105,112.566295,112.245287,106.925454,106.019136,102.920904,99.39677,102.940533,102.78776,109.591549,104.206074,121.583679,112.929092,111.857927,106.837287,108.272118,109.079483,104.831524,103.839372,101.839268,104.658616,120.984539,109.616544,116.560812,109.871778,-5.738665,-2.707287,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
3,2,GROUP_4DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1011,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก),,,,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก),0.290882,103.266333,92.860174,108.144015,100.124848,100.316355,100.229937,102.213404,86.380869,88.762818,99.846216,101.771421,116.083611,91.163012,84.192608,107.523867,105.193659,91.069584,84.924607,88.499261,82.680365,80.522822,85.241604,88.25461,97.296435,92.593633,87.754312,102.38785,96.744348,100.616847,100.51655,108.819962,111.839623,108.630866,115.128405,111.929107,121.697128,114.872382,108.668453,114.542986,116.887418,113.135225,114.203904,115.627629,114.81219,113.772226,118.323283,118.807146,123.162785,122.829608,109.151257,122.154328,113.077818,111.856094,113.668485,117.411653,114.421477,118.075724,126.937726,123.338309,127.564269,121.920549,113.520087,126.409799,119.033374,126.961901,125.064644,-1.494351,10.025786,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
4,3,CLASS_5DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1011,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก),10112,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก) สด แช่เย็น หรือแช่แข็ง,,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก) สด แช่เย็น หรือแช่แข็ง,0.290882,103.266333,92.860174,108.144015,100.124848,100.316355,100.229937,102.213404,86.380869,88.762818,99.846216,101.771421,116.083611,91.163012,84.192608,107.523867,105.193659,91.069584,84.924607,88.499261,82.680365,80.522822,85.241604,88.25461,97.296435,92.593633,87.754312,102.38785,96.744348,100.616847,100.51655,108.819962,111.839623,108.630866,115.128405,111.929107,121.697128,114.872382,108.668453,114.542986,116.887418,113.135225,114.203904,115.627629,114.81219,113.772226,118.323283,118.807146,123.162785,122.829608,109.151257,122.154328,113.077818,111.856094,113.668485,117.411653,114.421477,118.075724,126.937726,123.338309,127.564269,121.920549,113.520087,126.409799,119.033374,126.961901,125.064644,-1.494351,10.025786,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
5,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1011,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก),10112,การผลิตเนื้อสัตว์ (ยกเว้นสัตว์ปีก) สด แช่เย็น หรือแช่แข็ง,10112-010,เนื้อสุกรแช่แข็งและแช่เย็น,0.290882,103.266333,92.860174,108.144015,100.124848,100.316355,100.229937,102.213404,86.380869,88.762818,99.846216,101.771421,116.083611,91.163012,84.192608,107.523867,105.193659,91.069584,84.924607,88.499261,82.680365,80.522822,85.241604,88.25461,97.296435,92.593633,87.754312,102.38785,96.744348,100.616847,100.51655,108.819962,111.839623,108.630866,115.128405,111.929107,121.697128,114.872382,108.668453,114.542986,116.887418,113.135225,114.203904,115.627629,114.81219,113.772226,118.323283,118.807146,123.162785,122.829608,109.151257,122.154328,113.077818,111.856094,113.668485,117.411653,114.421477,118.075724,126.937726,123.338309,127.564269,121.920549,113.520087,126.409799,119.033374,126.961901,125.064644,-1.494351,10.025786,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
6,2,GROUP_4DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1012,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,,,,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,1.198092,102.154402,100.455606,113.657972,98.621051,104.042394,100.735362,93.441059,82.505807,94.254339,95.77651,108.023822,106.331676,106.667834,103.927697,108.093138,93.341523,103.386525,107.696894,103.143965,110.198011,105.766061,108.846285,109.413876,107.344792,101.939073,105.281638,110.970049,94.196348,108.713251,102.608157,102.810327,108.849925,106.362394,106.509444,110.919957,106.708581,107.239932,104.156392,106.792669,93.257339,104.625127,98.420749,105.837745,110.890388,103.508121,110.554853,116.876408,107.067424,106.254631,103.089118,104.178913,96.200807,111.244724,101.380872,104.575222,105.879952,104.903419,107.054954,109.937559,108.928364,103.044514,101.259723,100.15528,93.955292,106.077675,107.15307,1.013781,5.693578,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
7,3,CLASS_5DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1012,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,10120,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,1.198092,102.154402,100.455606,113.657972,98.621051,104.042394,100.735362,93.441059,82.505807,94.254339,95.77651,108.023822,106.331676,106.667834,103.927697,108.093138,93.341523,103.386525,107.696894,103.143965,110.198011,105.766061,108.846285,109.413876,107.344792,101.939073,105.281638,110.970049,94.196348,108.713251,102.608157,102.810327,108.849925,106.362394,106.509444,110.919957,106.708581,107.239932,104.156392,106.792669,93.257339,104.625127,98.420749,105.837745,110.890388,103.508121,110.554853,116.876408,107.067424,106.254631,103.089118,104.178913,96.200807,111.244724,101.380872,104.575222,105.879952,104.903419,107.054954,109.937559,108.928364,103.044514,101.259723,100.15528,93.955292,106.077675,107.15307,1.013781,5.693578,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
8,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1012,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,10120,การฆ่าสัตว์ปีกและการผลิตเนื้อสัตว์ปีกสด แช่เย็น หรือแช่แข็ง,10120-010,เนื้อไก่แช่แข็งและแข่เย็น,1.198092,102.154402,100.455606,113.657972,98.621051,104.042394,100.735362,93.441059,82.505807,94.254339,95.77651,108.023822,106.331676,106.667834,103.927697,108.093138,93.341523,103.386525,107.696894,103.143965,110.198011,105.766061,108.846285,109.413876,107.344792,101.939073,105.281638,110.970049,94.196348,108.713251,102.608157,102.810327,108.849925,106.362394,106.509444,110.919957,106.708581,107.239932,104.156392,106.792669,93.257339,104.625127,98.420749,105.837745,110.890388,103.508121,110.554853,116.876408,107.067424,106.254631,103.089118,104.178913,96.200807,111.244724,101.380872,104.575222,105.879952,104.903419,107.054954,109.937559,108.928364,103.044514,101.259723,100.15528,93.955292,106.077675,107.15307,1.013781,5.693578,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
9,2,GROUP_4DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1013,การผลิตผลิตภัณฑ์เนื้อสัตว์และเนื้อสัตว์ปีก,,,,การผลิตผลิตภัณฑ์เนื้อสัตว์และเนื้อสัตว์ปีก,0.418483,112.664776,95.593893,108.758812,102.236811,98.537497,95.557134,98.268536,80.947406,81.473504,93.327141,108.824879,123.809611,107.824825,100.856024,104.724502,102.297433,106.656842,103.790727,107.266784,107.640864,106.179831,106.390574,106.637275,116.123166,100.847304,96.673181,106.986661,102.948958,104.646449,99.504244,106.599543,105.220727,103.872863,109.251438,113.949646,118.194451,105.980114,103.830425,108.537467,109.572375,110.293094,105.514274,114.886761,115.102799,111.467464,116.621787,123.201624,125.910038,116.521176,107.356159,120.058539,117.332036,117.750119,117.323133,117.778573,120.346914,120.076283,121.881314,126.816401,127.24949,123.599376,113.521009,120.026712,113.149625,108.435282,112.71796,3.949524,-3.925204,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
10,3,CLASS_5DIGIT,10,การผลิตผลิตภัณฑ์อาหาร,1013,การผลิตผลิตภัณฑ์เนื้อสัตว์และเนื้อสัตว์ปีก,10131,การผลิตเนื้อสัตว์และเนื้อสัตว์ปีกที่ทำให้แห้ง  ทำเค็ม  หรือรมควัน,,การผลิตเนื้อสัตว์และเนื้อสัตว์ปีกที่ทำให้แห้ง  ทำเค็ม  หรือรมควัน,0.07762,87.257042,88.512007,104.731581,105.588095,87.024962,91.138241,92.772743,90.589219,98.654684,107.829,110.902199,135.000228,92.059524,90.795243,99.661606,95.178299,95.050165,86.366112,88.048181,83.409851,81.613512,90.629668,94.547163,117.498093,87.098971,87.485806,101.544047,88.117197,89.545626,81.101844,102.414247,105.315726,92.951754,102.432001,116.644797,132.458698,102.540812,112.431599,112.215211,115.228559,103.409324,91.87899,102.555971,108.936881,92.52407,106.035945,111.342982,140.060126,115.569866,106.229311,129.018448,118.100954,119.381697,102.528034,112.327721,117.415926,103.479365,108.131337,120.466255,143.430382,125.434104,114.371149,129.520999,108.381267,97.016701,99.917213,2.989704,-2.546445,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
11,4,PRODUCT_ITEM,10,การผลิตผลิตภัณฑ์อาหาร,1013,การผลิตผลิตภัณฑ์เนื้อสัตว์และเนื้อสัตว์ปีก,10131,การผลิตเนื้อสัตว์และเนื้อสัตว์ปีกที่ทำให้แห้ง  ทำเค็ม  หรือรมควัน,10131-010,แฮม,0.036246,89.306458,98.83141,117.305554,110.37429,82.998012,87.294067,86.552222,86.319704,103.329535,105.638111,109.530027,122.520611,93.835032,99.385026,105.394797,97.098594,98.266723,89.365418,84.102474,85.467136,79.543452,87.402022,89.149508,111.913341,82.5828,85.157111,96.641862,83.011852,86.125938,78.494351,118.697897,123.110211,112.73546,120.843156,129.244269,130.024867,123.525422,123.733028,133.745162,134.19359,126.852651,111.271147,123.348266,131.190227,113.154546,126.332252,133.587381,159.914559,143.43343,127.973722,158.505608,145.091508,139.681302,123.58632,137.869596,140.576775,127.915592,131.783702,147.737789,155.514147,146.79,136.96831,148.631878,122.42096,117.396901,122.617493,4.44696,-0.783927,2559 = 100,สำนักงานเศรษฐกิจอุตสาหกรรม (สศอ.) กระทรวงอุตสาหกรรม,Shipment.xlsx
