ปี,อำเภอ,จำนวนครัวเรือน,จำนวนแปลง,เนื้อที่(ไร่)
2561,เมืองเพชรบูรณ์,15248,44470,314322.39
2561,ชนแดน,8743,19170,282037.54
2561,หล่มสัก,14560,39290,210108.37
2561,หล่มเก่า,8410,23317,213199.92
2561,วิเชียรบุรี,8509,19068,219649
2561,ศรีเทพ,7737,17837,202869.88
2561,หนองไผ่,11686,36187,410938.67
2561,บึงสามพัน,5170,11734,163691.29
2561,น้ำหนาว,2188,7971,100572.53
2561,วังโป่ง,3518,9566,120613.81
2561,เขาค้อ,2483,5521,22978.76
2562,เมืองเพชรบูรณ์,17060,57433,396053.22
2562,ชนแดน,10115,25226,315201.31
2562,หล่มสัก,14746,42883,224504.28
2562,หล่มเก่า,8536,26033,222925.81
2562,วิเชียรบุรี,14195,45624,574409.78
2562,ศรีเทพ,8719,29885,335100.1
2562,หนองไผ่,12405,37605,399196.1
2562,บึงสามพัน,5758,13892,196490.82
2562,น้ำหนาว,2858,9875,134733.23
2562,วังโป่ง,3874,12403,158446.98
2562,เขาค้อ,3124,7491,40836.86
2563,เมืองเพชรบูรณ์,19682,60006,410840.7
2563,ชนแดน,11208,30602,440556.2
2563,หล่มสัก,16972,48589,248373.43
2563,หล่มเก่า,10123,30843,247332.08
2563,วิเชียรบุรี,14235,32908,404510.07
2563,ศรีเทพ,9971,24755,269895.01
2563,หนองไผ่,14056,49255,519096.18
2563,บึงสามพัน,7919,17304,230970.84
2563,น้ำหนาว,3538,11139,134489.98
2563,วังโป่ง,4605,16359,201770.31
2563,เขาค้อ,3614,7666,38711.07
2564,เมืองเพชรบูรณ์,17950,58935,410112.85
2564,ชนแดน,10388,27579,387814.11
2564,หล่มสัก,15534,57969,287295.33
2564,หล่มเก่า,8971,27861,234684.49
2564,วิเชียรบุรี,15420,50280,596011.96
2564,ศรีเทพ,9460,24415,263464.05
2564,หนองไผ่,13166,52853,555884.83
2564,บึงสามพัน,6992,18918,255132.48
2564,น้ำหนาว,2701,9337,108260.47
2564,วังโป่ง,4229,15893,197733.46
2564,เขาค้อ,2646,5722,34055.65
2565,เมืองเพชรบูรณ์,17422,55582,377650.14
2565,ชนแดน,9391,24198,336926.6
2565,หล่มสัก,15224,58803,299359.38
2565,หล่มเก่า,9039,28642,232685.64
2565,วิเชียรบุรี,15153,52655,606608.11
2565,ศรีเทพ,8602,22159,232870.66
2565,หนองไผ่,12143,51226,515810.23
2565,บึงสามพัน,6742,23299,304282.36
2565,น้ำหนาว,3453,15077,187190.97
2565,วังโป่ง,4230,18296,224453.18
2565,เขาค้อ,2269,4955,27068.99
2566,เมืองเพชรบูรณ์,17372,54158,366657.25
2566,ชนแดน,9181,31086,430987.65
2566,หล่มสัก,14612,43339,215269.51
2566,หล่มเก่า,8774,26883,223182.9
2566,วิเชียรบุรี,14748,45174,504398.99
2566,ศรีเทพ,8285,21644,221392.53
2566,หนองไผ่,11400,42904,430544.01
2566,บึงสามพัน,6590,24078,297313.06
2566,น้ำหนาว,3570,12460,147258.53
2566,วังโป่ง,4090,16435,202892.62
2566,เขาค้อ,2412,6033,26786.49
2567,เมืองเพชรบูรณ์,16789,48657,325591.3
2567,ชนแดน,9071,19963,265652.57
2567,หล่มสัก,14134,33643,167393.54
2567,หล่มเก่า,8619,25283,195504.45
2567,วิเชียรบุรี,13570,30450,344954.42
2567,ศรีเทพ,7688,19665,200382.14
2567,หนองไผ่,10905,29387,299453.56
2567,บึงสามพัน,6317,16397,213536.49
2567,น้ำหนาว,2675,7664,94719.14
2567,วังโป่ง,3998,9148,105741.76
2567,เขาค้อ,1598,4399,15816.06
2568,เมืองเพชรบูรณ์,17508,49160,329823.51
2568,ชนแดน,9528,19649,261088.61
2568,หล่มสัก,14580,35478,175263.32
2568,หล่มเก่า,8783,24938,195180.33
2568,วิเชียรบุรี,13507,29377,324499.06
2568,ศรีเทพ,8597,21651,217837.17
2568,หนองไผ่,11364,30064,302393.96
2568,บึงสามพัน,6452,17239,228194.12
2568,น้ำหนาว,3425,11479,143871.87
2568,วังโป่ง,4275,9475,107764.43
2568,เขาค้อ,1825,4630,19426.03
