ลำดับที่,วงเงินช่วยเหลือ,หน่วย,วันที่เกิดภัย,วันที่สิ้นสุดภัย,ที่เกิดภัยธรรมชาติ,ผู้ประสบภัย,ผู้ได้รับการช่วยเหลือ,อยู่ระหว่างดำเนินการ,หน่วยวัด,ที่มา
1,"50,000.00",บาท,25-ม.ค.-67,22-ก.พ.-67,ต.ลำสินธุ์,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
2,"100,060.50",บาท,25-ม.ค.-67,22-ก.พ.-67,ต.แม่ขรี,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
3,"29,000.00",บาท,25-ม.ค.-67,22-ก.พ.-67,ต.แม่ขรี,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
4,"126,630.00",บาท,17-ม.ค.-67,25-ก.พ.-67,ต.โคกชะงาย,28,28,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
5,"1,005.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ควนขนุน,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
6,"6,058.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.พนมวังก์,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
7,"7,980.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.เขาชัยสน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
8,"2,680.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.วังใหม่,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
9,"2,010.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ทุ่งนารี,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
10,"140,640.00",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.โคกทราย,34,34,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
11,"162,839.96",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ลำปำ,26,26,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
12,"64,798.88",บาท,16-พ.ย.-66,17-ธ.ค.-66,ต.ชัยบุรี,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
