ปี,จังหวัด,อำเภอ,รายการ,จำนวนเกษตรกร,พื้นที่ทางการเกษตร,จำนวนเงินที่ช่วยเหลือ,ที่มา
2568,สุราษฎร์ธานี,กาญจนดิษฐ์,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,7,14.5,"34,914.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,ดอนสัก,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,6,29.5,"62,546.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,ท่าฉาง,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,6,17.125,"52,002.50",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,คีรีรัฐนิคม,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,2,3.5,"14,168.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,พระแสง,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,10,28.25,"114,356.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,ไชยา,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,13,11.1,"42,864.80",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,บ้านนาสาร,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,2,1.875,"7,590.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,บ้านนาเดิม,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,10,60,"242,880.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,เคียนซา,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,4,20,"80,960.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,เวียงสระ,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,7,26.75,"108,284.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
2568,สุราษฎร์ธานี,พุนพิน,การให้ความช่วยเหลือเกษตรกรผู้ประสบอุทกภัยด้านพืช,6,4.75,"19,228.00",สำนักงานเกษตรจังหวัดสุราษฎร์ธานี
