ปี,อำเภอ,จำนวน,หน่วย
2564,เมืองฉะเชิงเทรา,6585,ครัวเรือน
2565,เมืองฉะเชิงเทรา,6421,ครัวเรือน
2566,เมืองฉะเชิงเทรา,6011,ครัวเรือน
2567,เมืองฉะเชิงเทรา,5720,ครัวเรือน
2568,เมืองฉะเชิงเทรา,6323,ครัวเรือน
2564,บางคล้า,2897,ครัวเรือน
2565,บางคล้า,2975,ครัวเรือน
2566,บางคล้า,2799,ครัวเรือน
2567,บางคล้า,2574,ครัวเรือน
2568,บางคล้า,2874,ครัวเรือน
2564,บางน้ำเปรี้ยว,8805,ครัวเรือน
2565,บางน้ำเปรี้ยว,9072,ครัวเรือน
2566,บางน้ำเปรี้ยว,8650,ครัวเรือน
2567,บางน้ำเปรี้ยว,8775,ครัวเรือน
2568,บางน้ำเปรี้ยว,8950,ครัวเรือน
2564,บางปะกง,1721,ครัวเรือน
2565,บางปะกง,1641,ครัวเรือน
2566,บางปะกง,1673,ครัวเรือน
2567,บางปะกง,1719,ครัวเรือน
2568,บางปะกง,1651,ครัวเรือน
2564,บ้านโพธิ์,1799,ครัวเรือน
2565,บ้านโพธิ์,1636,ครัวเรือน
2566,บ้านโพธิ์,1525,ครัวเรือน
2567,บ้านโพธิ์,1607,ครัวเรือน
2568,บ้านโพธิ์,1723,ครัวเรือน
2564,พนมสารคาม,4601,ครัวเรือน
2565,พนมสารคาม,5070,ครัวเรือน
2566,พนมสารคาม,4861,ครัวเรือน
2567,พนมสารคาม,4968,ครัวเรือน
2568,พนมสารคาม,5317,ครัวเรือน
2564,ราชสาส์น,1626,ครัวเรือน
2565,ราชสาส์น,1753,ครัวเรือน
2566,ราชสาส์น,1605,ครัวเรือน
2567,ราชสาส์น,1567,ครัวเรือน
2568,ราชสาส์น,1696,ครัวเรือน
2564,สนามชัยเขต,6844,ครัวเรือน
2565,สนามชัยเขต,6651,ครัวเรือน
2566,สนามชัยเขต,6173,ครัวเรือน
2567,สนามชัยเขต,6833,ครัวเรือน
2568,สนามชัยเขต,6908,ครัวเรือน
2564,แปลงยาว,2460,ครัวเรือน
2565,แปลงยาว,2684,ครัวเรือน
2566,แปลงยาว,2466,ครัวเรือน
2567,แปลงยาว,2455,ครัวเรือน
2568,แปลงยาว,2605,ครัวเรือน
2564,ท่าตะเกียบ,5272,ครัวเรือน
2565,ท่าตะเกียบ,5384,ครัวเรือน
2566,ท่าตะเกียบ,5065,ครัวเรือน
2567,ท่าตะเกียบ,4757,ครัวเรือน
2568,ท่าตะเกียบ,5257,ครัวเรือน
2564,คลองเขื่อน,1844,ครัวเรือน
2565,คลองเขื่อน,1933,ครัวเรือน
2566,คลองเขื่อน,1762,ครัวเรือน
2567,คลองเขื่อน,1727,ครัวเรือน
2568,คลองเขื่อน,1759,ครัวเรือน
