ปี,อำเภอ,ครัวเรือนเกษตรกร,หน่วย,ที่มา
2562,เมืองลำพูน,"13,979",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,แม่ทา,"7,620",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,บ้านโฮ่ง,"7,954",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,ลี้,"13,317",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,ทุ่งหัวช้าง,"4,725",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,ป่าซาง,"10,416",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,บ้านธิ,"3,297",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2562,เวียงหนองล่อง,"4,148",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,เมืองลำพูน,"14,580",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,แม่ทา,"8,172",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,บ้านโฮ่ง,"8,563",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,ลี้,"14,275",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,ทุ่งหัวช้าง,"4,876",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,ป่าซาง,"10,767",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,บ้านธิ,"3,565",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2563,เวียงหนองล่อง,"3,614",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,เมืองลำพูน,"13,973",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,แม่ทา,"8,237",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,บ้านโฮ่ง,"8,566",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,ลี้,"14,627",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,ทุ่งหัวช้าง,"5,005",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,ป่าซาง,"10,751",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,บ้านธิ,"3,356",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2564,เวียงหนองล่อง,"3,633",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,เมืองลำพูน,"12,672",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,แม่ทา,"7,939",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,บ้านโฮ่ง,"8,387",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,ลี้,"14,484",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,ทุ่งหัวช้าง,"5,057",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,ป่าซาง,"8,897",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,บ้านธิ,"3,101",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2565,เวียงหนองล่อง,"3,651",ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,เมืองลำพูน,13971,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,แม่ทา,8155,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,บ้านโฮ่ง,8386,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,ลี้,14343,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,ทุ่งหัวช้าง,5033,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,ป่าซาง,10034,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,บ้านธิ,1648,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2566,เวียงหนองล่อง,3600,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,เมืองลำพูน,10300,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,แม่ทา,6840,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,บ้านโฮ่ง,7619,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,ลี้,13541,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,ทุ่งหัวช้าง,4763,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,ป่าซาง,7889,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,บ้านธิ,2746,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2567,เวียงหนองล่อง,3065,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,เมืองลำพูน,10154,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,แม่ทา,6494,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,บ้านโฮ่ง,7351,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,ลี้,13081,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,ทุ่งหัวช้าง,4591,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,ป่าซาง,7998,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,บ้านธิ,2643,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
2568,เวียงหนองล่อง,2857,ครัวเรือน,สำนักงานเกษตรจังหวัดลำพูน
