ปี,รายการ,จังหวัด,อำเภอ, ค่าของข้อมูล ,หน่วย,ที่มา
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"1,799",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"1,636",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,345,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"2,424",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,629,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"2,748",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"3,880",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2559,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"2,176",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"2,226",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"2,523",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,384,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"2,766",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,613,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"2,717",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"4,208",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2560,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"2,025",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"2,390",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"2,795",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,504,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"3,282",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,821,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"3,202",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"5,048",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2561,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"2,630",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"3,130",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"3,932",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,739,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"3,534",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,"1,002",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"3,591",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"5,679",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2562,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"2,551",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"3,498",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"4,528",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,799,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"4,463",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,"1,138",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"3,485",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"6,433",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2563,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"3,170",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"3,411",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"3,118",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,824,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"4,470",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,"1,164",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"3,471",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"6,246",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2564,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"2,970",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"3,417",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"3,302",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,929,ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"4,735",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,"1,179",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"3,176",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"6,119",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2565,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก,"2,513",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร,"4,064",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ,"5,298",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว,"1,136",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน,"6,223",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม,"1,330",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ,"3,823",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี,"6,599",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2566,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก," 3,301 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,เมืองชุมพร," 4,404 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ท่าแซะ," 5,394 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ปะทิว," 1,040 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,หลังสวน," 5,394 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ละแม," 1,416 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,พะโต๊ะ," 3,818 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,สวี," 6,702 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
2567,จำนวนครัวเรือนที่เพาะปลูกทุเรียน,ชุมพร,ทุ่งตะโก," 3,190 ",ครัวเรือน,สำนักงานเกษตรจังหวัดชุมพร
,,,,,,
,,,,,,
,,,,,,
,,,,,,
