,,,,,,,
ข้อมูลพื้นฐานครัวเรือนเกษตรกร,,,,,,,
จำนวนครัวเรือนเกษตรกร จำแนกตามที่อยู่ทะเบียนบ้าน รายจังหวัด ปี 2559,,,,,,,
ลำดับที่,จังหวัด,ครัวเรือนเกษตรกร,,,,,
ประเทศไทย,," 6,813,995 ",,,,,
1,กรุงเทพมหานคร," 30,342 ",,,,,
2,กระบี่," 53,244 ",,,,,
3,กาญจนบุรี," 73,934 ",,,,,
4,กาฬสินธุ์," 161,117 ",,,,,
5,กำแพงเพชร," 92,528 ",,,,,
6,ขอนแก่น," 225,901 ",,,,,
7,จันทบุรี," 45,689 ",,,,,
8,ฉะเชิงเทรา," 46,755 ",,,,,
9,ชลบุรี," 37,257 ",,,,,
10,ชัยนาท," 36,880 ",,,,,
11,ชัยภูมิ," 179,769 ",,,,,
12,ชุมพร," 85,413 ",,,,,
13,เชียงราย," 152,754 ",,,,,
14,เชียงใหม่," 173,091 ",,,,,
15,ตรัง," 78,247 ",,,,,
16,ตราด," 18,100 ",,,,,
17,ตาก," 63,518 ",,,,,
18,นครนายก," 22,272 ",,,,,
19,นครปฐม," 49,020 ",,,,,
20,นครพนม," 124,094 ",,,,,
21,นครราชสีมา," 284,304 ",,,,,
22,นครศรีธรรมราช," 196,079 ",,,,,
23,นครสวรรค์," 122,091 ",,,,,
24,นนทบุรี," 15,990 ",,,,,
25,นราธิวาส," 84,781 ",,,,,
26,น่าน," 84,883 ",,,,,
27,บึงกาฬ," 62,803 ",,,,,
28,บุรีรัมย์," 217,141 ",,,,,
29,ปทุมธานี," 23,252 ",,,,,
30,ประจวบคีรีขันธ์," 43,762 ",,,,,
31,ปราจีนบุรี," 37,409 ",,,,,
32,ปัตตานี," 90,736 ",,,,,
33,พระนครศรีอยุธยา," 36,438 ",,,,,
34,พะเยา," 76,035 ",,,,,
35,พังงา," 36,168 ",,,,,
36,พัทลุง," 84,474 ",,,,,
37,พิจิตร," 74,071 ",,,,,
38,พิษณุโลก," 90,194 ",,,,,
39,เพชรบุรี," 30,918 ",,,,,
40,เพชรบูรณ์," 110,855 ",,,,,
41,แพร่," 70,115 ",,,,,
42,ภูเก็ต," 7,902 ",,,,,
43,มหาสารคาม," 164,536 ",,,,,
44,มุกดาหาร," 59,464 ",,,,,
45,แม่ฮ่องสอน," 43,873 ",,,,,
46,ยโสธร," 92,389 ",,,,,
47,ยะลา," 59,841 ",,,,,
48,ร้อยเอ็ด," 219,661 ",,,,,
49,ระนอง," 23,870 ",,,,,
50,ระยอง," 33,432 ",,,,,
51,ราชบุรี," 55,137 ",,,,,
52,ลพบุรี," 63,624 ",,,,,
53,ลำปาง," 124,627 ",,,,,
54,ลำพูน," 60,286 ",,,,,
55,เลย," 100,614 ",,,,,
56,ศรีสะเกษ," 233,191 ",,,,,
57,สกลนคร," 192,710 ",,,,,
58,สงขลา," 133,375 ",,,,,
59,สตูล," 44,140 ",,,,,
60,สมุทรปราการ," 13,746 ",,,,,
61,สมุทรสงคราม," 11,458 ",,,,,
62,สมุทรสาคร," 10,871 ",,,,,
63,สระแก้ว," 57,835 ",,,,,
64,สระบุรี," 29,500 ",,,,,
65,สิงห์บุรี," 20,488 ",,,,,
66,สุโขทัย," 91,260 ",,,,,
67,สุพรรณบุรี," 77,613 ",,,,,
68,สุราษฎร์ธานี," 134,766 ",,,,,
69,สุรินทร์," 201,904 ",,,,,
70,หนองคาย," 59,305 ",,,,,
71,หนองบัวลำภู," 70,302 ",,,,,
72,อ่างทอง," 32,349 ",,,,,
73,อำนาจเจริญ," 69,339 ",,,,,
74,อุดรธานี," 197,456 ",,,,,
75,อุตรดิตถ์," 62,907 ",,,,,
76,อุทัยธานี," 48,474 ",,,,,
77,อุบลราชธานี," 289,326 ",,,,,
หมายเหตุ :,ที่มา หนังสือ Farmer Map 2559,,,,,,
,อ้างอิง ฐานข้อมูลทะเบียนเกษตรกร ณ วันที่ 30 เมษายน 2560,,,,,,
,ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร กรมส่งเสริมการเกษตร,,,,,,
,http://www.aiu.doae.go.th,,,,,,
