,,
ข้อมูลพื้นฐานครัวเรือนเกษตรกร,,
จำนวนครัวเรือนเกษตรกร จำแนกตามที่อยู่ทะเบียนบ้าน รายจังหวัด ปี 2560,,
ลำดับที่,จังหวัด,ครัวเรือนเกษตรกร
ประเทศไทย,," 7,010,191 "
1,กรุงเทพมหานคร," 32,768 "
2,กระบี่," 53,347 "
3,กาญจนบุรี," 76,472 "
4,กาฬสินธุ์," 168,018 "
5,กำแพงเพชร," 95,679 "
6,ขอนแก่น," 235,522 "
7,จันทบุรี," 48,257 "
8,ฉะเชิงเทรา," 48,665 "
9,ชลบุรี," 39,276 "
10,ชัยนาท," 38,431 "
11,ชัยภูมิ," 186,662 "
12,ชุมพร," 87,371 "
13,เชียงราย," 161,526 "
14,เชียงใหม่," 177,980 "
15,ตรัง," 78,153 "
16,ตราด," 18,095 "
17,ตาก," 65,697 "
18,นครนายก," 23,170 "
19,นครปฐม," 49,640 "
20,นครพนม," 126,031 "
21,นครราชสีมา," 295,203 "
22,นครศรีธรรมราช," 201,643 "
23,นครสวรรค์," 128,374 "
24,นนทบุรี," 16,734 "
25,นราธิวาส," 71,542 "
26,น่าน," 86,847 "
27,บึงกาฬ," 63,372 "
28,บุรีรัมย์," 224,384 "
29,ปทุมธานี," 24,401 "
30,ประจวบคีรีขันธ์," 43,523 "
31,ปราจีนบุรี," 39,134 "
32,ปัตตานี," 91,601 "
33,พระนครศรีอยุธยา," 39,012 "
34,พะเยา," 78,912 "
35,พังงา," 36,294 "
36,พัทลุง," 86,569 "
37,พิจิตร," 77,380 "
38,พิษณุโลก," 94,354 "
39,เพชรบุรี," 33,334 "
40,เพชรบูรณ์," 116,588 "
41,แพร่," 71,848 "
42,ภูเก็ต," 8,073 "
43,มหาสารคาม," 170,237 "
44,มุกดาหาร," 59,885 "
45,แม่ฮ่องสอน," 44,028 "
46,ยโสธร," 95,843 "
47,ยะลา," 57,994 "
48,ร้อยเอ็ด," 227,708 "
49,ระนอง," 24,170 "
50,ระยอง," 34,489 "
51,ราชบุรี," 56,827 "
52,ลพบุรี," 66,748 "
53,ลำปาง," 124,676 "
54,ลำพูน," 62,512 "
55,เลย," 101,986 "
56,ศรีสะเกษ," 237,685 "
57,สกลนคร," 198,972 "
58,สงขลา," 134,832 "
59,สตูล," 44,854 "
60,สมุทรปราการ," 14,695 "
61,สมุทรสงคราม," 11,328 "
62,สมุทรสาคร," 11,721 "
63,สระแก้ว," 60,348 "
64,สระบุรี," 31,175 "
65,สิงห์บุรี," 21,507 "
66,สุโขทัย," 93,420 "
67,สุพรรณบุรี," 81,269 "
68,สุราษฎร์ธานี," 137,064 "
69,สุรินทร์," 208,380 "
70,หนองคาย," 61,532 "
71,หนองบัวลำภู," 72,258 "
72,อ่างทอง," 32,950 "
73,อำนาจเจริญ," 70,894 "
74,อุดรธานี," 202,588 "
75,อุตรดิตถ์," 64,392 "
76,อุทัยธานี," 51,529 "
77,อุบลราชธานี," 299,813 "
หมายเหตุ :,ที่มา หนังสือ Farmer Map 2560 ,
,อ้างอิง ฐานข้อมูลทะเบียนเกษตรกร ณ วันที่ 30 เมษายน 2561,
,ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร กรมส่งเสริมการเกษตร,
,http://www.aiu.doae.go.th,
