,,
ข้อมูลพื้นฐานครัวเรือนเกษตรกร,,
จำนวนครัวเรือนเกษตรกร จำแนกตามที่อยู่ทะเบียนบ้าน รายจังหวัด ปี 2561 ,,
ลำดับที่,จังหวัด,ครัวเรือนเกษตรกร
ประเทศไทย,," 7,271,759 "
1,กรุงเทพมหานคร," 38,720 "
2,กระบี่," 57,626 "
3,กาญจนบุรี," 78,260 "
4,กาฬสินธุ์," 172,577 "
5,กำแพงเพชร," 98,129 "
6,ขอนแก่น," 244,060 "
7,จันทบุรี," 49,737 "
8,ฉะเชิงเทรา," 50,302 "
9,ชลบุรี," 43,188 "
10,ชัยนาท," 40,040 "
11,ชัยภูมิ," 192,416 "
12,ชุมพร," 93,254 "
13,เชียงราย," 167,903 "
14,เชียงใหม่," 180,459 "
15,ตรัง," 82,202 "
16,ตราด," 18,744 "
17,ตาก," 67,446 "
18,นครนายก," 24,421 "
19,นครปฐม," 50,758 "
20,นครพนม," 129,499 "
21,นครราชสีมา," 307,510 "
22,นครศรีธรรมราช," 215,131 "
23,นครสวรรค์," 134,001 "
24,นนทบุรี," 18,590 "
25,นราธิวาส," 72,361 "
26,น่าน," 88,280 "
27,บึงกาฬ," 64,887 "
28,บุรีรัมย์," 232,305 "
29,ปทุมธานี," 26,273 "
30,ประจวบคีรีขันธ์," 46,670 "
31,ปราจีนบุรี," 41,406 "
32,ปัตตานี," 92,356 "
33,พระนครศรีอยุธยา," 42,191 "
34,พะเยา," 80,997 "
35,พังงา," 37,417 "
36,พัทลุง," 89,805 "
37,พิจิตร," 80,737 "
38,พิษณุโลก," 98,832 "
39,เพชรบุรี," 36,320 "
40,เพชรบูรณ์," 121,480 "
41,แพร่," 73,292 "
42,ภูเก็ต," 9,247 "
43,มหาสารคาม," 175,152 "
44,มุกดาหาร," 61,295 "
45,แม่ฮ่องสอน," 45,688 "
46,ยโสธร," 98,691 "
47,ยะลา," 59,652 "
48,ร้อยเอ็ด," 235,092 "
49,ระนอง," 24,944 "
50,ระยอง," 35,914 "
51,ราชบุรี," 59,328 "
52,ลพบุรี," 70,108 "
53,ลำปาง," 126,289 "
54,ลำพูน," 64,209 "
55,เลย," 103,509 "
56,ศรีสะเกษ," 244,002 "
57,สกลนคร," 205,007 "
58,สงขลา," 140,362 "
59,สตูล," 45,334 "
60,สมุทรปราการ," 16,251 "
61,สมุทรสงคราม," 11,692 "
62,สมุทรสาคร," 12,047 "
63,สระแก้ว," 62,984 "
64,สระบุรี," 32,671 "
65,สิงห์บุรี," 22,529 "
66,สุโขทัย," 95,798 "
67,สุพรรณบุรี," 85,677 "
68,สุราษฎร์ธานี," 145,503 "
69,สุรินทร์," 215,416 "
70,หนองคาย," 64,560 "
71,หนองบัวลำภู," 74,176 "
72,อ่างทอง," 33,447 "
73,อำนาจเจริญ," 73,038 "
74,อุดรธานี," 210,034 "
75,อุตรดิตถ์," 66,382 "
76,อุทัยธานี," 53,519 "
77,อุบลราชธานี," 311,630 "
หมายเหตุ :,ที่มา หนังสือ Farmer Map 2561 ,
,อ้างอิง ฐานข้อมูลทะเบียนเกษตรกร ณ วันที่ 30 เมษายน 2562,
,ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร กรมส่งเสริมการเกษตร,
,http://www.aiu.doae.go.th,
