ปี,อำเภอ,ประเภทผลิตภัณฑ์,จำนวน
2564,เมืองหนองคาย,ด้านพืช,14
2564,เมืองหนองคาย,ด้านปศุสัตว์,1
2564,เมืองหนองคาย,ด้านประมง,1
2564,ท่าบ่อ,ด้านพืช,0
2564,ท่าบ่อ,ด้านปศุสัตว์,2
2564,ท่าบ่อ,ด้านประมง,2
2564,โพนพิสัย,ด้านพืช,1
2564,โพนพิสัย,ด้านปศุสัตว์,0
2564,โพนพิสัย,ด้านประมง,2
2564,ศรีเชียงใหม่,ด้านพืช,4
2564,ศรีเชียงใหม่,ด้านปศุสัตว์,0
2564,ศรีเชียงใหม่,ด้านประมง,1
2564,สังคม,ด้านพืช,7
2564,สังคม,ด้านปศุสัตว์,0
2564,สังคม,ด้านประมง,0
2564,สระใคร,ด้านพืช,12
2564,สระใคร,ด้านปศุสัตว์,2
2564,สระใคร,ด้านประมง,2
2564,เฝ้าไร่,ด้านพืช,0
2564,เฝ้าไร่,ด้านปศุสัตว์,0
2564,เฝ้าไร่,ด้านประมง,0
2564,รัตนวาปี,ด้านพืช,3
2564,รัตนวาปี,ด้านปศุสัตว์,0
2564,รัตนวาปี,ด้านประมง,0
2564,โพธิ์ตาก,ด้านพืช,3
2564,โพธิ์ตาก,ด้านปศุสัตว์,0
2564,โพธิ์ตาก,ด้านประมง,0
2565,เมืองหนองคาย,ด้านพืช,21
2565,เมืองหนองคาย,ด้านปศุสัตว์,1
2565,เมืองหนองคาย,ด้านประมง,2
2565,ท่าบ่อ,ด้านพืช,0
2565,ท่าบ่อ,ด้านปศุสัตว์,2
2565,ท่าบ่อ,ด้านประมง,2
2565,โพนพิสัย,ด้านพืช,1
2565,โพนพิสัย,ด้านปศุสัตว์,0
2565,โพนพิสัย,ด้านประมง,2
2565,ศรีเชียงใหม่,ด้านพืช,4
2565,ศรีเชียงใหม่,ด้านปศุสัตว์,0
2565,ศรีเชียงใหม่,ด้านประมง,1
2565,สังคม,ด้านพืช,7
2565,สังคม,ด้านปศุสัตว์,0
2565,สังคม,ด้านประมง,0
2565,สระใคร,ด้านพืช,12
2565,สระใคร,ด้านปศุสัตว์,2
2565,สระใคร,ด้านประมง,2
2565,เฝ้าไร่,ด้านพืช,0
2565,เฝ้าไร่,ด้านปศุสัตว์,0
2565,เฝ้าไร่,ด้านประมง,0
2565,รัตนวาปี,ด้านพืช,3
2565,รัตนวาปี,ด้านปศุสัตว์,0
2565,รัตนวาปี,ด้านประมง,0
2565,โพธิ์ตาก,ด้านพืช,3
2565,โพธิ์ตาก,ด้านปศุสัตว์,0
2565,โพธิ์ตาก,ด้านประมง,0
2566,เมืองหนองคาย,ด้านพืช,21
2566,เมืองหนองคาย,ด้านปศุสัตว์,2
2566,เมืองหนองคาย,ด้านประมง,2
2566,ท่าบ่อ,ด้านพืช,0
2566,ท่าบ่อ,ด้านปศุสัตว์,2
2566,ท่าบ่อ,ด้านประมง,2
2566,โพนพิสัย,ด้านพืช,1
2566,โพนพิสัย,ด้านปศุสัตว์,0
2566,โพนพิสัย,ด้านประมง,2
2566,ศรีเชียงใหม่,ด้านพืช,4
2566,ศรีเชียงใหม่,ด้านปศุสัตว์,0
2566,ศรีเชียงใหม่,ด้านประมง,1
2566,สังคม,ด้านพืช,7
2566,สังคม,ด้านปศุสัตว์,0
2566,สังคม,ด้านประมง,0
2566,สระใคร,ด้านพืช,12
2566,สระใคร,ด้านปศุสัตว์,2
2566,สระใคร,ด้านประมง,2
2566,เฝ้าไร่,ด้านพืช,0
2566,เฝ้าไร่,ด้านปศุสัตว์,0
2566,เฝ้าไร่,ด้านประมง,0
2566,รัตนวาปี,ด้านพืช,3
2566,รัตนวาปี,ด้านปศุสัตว์,0
2566,รัตนวาปี,ด้านประมง,0
2566,โพธิ์ตาก,ด้านพืช,3
2566,โพธิ์ตาก,ด้านปศุสัตว์,0
2566,โพธิ์ตาก,ด้านประมง,0
2567,เมืองหนองคาย,ด้านพืช,21
2567,เมืองหนองคาย,ด้านปศุสัตว์,2
2567,เมืองหนองคาย,ด้านประมง,2
2567,ท่าบ่อ,ด้านพืช,0
2567,ท่าบ่อ,ด้านปศุสัตว์,2
2567,ท่าบ่อ,ด้านประมง,2
2567,โพนพิสัย,ด้านพืช,1
2567,โพนพิสัย,ด้านปศุสัตว์,0
2567,โพนพิสัย,ด้านประมง,2
2567,ศรีเชียงใหม่,ด้านพืช,4
2567,ศรีเชียงใหม่,ด้านปศุสัตว์,0
2567,ศรีเชียงใหม่,ด้านประมง,1
2567,สังคม,ด้านพืช,7
2567,สังคม,ด้านปศุสัตว์,0
2567,สังคม,ด้านประมง,0
2567,สระใคร,ด้านพืช,12
2567,สระใคร,ด้านปศุสัตว์,2
2567,สระใคร,ด้านประมง,2
