รายการข้อมูล,จังหวัด,อำเภอ,พ.ศ,จำนวน,หน่วยนับ,ที่มา
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,เมือง,2566,14,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ท่าม่วง,2566,6,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ท่ามะกา,2566,4,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ด่านมะขามเตี้ย,2566,4,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,พนมทวน,2566,6,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ห้วยกระเจา,2566,4,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,เลาขวัญ,2566,5,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,บ่อพลอย,2566,6,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,หนองปรือ,2566,3,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ศรีสวัสดิ์,2566,3,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ไทรโยค,2566,4,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,ทองผาภูมิ,2566,6,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
ศูนย์จัดการศัตรูพืชชุมชน,กาญจนบุรี,สังขละบุรี,2566,2,ศูนย์,กลุ่มอารักขาพืช สำนักงานเกษตรจังหวัดกาญจนบุรี
,,,,,,
