year,Province,Amphone,Age range,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,31,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,226,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,443,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,746,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1139,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1157,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,26,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,282,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,584,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1020,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1417,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1261,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,10,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,142,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,313,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,588,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,815,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,680,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,11,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,87,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,167,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,409,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,702,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,990,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,5,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,58,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
