year,Province,Amphone,type,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1802,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,28,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,2798,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,42,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1444,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,17,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1713,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,4,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,230,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,652,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,4,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,3044,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
