year,Province,Amphone,type,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1822,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1249,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,76,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,2814,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1913,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,437,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1449,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,902,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,363,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,954,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
