year,Province,Amphone,district,Item,  Value ,Unit,Source
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรผู้ปลูกข้าว,1,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรผู้ปลูกข้าว,299,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรผู้ปลูกข้าว,316,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรผู้ปลูกข้าว,80,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรผู้ปลูกข้าว,474,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ต้นโพธิ์,จำนวนเกษตรกรผู้ปลูกข้าว,150,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.จักรสีห์,จำนวนเกษตรกรผู้ปลูกข้าว,189,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางกระบือ,จำนวนเกษตรกรผู้ปลูกข้าว,402,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สิงห์,จำนวนเกษตรกรผู้ปลูกข้าว,371,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.ไม้ดัด,จำนวนเกษตรกรผู้ปลูกข้าว,458,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.เชิงกลัด,จำนวนเกษตรกรผู้ปลูกข้าว,453,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.โพชนไก่,จำนวนเกษตรกรผู้ปลูกข้าว,423,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.แม่ลา,จำนวนเกษตรกรผู้ปลูกข้าว,344,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.บ้านจ่า,จำนวนเกษตรกรผู้ปลูกข้าว,368,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.พักทัน,จำนวนเกษตรกรผู้ปลูกข้าว,655,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สระแจง,จำนวนเกษตรกรผู้ปลูกข้าว,475,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพทะเล,จำนวนเกษตรกรผู้ปลูกข้าว,448,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.บางระจัน,จำนวนเกษตรกรผู้ปลูกข้าว,424,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพสังโฆ,จำนวนเกษตรกรผู้ปลูกข้าว,289,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.ท่าข้าม,จำนวนเกษตรกรผู้ปลูกข้าว,128,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.คอทราย,จำนวนเกษตรกรผู้ปลูกข้าว,345,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.หนองกระทุ่ม,จำนวนเกษตรกรผู้ปลูกข้าว,226,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
