year,Province,Amphone,district,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,ค่ายบางระจัน,คอทราย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,379,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ค่ายบางระจัน,โพทะเล,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,512,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ค่ายบางระจัน,บางระจัน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,421,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ค่ายบางระจัน,ท่าข้าม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,116,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ค่ายบางระจัน,โพสังโฆ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,282,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ค่ายบางระจัน,หนองกระทุ่ม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,290,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ท่าช้าง,ถอนสมอ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,196,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ท่าช้าง,โพประจักษ์,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,380,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ท่าช้าง,วิหารขาว,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,161,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,ท่าช้าง,พิกุลทอง,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,178,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,สิงห์,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,385,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,ไม้ดัด,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,535,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,เชิงกลัด,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,460,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,โพชนไก่,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,382,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,แม่ลา,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,332,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,บ้านจ่า,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,421,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,พักทัน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,707,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,บางระจัน,สระแจง,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,478,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,พระงาม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,178,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,พรหมบุรี,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,97,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,บางน้ำเชี่ยว,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,126,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,บ้านหม้อ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,316,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,บ้านแป้ง,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,140,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,หัวป่า,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,99,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,พรหมบุรี,โรงช้าง,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,76,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,บางมัญ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,319,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,โพกรวม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,236,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,ม่วงหมู่,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,85,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,หัวไผ่,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,479,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,ต้นโพธิ์,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,184,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,จักรสีห์,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,206,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,เมืองสิงห์บุรี,บางกระบือ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,449,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,อินทร์บุรี,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,150,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,ประศุก,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,424,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,ทับยา,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,443,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,งิ้วราย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,587,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,ชีน้ำร้าย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,558,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,ท่างาม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,381,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,น้ำตาล,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,474,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,ทองเอน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,833,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,ห้วยชัน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,963,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อินทร์บุรี,โพธิ์ชัย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,599,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ค่ายบางระจัน,คอทราย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,393,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ค่ายบางระจัน,โพทะเล,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,515,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ค่ายบางระจัน,บางระจัน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,456,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ค่ายบางระจัน,ท่าข้าม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,121,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ค่ายบางระจัน,โพสังโฆ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,306,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ค่ายบางระจัน,หนองกระทุ่ม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,296,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ท่าช้าง,ถอนสมอ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,197,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ท่าช้าง,โพประจักษ์,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,381,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ท่าช้าง,วิหารขาว,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,160,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,ท่าช้าง,พิกุลทอง,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,177,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,บางระจัน,สิงห์,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,393,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,บางระจัน,ไม้ดัด,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,566,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,บางระจัน,เชิงกลัด,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,463,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
