year,Province,Amphone,district,Item,Value,Unit,Source
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรในพืนที่,123,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรในพืนที่,409,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรในพืนที่,384,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรในพืนที่,384,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรในพืนที่,760,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ต้นโพธิ์,จำนวนเกษตรกรในพืนที่,594,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.จักรสีห์,จำนวนเกษตรกรในพืนที่,329,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางกระบือ,จำนวนเกษตรกรในพืนที่,522,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สิงห์,จำนวนเกษตรกรในพืนที่,384,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.ไม้ดัด,จำนวนเกษตรกรในพืนที่,744,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.เชิงกลัด,จำนวนเกษตรกรในพืนที่,588,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.โพชนไก่,จำนวนเกษตรกรในพืนที่,529,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.แม่ลา,จำนวนเกษตรกรในพืนที่,261,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.บ้านจ่า,จำนวนเกษตรกรในพืนที่,490,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.พักทัน,จำนวนเกษตรกรในพืนที่,700,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2560,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สระแจง,จำนวนเกษตรกรในพืนที่,626,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
