year,Province,Amphone,Age range,Item,Value,Unit,Source
2565,จังหวัดสิงห์บุรี,จังหวัดสิงห์บุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,18.5,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,จังหวัดสิงห์บุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,50.6,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,จังหวัดสิงห์บุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,30.9,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,18.6,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,50.4,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,31,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,19.4,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,53.1,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอบางระจัน,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,27.5,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,18.3,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,55,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,26.7,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,11.3,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2565,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,46.9,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
