ปี,อำเภอ,มะพร้าว,สับปะรด,หน่วยวัด,ที่มา
2562,หัวหิน,466 ,"1,565 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,ปราณบุรี,643 ,536 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,สามร้อยยอด,"1,084 ",330 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,กุยบุรี,"1,939 ",865 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,เมืองประจวบคีรีขันธ์,"2,723 ","1,107 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,ทับสะแก,"3,681 ",50 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,บางสะพาน,"4,356 ",349 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2562,บางสะพานน้อย,"2,122 ",13 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,หัวหิน,611 ,"1,599 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,ปราณบุรี,766 ,799 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,สามร้อยยอด,"1,558 ",864 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,กุยบุรี,"2,319 ","1,344 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,เมืองประจวบคีรีขันธ์,"3,469 ","1,891 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,ทับสะแก,"5,475 ",41 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,บางสะพาน,"6,201 ",380 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2563,บางสะพานน้อย,"2,353 ",7 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2564,หัวหิน,474 ,"1,092 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2564,ปราณบุรี,526 ,532 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2564,สามร้อยยอด,"1,356 ",884 ,คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
2564,กุยบุรี,"1,852 ","1,125 ",คน,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์
