จังหวัด, ครัวเรือน , เนื้อที่ (ไร่) 
 กรุงเทพมหานคร," 3,262 "," 75,891.92 "
ชัยนาท," 30,763 "," 669,457.00 "
นนทบุรี," 4,237 "," 72,694.08 "
ปทุมธานี," 10,987 "," 226,648.69 "
พระนครศรีอยุธยา," 32,904 "," 744,557.73 "
ลพบุรี," 39,147 "," 735,471.68 "
สระบุรี," 13,984 "," 298,148.05 "
สิงห์บุรี," 14,176 "," 284,847.96 "
อ่างทอง," 14,674 "," 276,773.85 "
กาญจนบุรี," 28,734 "," 341,681.71 "
นครปฐม," 13,291 "," 229,255.48 "
ประจวบคีรีขันธ์," 1,404 "," 17,783.77 "
เพชรบุรี," 17,272 "," 260,397.46 "
ราชบุรี," 15,233 "," 200,168.30 "
สมุทรสงคราม, 96 ," 1,647.75 "
สมุทรสาคร, 176 ," 3,391.37 "
สุพรรณบุรี," 60,873 "," 1,119,199.73 "
จันทบุรี, 880 ," 8,752.29 "
ฉะเชิงเทรา," 25,990 "," 501,538.90 "
ชลบุรี," 3,963 "," 54,946.58 "
ตราด, 579 ," 8,628.35 "
นครนายก," 14,239 "," 317,945.64 "
ปราจีนบุรี," 21,934 "," 390,944.21 "
ระยอง, 621 ," 6,096.18 "
สมุทรปราการ, 875 ," 17,344.78 "
สระแก้ว," 44,979 "," 697,419.89 "
กาฬสินธุ์," 150,694 "," 1,507,015.64 "
ขอนแก่น," 212,830 "," 2,315,390.92 "
ชัยภูมิ," 144,140 "," 1,625,702.24 "
นครพนม," 120,119 "," 1,422,206.48 "
นครราชสีมา," 243,147 "," 3,347,314.90 "
บึงกาฬ," 44,561 "," 458,780.48 "
บุรีรัมย์," 207,417 "," 2,839,962.94 "
มหาสารคาม," 168,644 "," 2,121,880.63 "
มุกดาหาร," 52,255 "," 418,027.51 "
ยโสธร," 100,466 "," 1,305,411.67 "
ร้อยเอ็ด," 233,752 "," 3,013,286.05 "
เลย," 57,893 "," 373,958.45 "
ศรีสะเกษ," 237,988 "," 2,980,082.82 "
สกลนคร," 182,078 "," 2,073,065.31 "
สุรินทร์," 216,332 "," 3,039,949.89 "
หนองคาย," 50,246 "," 548,398.92 "
หนองบัวลำภู," 62,156 "," 667,207.26 "
อำนาจเจริญ," 76,581 "," 1,045,556.41 "
อุดรธานี," 165,400 "," 1,827,144.57 "
อุบลราชธานี," 301,966 "," 4,078,243.80 "
กระบี่, 539 ," 4,358.81 "
ชุมพร, 231 ," 1,588.47 "
ตรัง," 1,729 "," 9,100.44 "
นครศรีธรรมราช," 11,648 "," 140,136.92 "
นราธิวาส," 4,516 "," 20,526.88 "
ปัตตานี," 13,785 "," 58,127.17 "
พังงา, 184 ," 1,292.06 "
พัทลุง," 13,090 "," 105,782.79 "
ภูเก็ต, 7 , 25.61 
ยะลา," 3,190 "," 13,705.68 "
ระนอง, 54 , 454.30 
สงขลา," 14,619 "," 153,975.20 "
สตูล," 3,127 "," 14,023.00 "
สุราษฎร์ธานี," 1,289 "," 12,985.08 "
กำแพงเพชร," 61,227 "," 1,246,726.82 "
เชียงราย," 116,574 "," 1,209,335.39 "
เชียงใหม่," 70,163 "," 506,042.32 "
ตาก," 38,271 "," 352,715.12 "
นครสวรรค์," 101,501 "," 2,359,031.99 "
น่าน," 53,547 "," 326,463.97 "
พะเยา," 62,248 "," 603,911.13 "
พิจิตร," 74,230 "," 1,733,546.77 "
พิษณุโลก," 79,313 "," 1,415,303.38 "
เพชรบูรณ์," 77,751 "," 1,131,072.26 "
แพร่," 40,133 "," 278,416.73 "
แม่ฮ่องสอน," 28,861 "," 204,946.43 "
ลำปาง," 73,878 "," 421,515.45 "
ลำพูน," 17,160 "," 94,738.87 "
สุโขทัย," 67,616 "," 1,137,252.75 "
อุตรดิตถ์," 46,711 "," 620,773.35 "
อุทัยธานี," 30,908 "," 543,155.66 "
