จำนวนครัวเรือนเกษตรกรที่เข้าร่วมโครงการภาครัฐ 2566,,
โครงการสนับสนุนค่าบริการจัดการและพัฒนาคุณภาพผลผลิตเกษตรกรผู้ปลูกข้าว ปีการผลิต 2566/67,,
,,
จังหวัด,ครัวเรือน,เนื้อที่ (ไร่)
รวมทั้งประเทศ,"4,528,090","59,538,044.08"
อุบลราชธานี,"303,251","4,105,077.93"
นครราชสีมา,"248,901","3,461,634.14"
ศรีสะเกษ,"237,591","2,964,036.32"
ร้อยเอ็ด,"236,176","3,046,324.33"
ขอนแก่น,"218,528","2,397,934.49"
สุรินทร์,"217,651","3,069,255.86"
บุรีรัมย์,"210,457","2,887,530.35"
สกลนคร,"184,767","2,104,610.91"
อุดรธานี,"174,369","1,980,035.75"
มหาสารคาม,"170,042","2,150,070.83"
กาฬสินธุ์,"151,817","1,515,950.71"
ชัยภูมิ,"150,764","1,711,228.52"
นครพนม,"121,152","1,441,774.08"
เชียงราย,"119,560","1,227,207.98"
ยโสธร,"101,596","1,333,800.95"
นครสวรรค์,"99,599","2,329,341.13"
เพชรบูรณ์,"79,017","1,116,099.89"
พิษณุโลก,"78,912","1,387,144.21"
อำนาจเจริญ,"77,301","1,064,696.29"
ลำปาง,"74,374","416,621.83"
พิจิตร,"72,912","1,695,400.46"
เชียงใหม่,"70,703","496,133.97"
สุโขทัย,"65,873","1,083,383.69"
หนองบัวลำภู,"64,096","711,430.69"
พะเยา,"63,420","616,605.16"
เลย,"61,973","398,462.20"
สุพรรณบุรี,"60,483","1,095,362.54"
กำแพงเพชร,"58,656","1,207,939.12"
น่าน,"53,945","316,321.95"
มุกดาหาร,"53,055","429,839.92"
หนองคาย,"52,052","570,560.23"
อุตรดิตถ์,"46,206","605,238.90"
สระแก้ว,"45,994","714,012.56"
บึงกาฬ,"44,999","463,667.91"
แพร่,"41,228","280,461.94"
ลพบุรี,"39,140","739,532.87"
ตาก,"36,086","337,109.69"
พระนครศรีอยุธยา,"32,408","746,150.06"
ชัยนาท,"30,377","671,508.32"
กาญจนบุรี,"28,846","344,154.57"
ฉะเชิงเทรา,"26,076","500,509.78"
แม่ฮ่องสอน,"25,361","158,108.56"
อุทัยธานี,"24,945","524,024.27"
ปราจีนบุรี,"22,399","400,933.04"
ลำพูน,"17,141","94,034.56"
เพชรบุรี,"17,091","255,984.83"
ราชบุรี,"15,101","198,963.67"
อ่างทอง,"14,416","261,349.57"
สิงห์บุรี,"14,190","271,122.36"
นครนายก,"14,126","324,338.16"
สระบุรี,"13,808","295,965.57"
นครปฐม,"13,223","229,894.96"
พัทลุง,"12,432","84,584.03"
ปทุมธานี,"10,999","228,506.28"
นครศรีธรรมราช,"9,082","96,156.96"
สงขลา,"7,056","69,159.23"
นนทบุรี,"4,180","72,192.17"
ชลบุรี,"4,130","57,809.69"
กรุงเทพมหานคร,"3,197","74,301.47"
สตูล,"3,065","12,831.28"
ตรัง,"1,695","8,738.69"
สุราษฎร์ธานี,"1,361","13,160.65"
ปัตตานี,"1,227","5,070.49"
จันทบุรี,"1,001","9,643.86"
สมุทรปราการ,888,"17,546.58"
ประจวบคีรีขันธ์,792,"8,602.54"
ระยอง,668,"6,645.75"
ตราด,638,"9,659.06"
กระบี่,620,"5,130.41"
ชุมพร,255,"1,763.32"
พังงา,201,"1,470.28"
สมุทรสาคร,183,"3,578.00"
นราธิวาส,121,462.92
สมุทรสงคราม,101,"1,718.00"
ระนอง,47,376.98
ภูเก็ต,11,27.8
ยะลา,8,25.07
