รายการ,อำเภอ,ปี,หน่วยวัด,ครัวเรือน,แปลง,เนื้อที่ ,ที่มา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ขามทะเลสอ,2567,ไร่,517,872,6327.33,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ขามสะแกแสง,2567,ไร่,654,950,7972.31,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,คง,2567,ไร่,25,25,288.5,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ครบุรี,2567,ไร่,641,873,9481.48,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,จักราช,2567,ไร่,161,218,1593.78,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ด่านขุนทด,2567,ไร่,2891,4183,35983.56,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,บ้านเหลื่อม,2567,ไร่,38,47,415,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ปักธงชัย,2567,ไร่,903,1393,13426.41,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ปากช่อง,2567,ไร่,1626,2660,46702,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,พระทองคำ,2567,ไร่,869,1206,10557.27,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,พิมาย,2567,ไร่,2,2,2.25,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,วังน้ำเขียว,2567,ไร่,953,1512,27815.05,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,สีคิ้ว,2567,ไร่,1685,2585,28980.68,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,สูงเนิน,2567,ไร่,3435,6363,69927.81,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,หนองบุญมาก,2567,ไร่,266,327,2779.36,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,ห้วยแถลง,2567,ไร่,2,2,10.03,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,เฉลิมพระเกียรติ,2567,ไร่,120,153,1176.29,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,เทพารักษ์,2567,ไร่,876,1319,15500.92,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,เมืองนครราชสีมา,2567,ไร่,515,871,10882.62,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,เสิงสาง,2567,ไร่,165,199,2293.36,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,โชคชัย,2567,ไร่,343,451,4406.72,สำนักงานเกษตรจังหวัดนครราชสีมา
เกษตรกรที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,โนนสูง,2567,ไร่,79,96,573.75,สำนักงานเกษตรจังหวัดนครราชสีมา
