ปี,จังหวัด,อำเภอ,ตำบล,จำนวนสมาชิก,หน่วย
2562,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,30,ราย
2563,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,30,ราย
2563,สมุทรสาคร,บ้านแพ้ว,โรงเข้,19,ราย
2564,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,30,ราย
2564,สมุทรสาคร,บ้านแพ้ว,โรงเข้,19,ราย
2564,สมุทรสาคร,กระทุ่มแบน,บางยาง,30,ราย
2564,สมุทรสาคร,บ้านแพ้ว,เกษตรพัฒนา,30,ราย
2565,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,30,ราย
2565,สมุทรสาคร,บ้านแพ้ว,โรงเข้,19,ราย
2565,สมุทรสาคร,กระทุ่มแบน,บางยาง,30,ราย
2565,สมุทรสาคร,บ้านแพ้ว,เกษตรพัฒนา,30,ราย
2566,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,30,ราย
2566,สมุทรสาคร,บ้านแพ้ว,โรงเข้,19,ราย
2566,สมุทรสาคร,กระทุ่มแบน,บางยาง,30,ราย
2566,สมุทรสาคร,บ้านแพ้ว,เกษตรพัฒนา,30,ราย
2567,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,30,ราย
2567,สมุทรสาคร,บ้านแพ้ว,โรงเข้,19,ราย
2567,สมุทรสาคร,กระทุ่มแบน,บางยาง,30,ราย
2567,สมุทรสาคร,บ้านแพ้ว,เกษตรพัฒนา,30,ราย
