Year,Province,Item,Item1,Item2,value,Unit,Source
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.เมืองสิงห์บุรี,บางมัญ,27456,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.เมืองสิงห์บุรี,ม่วงหมู่,25283.5,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.เมืองสิงห์บุรี,ต้นโพธิ์,32464.85,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.เมืองสิงห์บุรี,จักรสีห์,52595,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.เมืองสิงห์บุรี,บางกระบือ,261603.8,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.บางระจัน,สิงห์,17420,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,พระงาม,50897,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,พรหมบุรี,5566,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,บางน้ำเชี่ยว,31180,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,บ้านหม้อ,90475,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,บ้านแป้ง,7527.3,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,หัวป่า,104067,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.พรหมบุรี,โรงช้าง,260391.12,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.ท่าช้าง,วิหารขาว,20100,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.อินทร์บุรี,อินทร์บุรี,12144,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.อินทร์บุรี,ประศุก,56928,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.อินทร์บุรี,ทับยา,428126.14,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.อินทร์บุรี,ชีน้ำร้าย,21063.6,บาท,สำนักงานเกษตจังหวัด
2568,จังหวัดสิงห์บุรี,จำนวนเงินที่เกษตรกรได้รับความช่วยเหลือ,อ.อินทร์บุรี,น้ำตาล,8429.96,บาท,สำนักงานเกษตจังหวัด
