รายการ,อำเภอ,ปี,จำนวน,หน่วยนับ
ปริมาณผลผลิตมันสำปะหลัง,เมือง,2565,"56,246",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ชานุมาน,2565,"322,153",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ปทุมราชวงศา,2565,"96,827",ตัน
ปริมาณผลผลิตมันสำปะหลัง,พนา,2565,"1,508",ตัน
ปริมาณผลผลิตมันสำปะหลัง,เสนางคนิคม,2565,"43,755",ตัน
ปริมาณผลผลิตมันสำปะหลัง,หัวตะพาน,2565,"2,856",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ลืออำนาจ,2565,"2,917",ตัน
ปริมาณผลผลิตมันสำปะหลัง,เมือง,2566,"50,402",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ชานุมาน,2566,"181,634",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ปทุมราชวงศา,2566,"75,927",ตัน
ปริมาณผลผลิตมันสำปะหลัง,พนา,2566,"1,153",ตัน
ปริมาณผลผลิตมันสำปะหลัง,เสนางคนิคม,2566,"22,404",ตัน
ปริมาณผลผลิตมันสำปะหลัง,หัวตะพาน,2566,"2,795",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ลืออำนาจ,2566,"3,633",ตัน
ปริมาณผลผลิตมันสำปะหลัง,เมือง,2567,"44,940",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ชานุมาน,2567,"285,517",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ปทุมราชวงศา,2567,"84,440",ตัน
ปริมาณผลผลิตมันสำปะหลัง,พนา,2567,"1,412",ตัน
ปริมาณผลผลิตมันสำปะหลัง,เสนางคนิคม,2567,"26,810",ตัน
ปริมาณผลผลิตมันสำปะหลัง,หัวตะพาน,2567,"2,409",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ลืออำนาจ,2567,"3,863",ตัน
ปริมาณผลผลิตมันสำปะหลัง,เมือง,2568,"48,297",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ชานุมาน,2568,"315,359",ตัน
ปริมาณผลผลิตมันสำปะหลัง,ปทุมราชวงศา,2568,"89,204",ตัน
ปริมาณผลผลิตมันสำปะหลัง,พนา,2568,683,ตัน
ปริมาณผลผลิตมันสำปะหลัง,เสนางคนิคม,2568,"46,250",ตัน
ปริมาณผลผลิตมันสำปะหลัง,หัวตะพาน,2568,606,ตัน
ปริมาณผลผลิตมันสำปะหลัง,ลืออำนาจ,2568,"4,606",ตัน
