ปี,รายการ,อำเภอ,ตำบล,ค่าข้อมูล,หน่วย,ที่มา
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ปากน้ำ,73.45,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่ใหญ่,101.48,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่น้อย,18745.24,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,เขาคราม,14629.31,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,เขาทอง,5592.60,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ทับปริก,22243.00,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ไสไทย,3705.75,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,อ่าวนาง,1612.82,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,หนองทะเล,4946.09,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,คลองประสงค์,366.97,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนพื้นที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,เขาพนม,25231.12,ไร่,สำนักงานเกษตรจังหวัดกระบี่
