ปี,อำเภอ,เนื้อที่,หน่วย
2566,เมืองเพชรบูรณ์,"342,909.88",ไร่
2566,ชนแดน,"278,277.09",ไร่
2566,หล่มสัก,"179,273.30",ไร่
2566,หล่มเก่า,"220,530.63",ไร่
2566,วิเชียรบุรี,"365,965.45",ไร่
2566,ศรีเทพ,"219,882.26",ไร่
2566,หนองไผ่,"321,159.94",ไร่
2566,บึงสามพัน,"194,752.18",ไร่
2566,น้ำหนาว,"129,163.58",ไร่
2566,วังโป่ง,"118,102.72",ไร่
2566,เขาค้อ,"19,037.17",ไร่
2567,เมืองเพชรบูรณ์,"321,616.83",ไร่
2567,ชนแดน,"266,278.96",ไร่
2567,หล่มสัก,"177,939.20",ไร่
2567,หล่มเก่า,"197,320.51",ไร่
2567,วิเชียรบุรี,"345,939.37",ไร่
2567,ศรีเทพ,"215,673.21",ไร่
2567,หนองไผ่,"294,062.82",ไร่
2567,บึงสามพัน,"199,418.94",ไร่
2567,น้ำหนาว,"123,230.76",ไร่
2567,วังโป่ง,"111,671.90",ไร่
2567,เขาค้อ,"13,647.59",ไร่
2568,เมืองเพชรบูรณ์,"313,840.10",ไร่
2568,ชนแดน,"268,241.23",ไร่
2568,หล่มสัก,"175,288.20",ไร่
2568,หล่มเก่า,"187,683.85",ไร่
2568,วิเชียรบุรี,"325,934.48",ไร่
2568,ศรีเทพ,"204,838.17",ไร่
2568,หนองไผ่,"286,582.21",ไร่
2568,บึงสามพัน,"215,973.83",ไร่
2568,น้ำหนาว,"120,820.08",ไร่
2568,วังโป่ง,"122,747.08",ไร่
2568,เขาค้อ,"12,108.39",ไร่
