จังหวัด,อำเภอ,รายการ,ปี,ประเภทการปลูก,พื้นที่เสียหาย,หน่วยนับ
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง,122,ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง,475,ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง,215,ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง,185,ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,ข้าว, -   ,ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2565,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว,"1,778",ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง,"1,682",ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว,3,ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง,"36,872",ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว, -   ,ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง,"5,971",ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว,985,ไร่
อำนาจเจิญ,พนา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง,37,ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว,797,ไร่
อำนาจเจิญ,เสนางคนิคม,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง,"7,530",ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว,"11,437",ไร่
อำนาจเจิญ,หัวตะพาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง, -   ,ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,ข้าว,"11,437",ไร่
อำนาจเจิญ,ลืออำนาจ,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2566,มันสำปะหลัง,10,ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"6,858",ไร่
อำนาจเจิญ,เมือง,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง,225,ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"1,025",ไร่
อำนาจเจิญ,ชานุมาน,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,มันสำปะหลัง,"1,256",ไร่
อำนาจเจิญ,ปทุมราชวงศา,พื้นที่ปลูกข้าวที่ได้รับความเสียหายจากภัยธรรมชาติ,2567,ข้าว,"2,250",ไร่
