ปี,รายการ,อำเภอ,  จำนวน  ,หน่วยนับ
2566,พื้นที่เกษตร,ชานุมาน," 386,124 ",ไร่
2566,พื้นที่เกษตร,ปทุมราชวงศา," 295,236 ",ไร่
2566,พื้นที่เกษตร,พนา," 190,260 ",ไร่
2566,พื้นที่เกษตร,เมืองอำนาจเจริญ," 565,195 ",ไร่
2566,พื้นที่เกษตร,ลืออำนาจ," 240,433 ",ไร่
2566,พื้นที่เกษตร,เสนางคนิคม," 262,796 ",ไร่
2566,พื้นที่เกษตร,หัวตะพาน," 276,297 ",ไร่
2567,พื้นที่เกษตร,ชานุมาน," 190,346 ",ไร่
2567,พื้นที่เกษตร,ปทุมราชวงศา," 197,520 ",ไร่
2567,พื้นที่เกษตร,พนา," 100,230 ",ไร่
2567,พื้นที่เกษตร,เมืองอำนาจเจริญ," 359,826 ",ไร่
2567,พื้นที่เกษตร,ลืออำนาจ," 126,832 ",ไร่
2567,พื้นที่เกษตร,เสนางคนิคม," 148,882 ",ไร่
2567,พื้นที่เกษตร,หัวตะพาน," 154,812 ",ไร่
2568,พื้นที่เกษตร,ชานุมาน," 177,797 ",ไร่
2568,พื้นที่เกษตร,ปทุมราชวงศา," 190,379 ",ไร่
2568,พื้นที่เกษตร,พนา," 97,901 ",ไร่
2568,พื้นที่เกษตร,เมืองอำนาจเจริญ," 327,499 ",ไร่
2568,พื้นที่เกษตร,ลืออำนาจ," 121,426 ",ไร่
2568,พื้นที่เกษตร,เสนางคนิคม," 133,329 ",ไร่
2568,พื้นที่เกษตร,หัวตะพาน," 154,427 ",ไร่
