ปี,รายการ,ค่า,หน่วย,ที่มา
2557,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,950447,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2558,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,955674,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2559,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,965112,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2560,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1119577,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2561,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1138323,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2562,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1151415,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2563,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1122439,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2564,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1140723,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2565,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1164696,ไร่,สำนักงานเกษตรจังหวัดกระบี่
2566,พื้นที่เก็บเกี่ยวปาล์มน้ำมัน,1172660,ไร่,สำนักงานเกษตรจังหวัดกระบี่
