ชื่อชุดข้อมูล,ปี,พื้นที่ประสบภัย,ค่าข้อมูล,หน่วยวัด,ที่มา,หมายเหตุ
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2565,หนองไผ่," 2,300,000.00 ",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2565,เมืองเพชรบูรณ์," 5,300,000.00 ",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2565,บึงสามพัน," 20,300,000.00 ",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2565,วิเชียรบุรี," 4,200,000.00 ",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,วิเชียรบุรี,"2,315,940.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,บึงสามพัน,"13,958,608.95",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์ อ้อยโรงงาน มันสำปะหลัง
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,ศรีเทพ,"4,108,500.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์ อ้อยโรงงาน มันสำปะหลัง
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,หนองไผ่,"6,100,525.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์ อ้อยโรงงาน มันสำปะหลัง
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,เมืองเพชรบูรณ์,"5,231,610.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์ พืชผัก (ฟัก/แฟง)
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,ชนแดน,"425,700.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,วังโป่ง,"930,380.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,น้ำหนาว,"560,400.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์ มันสำปะหลัง
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2566,หล่มเก่า,"10,299,025.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าว ข้าวโพดเลี้ยงสัตว์ มันสำปะหลัง
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2568,ชนแดน,"605,880.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
มูลค่าความเสียหายทางการเกษตรที่เกิดจากภาวะฝนทิ้งช่วง,2568,บึงสามพัน,"2,566,080.00",บาท,สำนักงานเกษตรจังหวัดเพชรบูรณ์,พืชที่ได้รับความเสียหาย ข้าวโพดเลี้ยงสัตว์
