ลำดับที่,ปี,อำเภอ,ชื่อ,ที่ตั้ง,ที่มา,ตำบล
1,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนกลุ่มปลูกผักบ้านทุ่งแค,149/1 หมู่ 6 ต.บ้านโตก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,บ้านโตก
2,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนผู้ปลูกหอมแดงบ้านทุ่งแค,29/4 หมู่ 6 ต.บ้านโตก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,บ้านโตก
3,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรบ้านนาร่วมใจ,153 หมู่ 6 ต.นางั่ว อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,นางั่ว
4,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนส่งเสริมอาชีพผลิตน้ำพริกเผาปรุงสำเร็จบ้านโคก,63/1 หมู่ 1 ต.บ้านโคก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,บ้านโคก
5,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนกลุ่มเกษตรกรเพื่อการผลิต กม. 13,14/1 หมู่ 13 ต.ห้วยสะแก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,ห้วยสะแก
6,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนกลุ่มเกษตรสัมพันธุ์ บ.เนินสง่า,101 หมู่ 6 ต.ห้วยสะแก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,ห้วยสะแก
7,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนกลุ่มเกษตรกรร่วมใจพัฒนาห้วยสะแก,2 หมู่ 6 ต.ห้วยสะแก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,ห้วยสะแก
8,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนเกษตรกรชีวภาพบ้าน 13 ทวีทรัพย์,105/3 หมู่ 13 ต.ห้วยสะแก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,ห้วยสะแก
9,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนกลุ่มตัดเย็บเสื้อผ้าบ้านเนินสง่า หมู่ 6,90/3 หมู่ 6 ต.ห้วยสะแก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,ห้วยสะแก
10,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนสุกรบ้านสวน,380/5 หมู่ ต.ในเมือง อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ ,สำนักงานเกษตรจังหวัดเพชรบูรณ์,ในเมือง
11,2565,เมืองเพชรบูรณ์,วิสาหกิจชุมชนข้าวเกรียบสมุนไพรหมู่ 5 วังชมภู,173 หมู่ 5 ต.วังชมภู อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สำนักงานเกษตรจังหวัดเพชรบูรณ์,วังชมภู
