ปี,รายการ,อำเภอ,  จำนวน  ,หน่วยนับ
2566,เกษตรกรผู้ปลูกข้าว,ชานุมาน," 7,717 ",ราย
2566,เกษตรกรผู้ปลูกข้าว,ปทุมราชวงศา," 9,992 ",ราย
2566,เกษตรกรผู้ปลูกข้าว,พนา," 7,380 ",ราย
2566,เกษตรกรผู้ปลูกข้าว,เมือง," 25,487 ",ราย
2566,เกษตรกรผู้ปลูกข้าว,เสนางคนิคม," 8,506 ",ราย
2566,เกษตรกรผู้ปลูกข้าว,หัวตะพาน," 9,344 ",ราย
2566,เกษตรกรผู้ปลูกข้าว,ลืออำนาจ," 10,821 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,ชานุมาน," 7,418 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,ปทุมราชวงศา," 10,020 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,พนา," 13,208 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,เมือง," 25,141 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,เสนางคนิคม," 8,460 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,หัวตะพาน," 9,275 ",ราย
2567,เกษตรกรผู้ปลูกข้าว,ลืออำนาจ," 10,560 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,ชานุมาน," 6,954 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,ปทุมราชวงศา," 9,956 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,พนา," 7,186 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,เมือง," 23,907 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,เสนางคนิคม," 8,225 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,หัวตะพาน," 8,458 ",ราย
2568,เกษตรกรผู้ปลูกข้าว,ลืออำนาจ," 10,647 ",ราย
