ปี,รายการ,อำเภอ,  จำนวน  ,หน่วยนับ
2565,พื้นที่ปลูกข้าวเจ้า,เมือง,"308,112",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,เมือง,"23,696",ไร่
2565,พื้นที่ปลูกข้าวเจ้า,ชานุมาน,"22,394",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,ชานุมาน,"57,333",ไร่
2565,พื้นที่ปลูกข้าวเจ้า,ปทุมราชวงศา,"136,129",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,ปทุมราชวงศา,"19,524",ไร่
2565,พื้นที่ปลูกข้าวเจ้า,พนา,"92,397",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,พนา,"10,961",ไร่
2565,พื้นที่ปลูกข้าวเจ้า,เสนางคนิคม,"123,620",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,เสนางคนิคม,"4,391",ไร่
2565,พื้นที่ปลูกข้าวเจ้า,หัวตะพาน,"132,274",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,หัวตะพาน,"18,095",ไร่
2565,พื้นที่ปลูกข้าวเจ้า,ลืออำนาจ,"123,172",ไร่
2565,พื้นที่ปลูกข้าวเหนียว,ลืออำนาจ,"2,329",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,เมือง,"310,615",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,เมือง,"20,063",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,ชานุมาน,"25,918",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,ชานุมาน,"56,910",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,ปทุมราชวงศา,"130,082",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,ปทุมราชวงศา,"19,494",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,พนา,"94,165",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,พนา,"9,625",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,เสนางคนิคม,"126,689",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,เสนางคนิคม,"3,585",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,หัวตะพาน,"133,917",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,หัวตะพาน,"16,303",ไร่
2566,พื้นที่ปลูกข้าวเจ้า,ลืออำนาจ,"122,472",ไร่
2566,พื้นที่ปลูกข้าวเหนียว,ลืออำนาจ,"1,740",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,เมือง,"310,508",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,เมือง,"20,066",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,ชานุมาน,"25,850",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,ชานุมาน,"56,890",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,ปทุมราชวงศา,"130,011",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,ปทุมราชวงศา,"19,494",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,พนา,"93,967",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,พนา,"9,620",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,เสนางคนิคม,"126,510",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,เสนางคนิคม,"3,585",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,หัวตะพาน,"133,832",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,หัวตะพาน,"16,303",ไร่
2567,พื้นที่ปลูกข้าวเจ้า,ลืออำนาจ,"122,448",ไร่
2567,พื้นที่ปลูกข้าวเหนียว,ลืออำนาจ,"1,740",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,เมือง," 308,779 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,เมือง," 19,014 ",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,ชานุมาน," 22,147 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,ชานุมาน," 48,624 ",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,ปทุมราชวงศา," 128,994 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,ปทุมราชวงศา," 18,577 ",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,พนา," 94,426 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,พนา," 8,809 ",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,เสนางคนิคม," 126,968 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,เสนางคนิคม," 3,451 ",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,หัวตะพาน," 133,456 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,หัวตะพาน," 14,534 ",ไร่
2568,พื้นที่ปลูกข้าวเจ้า,ลืออำนาจ," 122,740 ",ไร่
2568,พื้นที่ปลูกข้าวเหนียว,ลืออำนาจ," 1,492 ",ไร่
